single-features,single-avg accuracy
10,48.9523666667
20,84.8485
30,88.0701666667
40,45.8333333333
50,90.4762
60,84.8485
70,91.6666666667
80,100.0
90,16.6666666667

multi-features,multi-avg accuracy
10,42.8571
20,50.0
30,33.3333333333
40,33.3333333333
50,25.0
60,55.5555666667
70,66.6666666667
80,0.0
90,0.0
