single-features,single-avg accuracy
10,47.6190333333
20,87.8788
30,85.9649
40,50.0
50,92.8571333333
60,87.8788
70,91.6666666667
80,93.3333333333
90,16.6666666667

multi-features,multi-avg accuracy
10,38.0952
20,61.1111
30,46.6666666667
40,25.0
50,58.3333333333
60,77.7778
70,83.3333333333
80,100.0
90,0.0
