single-thresholds,single-avg accuracy
10,48.9523666667
20,87.8788
30,89.4737
40,50.0
50,92.8571333333
60,87.8788
70,87.5
80,93.3333333333
90,16.6666666667

multi-features,multi-avg accuracy
multi-thresholds,multi-avg accuracy
10,42.8571
20,66.6666666667
30,46.6666666667
40,33.3333333333
50,50.0
60,66.6666666667
70,50.0
80,33.3333333333
90,0.0
