single-features,single-avg accuracy
10,47.6190333333
20,81.8181666667
30,91.2280666667
40,45.8333333333
50,92.8571333333
60,87.8788
70,87.5
80,100.0
90,33.3333333333

multi-features,multi-avg accuracy
10,42.8571
20,61.1111
30,60.0
40,33.3333333333
50,41.6666666667
60,77.7778
70,66.6666666667
80,100.0
90,0.0
