single-thresholds,single-avg accuracy
10,46.2857
20,80.3030333333
30,84.2105333333
40,60.4166666667
50,95.2381
60,87.8788
70,95.8333333333
80,93.3333333333
90,16.6666666667

multi-features,multi-avg accuracy
multi-thresholds,multi-avg accuracy
10,47.6190333333
20,72.2222333333
30,73.3333333333
40,75.0
50,91.6666666667
60,100.0
70,100.0
80,33.3333333333
90,0.0
