single-thresholds,single-avg accuracy
10,48.9523666667
20,84.8485
30,82.4561333333
40,50.0
50,97.6190333333
60,90.9091
70,91.6666666667
80,93.3333333333
90,16.6666666667

multi-features,multi-avg accuracy
multi-thresholds,multi-avg accuracy
10,42.8571
20,55.5555666667
30,66.6666666667
40,66.6666666667
50,58.3333333333
60,77.7778
70,66.6666666667
80,33.3333333333
90,0.0
