single-thresholds,single-avg accuracy
10,47.6190333333
20,81.8181666667
30,84.2105333333
40,58.3333333333
50,95.2381
60,84.8485
70,91.6666666667
80,93.3333333333
90,16.6666666667

multi-features,multi-avg accuracy
multi-thresholds,multi-avg accuracy
10,47.6190333333
20,66.6666666667
30,73.3333333333
40,58.3333333333
50,66.6666666667
60,77.7778
70,66.6666666667
80,33.3333333333
90,0.0
