% Title: Huntington, All Species
% Creator: Neena Parikh
%
@RELATION infection

@ATTRIBUTE class {Control,GDS1236,GDS2887,GDS3515,GDS717}
@ATTRIBUTE RALA NUMERIC
@ATTRIBUTE CBX5 NUMERIC
@ATTRIBUTE CALM3 NUMERIC
@ATTRIBUTE SCT NUMERIC
@ATTRIBUTE GLG1 NUMERIC
@ATTRIBUTE NFIB NUMERIC
@ATTRIBUTE CDKN1A NUMERIC
@ATTRIBUTE GLUL NUMERIC
@ATTRIBUTE WT1 NUMERIC
@ATTRIBUTE MAPK8IP1 NUMERIC
@ATTRIBUTE SRPRB NUMERIC
@ATTRIBUTE TPM1 NUMERIC
@ATTRIBUTE IVD NUMERIC
@ATTRIBUTE IMMT NUMERIC
@ATTRIBUTE MAP3K8 NUMERIC
@ATTRIBUTE LMNB1 NUMERIC

@DATA
Control,724.2565,723.0855,723.9145,724.6385,722.2445,725.2295,726.0935,721.6415,724.1775,724.1775,722.2445,722.2445,727.4645,724.1775,727.7845,724.3105
Control,724.3625,722.9475,723.8965,724.8125,722.3525,726.1585,726.7535,721.7455,724.2685,724.2685,722.3525,722.3525,727.7235,724.2685,728.2215,724.1095
Control,724.8205,723.1365,723.9835,724.7605,722.4695,725.9705,726.6415,721.6345,724.2505,724.2505,722.4695,722.4695,727.3995,724.2505,727.9705,724.0535
GDS3515,724.0885,723.1885,723.1305,724.9105,722.2255,725.6985,726.3435,720.9575,724.2265,724.2265,722.2255,722.2255,727.4385,724.2265,728.0995,724.2155
GDS3515,724.1285,723.1995,723.4655,724.9635,722.2345,726.0755,726.5535,721.0575,724.4065,724.4065,722.2345,722.2345,727.3925,724.4065,728.2025,724.1745
GDS3515,724.3515,723.4155,723.7095,724.8335,722.3845,725.5855,726.4375,721.7165,724.5695,724.5695,722.3845,722.3845,727.2715,724.5695,728.0035,724.2645
GDS3515,724.2185,723.3915,723.6005,724.7835,722.2645,726.1785,726.4185,721.1285,724.2195,724.2195,722.2645,722.2645,727.5505,724.2195,728.2015,724.4065
GDS3515,724.3015,723.5765,724.2055,725.3165,722.2955,726.0055,726.9195,721.8445,724.7995,724.7995,722.2955,722.2955,727.1965,724.7995,728.1735,724.2105
GDS3515,724.3215,723.1175,723.8125,724.8205,722.2575,725.8095,726.5105,721.5845,724.1875,724.1875,722.2575,722.2575,727.2345,724.1875,728.2095,724.2495
Control,327.7,147.2,4.29999999999995,599.4,101.4,332.5,4.29999999999995,263.3,263.3,148,459.4,311,391.2,190.3,439,453.7
Control,358,136.4,34.5999999999999,684,97.9999999999999,338.3,34.5999999999999,43.9000000000001,43.9000000000001,89.6999999999999,462.7,274,369.1,251.7,444.4,452.8
