% Title: HIV, All Species Singlenet
% Creator: Neena Parikh
%
@RELATION infection

@ATTRIBUTE class {Control,Infected}
@ATTRIBUTE SORD NUMERIC
@ATTRIBUTE COL14A1 NUMERIC
@ATTRIBUTE PECAM1 NUMERIC
@ATTRIBUTE SLC6A6 NUMERIC
@ATTRIBUTE DTNA NUMERIC
@ATTRIBUTE PRKCB NUMERIC
@ATTRIBUTE GRB10 NUMERIC
@ATTRIBUTE RELB NUMERIC
@ATTRIBUTE GNA14 NUMERIC
@ATTRIBUTE CCDC50 NUMERIC
@ATTRIBUTE DNAJC3 NUMERIC
@ATTRIBUTE CORO1A NUMERIC
@ATTRIBUTE VTI1A NUMERIC
@ATTRIBUTE TUBB2A NUMERIC
@ATTRIBUTE TNP1 NUMERIC
@ATTRIBUTE CADPS NUMERIC
@ATTRIBUTE PTRF NUMERIC
@ATTRIBUTE LRIG1 NUMERIC
@ATTRIBUTE NEK2 NUMERIC
@ATTRIBUTE UBE2Z NUMERIC
@ATTRIBUTE HNRNPA3 NUMERIC
@ATTRIBUTE ATP2B2 NUMERIC
@ATTRIBUTE CLN8 NUMERIC
@ATTRIBUTE SLC30A5 NUMERIC
@ATTRIBUTE SP100 NUMERIC
@ATTRIBUTE ZFP106 NUMERIC
@ATTRIBUTE FBLN1 NUMERIC
@ATTRIBUTE TCF20 NUMERIC
@ATTRIBUTE TGFB3 NUMERIC
@ATTRIBUTE SEPT2 NUMERIC
@ATTRIBUTE PPARGC1A NUMERIC
@ATTRIBUTE WFS1 NUMERIC
@ATTRIBUTE FBXO3 NUMERIC
@ATTRIBUTE KPNB1 NUMERIC
@ATTRIBUTE PAK2 NUMERIC
@ATTRIBUTE CD44 NUMERIC
@ATTRIBUTE GALT NUMERIC
@ATTRIBUTE HGFAC NUMERIC
@ATTRIBUTE MAPRE2 NUMERIC
@ATTRIBUTE PLA2G10 NUMERIC
@ATTRIBUTE CHERP NUMERIC
@ATTRIBUTE CSNK1A1 NUMERIC
@ATTRIBUTE ANK3 NUMERIC
@ATTRIBUTE SCARB2 NUMERIC
@ATTRIBUTE COL4A2 NUMERIC
@ATTRIBUTE ABLIM1 NUMERIC
@ATTRIBUTE TOLLIP NUMERIC
@ATTRIBUTE CLEC11A NUMERIC
@ATTRIBUTE TGM2 NUMERIC
@ATTRIBUTE TCF4 NUMERIC
@ATTRIBUTE PDE1A NUMERIC
@ATTRIBUTE PITPNA NUMERIC
@ATTRIBUTE PTPN5 NUMERIC
@ATTRIBUTE CCDC96 NUMERIC
@ATTRIBUTE TK2 NUMERIC
@ATTRIBUTE ADCY9 NUMERIC
@ATTRIBUTE XPNPEP1 NUMERIC
@ATTRIBUTE ORMDL3 NUMERIC
@ATTRIBUTE CPSF2 NUMERIC
@ATTRIBUTE GATAD2A NUMERIC
@ATTRIBUTE UHRF1 NUMERIC
@ATTRIBUTE BBS9 NUMERIC
@ATTRIBUTE PAX3 NUMERIC
@ATTRIBUTE NUP50 NUMERIC
@ATTRIBUTE FPR1 NUMERIC
@ATTRIBUTE ALDH3A2 NUMERIC
@ATTRIBUTE PPM1B NUMERIC
@ATTRIBUTE NADK NUMERIC

@DATA
Control,673.147,674.304,674.545,674.365,0,674.362,674.893,674.65,674.611,674.103,674.364,674.819,674.633,674.354,675.075,674.362,674.293,674.523,674.611,674.48,674.293,674.597,674.419,674.575,674.057,674.927,673.147,674.792,674.39,674.092,674.59,674.904,674.315,0,674.421,674.103,674.518,674.354,674.092,674.75,674.741,674.48,0,674.686,674.572,674.724,674.597,674.742,674.304,0,674.293,674.031,674.782,674.325,674.496,673.147,674.472,674.523,674.694,674.647,674.819,674.556,674.354,674.543,674.76,0,674.605,674.36
Control,673.978,674.311,674.757,674.163,0,674.089,674.893,674.891,674.523,673.975,674.39,674.856,674.551,674.1,675.239,674.089,674.275,674.164,674.545,674.318,674.275,674.547,674.432,674.462,673.952,674.935,673.978,674.726,674.431,674,674.496,674.756,674.052,0,674.779,674.054,674.083,674.1,674,675.229,674.532,674.634,0,674.728,674.484,674.549,674.496,674.947,674.311,0,673.871,674.242,674.933,675.228,674.478,673.978,674.398,674.164,674.453,674.748,674.856,674.469,674.1,673.871,675.053,0,674.615,674.242
Control,673.776,674.409,674.684,674.207,0,674.303,674.746,674.727,674.551,674.271,674.55,674.593,674.607,674.084,674.962,674.303,674.202,674.275,674.471,674.313,674.202,674.577,674.425,674.596,673.926,674.833,673.776,674.694,0,674.268,674.607,674.626,674.332,0,674.314,674.349,674.185,674.084,674.268,674.658726,674.608,674.746,0,674.63,674.317,674.567,674.607,674.831,674.409,0,674.202,674.415,674.777,674.912,674.471,673.776,674.386,674.275,674.533,674.654,674.593,674.626,674.084,674.306,674.881,0,674.6,674.372
Control,673.975,674.393,674.622,0,674.465,674.401,674.759,674.647,674.571,673.945,674.476,674.717,674.567,673.862,675.132,674.401,674.244,674.472,674.35,674.573,674.244,674.585,674.316,674.549,673.826,674.974,673.975,674.759,674.393,674.465,674.569,674.65744,674.12,0,0,674.414,674.347,673.862,674.465,674.326,674.679,674.671,0,674.65,674.586,674.534,674.559,674.874,674.527,0,674.244,674.13,674.872,674.824,674.35,673.975,674.532,674.472,674.638,674.673,674.717,674.597,673.862,674.445,674.852,0,674.616,674.365
Control,673.982,674.527,674.797,674.4,674.4,674.293,675.073,674.719,674.63,674.054,674.506,674.612,674.532,673.849,675.164,674.293,674.257,674.434,674.422,674.477,674.257,674.575,674.415,674.599,673.731,675.238,673.982,674.74,674.555,674.4,674.524,674.713,674.316,0,674.481,674.054,674.321,673.849,674.4,674.161,674.506,674.656,0,674.657,674.669,674.518,674.584,674.84,674.527,0,674.257,673.856,674.822,674.925,674.422,673.982,674.569,674.434,674.507,674.666,674.612,674.65859,673.849,674.337,674.928,0,674.678,674.478
Control,673.869,674.545,675.056,674.165,674.212,674.279,675.223,675.119,674.618,673.819,674.244,674.63,674.545,673.964,675.247,674.279,674.32,674.206,674.426,674.367,674.32,674.643,674.648,674.69,674.153,675.041,673.869,674.512,674.374,674.212,674.5,674.662,674.445,0,674.737,673.819,674.014,673.964,674.212,675.13,674.193,674.628,0,674.634,674.523,674.639,674.542,674.993,674.545,0,674.019,674.202,674.977,674.416,674.374,673.869,674.383,674.206,674.524,674.7,674.63,674.404,673.964,674.019,675.272,0,674.703,674.564
Control,674.206,674.358,674.924,674.039,674.076,674.111,675.147,674.987,674.62,673.921,674.353,674.721,674.534,673.92,675.233,674.111,674.329,674.122,674.425,674.165,674.329,674.574,674.493,674.577,674.049,675.053,674.206,674.459,0,674.076,674.575,674.876,674.362,0,674.619,673.921,674.14,673.92,674.076,675.17,674.764,674.601,0,674.601,674.388,674.631,674.575,674.91,674.358,0,674.065,674.271,674.8,675.025,674.496,674.206,674.35,674.122,674.516,674.725,674.721,674.511,673.92,674.065,675.108,0,674.689,674.441
Control,673.189,674.339,674.7,674.344,0,673.914,674.985,675.052,674.622,673.737,674.404,674.722,674.504,674.178,675.12,673.914,674.36,674.41,674.492,674.467,674.36,674.508,674.391,674.605,674.367,674.969,673.189,674.653,674.394,673.802,674.589,674.786,674.102,0,674.505,673.737,674.467,674.178,673.802,674.89,674.52,674.497,0,674.57,674.505,674.691,674.589,674.921,674.339,0,674.36,674.181,674.925,674.272,674.394,673.189,674.64,674.41,674.523,674.83,674.391,674.644,674.178,674.524,674.827,0,674.548,674.459
Control,673.274,674.382,674.654,674.29,673.953,674.101,674.714,674.853,0,673.964,674.532,674.704,674.579,674.287,675.022,674.101,674.318,674.493,674.579,674.487,674.318,674.537,674.408,674.577,674.25,674.754,673.274,674.735,674.516,673.953,674.66,674.358,674.277,0,674.29,673.964,674.487,674.287,673.953,674.693,674.678,674.568,0,674.567,674.539,674.682,674.66,674.883,674.382,0,674.318,674.353,674.88,674.655,674.516,673.274,674.606,674.493,674.522,674.78,674.506,674.579,674.287,674.516,674.712,0,674.518,674.549
Control,673.27,674.526,674.575,674.079,0,674.286,674.788,674.961,674.638,674.186,674.516,674.774,674.486,674.086,674.954,674.286,674.223,674.518,674.507,674.555,674.223,674.535,674.299,674.557,674.278,674.781,673.27,674.589,674.522,674.106,674.675,674.184,674.289,0,674.079,674.186,674.602,674.086,674.106,674.514,674.557,674.555,0,674.533,674.38,674.619,674.675,674.858,674.526,0,674.223,674.414,674.816,674.393,674.522,673.27,674.504,674.518,674.461,674.762,674.452,674.611,674.086,674.585,674.653,0,674.536,674.517
Control,673.348,674.346,674.6,674.389,673.926,674.172,674.738,674.78,0,674.074,674.548,674.662,674.488,674.187,674.961,674.172,674.214,674.576,674.552,674.447,674.214,674.491,674.363,674.664,673.833,674.807,673.348,674.746,674.446,673.926,674.639,674.539,674.129,0,674.389,674.074,674.447,674.187,673.926,674.527,674.689,674.465,0,674.655,674.472,674.591,674.639,674.868,674.346,0,674.214,673.945,674.912,674.471,674.446,673.348,674.569,674.576,674.573,674.859,674.554,674.605,674.187,674.514,674.667,0,674.544,674.456
Control,673.386,674.452,674.556,674.015,0,674.385,674.784,674.761,674.622,674.266,674.536,674.563,674.545,674.271,674.929,674.385,674.334,674.638,674.54,674.511,674.334,674.534,674.233,674.51,674.302,674.751,673.386,674.648,674.473,674.196,674.646,674.581,674.116,0,674.015,674.266,674.585,674.271,674.196,674.457,674.51,674.511,0,674.557,674.459,674.612,674.646,674.681,674.452,0,674.334,674.097,674.753,674.647,674.473,673.386,674.515,674.559,674.516,674.824,674.563,674.636,674.271,674.682,674.61,0,674.523,674.46
Control,673.192,674.394,674.647,674.329,673.814,674.082,674.871,675.023,674.61,673.931,674.395,674.808,674.544,674.037,675.104,674.082,674.265,674.359,674.488,674.488,674.265,674.577,674.3,674.667,674.401,674.957,673.192,674.606,674.321,673.814,674.612,674.671,674.269,0,674.395,673.931,674.548,674.037,673.814,675.022,674.614,674.488,0,674.627,674.465,674.68,674.612,674.974,674.394,0,674.265,674.181,674.954,674.19,674.321,673.192,674.515,674.359,674.525,674.794,674.513,674.609,674.037,674.553,674.769,0,674.505,674.481
Control,673.013,674.374,674.686,674.286,0,674.423,675.054,675.155,674.682,674.031,674.234,674.787,674.517,674.22,675.112,674.242,674.367,674.555,674.33,674.477,674.367,674.596,674.399,674.596,674.428,675.033,673.013,674.474,0,673.895,674.613,674.697,674.226,0,674.855,674.163,674.554,674.22,673.895,675.182,674.428,674.477,0,674.502,674.534,674.614,674.613,674.906,674.374,0,674.367,674.156,674.998,673.503,674.329,673.013,674.517,674.555,674.417,674.741,674.419,674.64,674.22,674.483,674.917,0,674.546,674.399
Control,673.3,674.384,674.701,674.285,673.898,674.267,674.807,674.898,674.648,674.19,674.528,674.669,674.557,674.233,674.938,674.267,674.346,674.395,674.548,674.525,674.346,674.522,674.255,674.701,674.354,674.765,673.3,674.583,674.498,673.898,674.624,674.482,674.303,0,674.375,674.19,674.542,674.233,673.898,674.87,674.701,674.525,0,674.504,674.471,674.587,674.624,674.835,674.384,0,674.346,674.242,674.828,674.569,674.498,673.3,674.617,674.395,674.394,674.737,674.506,674.589,674.233,674.554,674.728,0,674.522,674.578
Control,673.199,674.282,674.558,674.318,674.052,674.35,674.988,674.932,674.653,674.071,674.235,674.699,674.519,674.263,675.199,674.35,674.258,674.434,674.425,674.438,674.258,674.537,674.28,674.718,674.438,675.082,673.199,674.596,674.382,674.052,674.583,674.767,674.145,0,674.318,674.071,674.455,674.263,674.052,674.904,674.502,674.438,0,674.655,674.707,674.676,674.463,674.848,674.282,0,674.258,674.012,674.975,673.922,674.382,673.199,674.629,674.434,674.504,674.699,674.469,674.524,674.263,674.443,674.818,0,674.634,674.315
Control,673.364,674.201,674.682,674.311,0,674.149,674.787,674.759,674.652,674.024,674.501,674.633,674.512,674.22,675.006,674.149,674.323,674.366,674.608,674.541,674.23,674.517,674.445,674.661,674.18,674.752,673.364,674.752,674.501,673.794,674.629,674.696,674.166,0,674.311,674.024,674.488,674.22,673.794,674.703,674.524,674.23,0,674.597,674.577,674.578,674.629,674.864,674.201,0,674.323,674.191,674.803,674.696,674.511,673.364,674.639,674.366,674.515,674.775,674.536,674.656,674.22,674.516,674.739,0,674.513,674.475
Control,673.16,674.072,674.595,674.444,0,673.706,674.799,674.877,674.589,673.647,674.466,674.728,674.535,674.225,675.036,673.706,674.339,674.338,674.568,674.514,674.276,674.444,674.397,674.629,674.218,674.897,673.16,674.742,674.505,673.898,674.65,674.51,674.094,0,674.692,673.647,674.499,674.225,673.898,674.955,674.417,674.52,0,674.595,674.608,674.613,674.65,674.919,674.072,0,674.339,674.151,674.886,674.361,674.509,673.16,674.606,674.338,674.529,674.8,674.564,674.618,674.225,674.538,674.814,0,674.468,674.437
Control,673.193,674.283,674.653,674.352,0,674.392,674.69,674.876,674.709,674.12,674.172,674.848,674.503,674.493,675.304,674.392,674.3,674.535,674.486,674.466,674.3,674.595,674.238,674.609,674.428,675.123,673.193,674.538,674.376,673.79,674.5,674.835,674.213,0,674.544,674.296,674.352,674.493,673.79,674.984,674.428,674.466,0,674.67,674.522,674.505,674.5,674.98,674.283,0,674.3,674.047,674.899,673.316,674.376,673.193,674.458,674.535,674.387,674.915,674.628,674.581,674.493,674.442,674.779,0,674.625,674.317
Control,673.202,674.347,674.627,674.377,673.999,674.532,674.622,674.952,674.605,674.296,674.435,674.701,674.516,674.25,674.902,674.499,674.373,674.474,674.571,674.411,674.373,674.504,674.339,674.727,674.027,675.057,673.202,674.739,674.492,673.999,674.662,674.504,674.185,0,674.377,674.413,674.371,674.25,673.999,674.973,674.647,674.411,0,674.558,674.516,674.668,674.662,674.834,674.347,0,674.373,674.247,674.952,674.242,674.492,673.202,674.493,674.474,674.418,674.827,674.51,674.622,674.25,674.473,674.745,0,674.555,674.486
Control,673.235,674.341,674.702,674.038,0,674.206,674.737,674.823,674.652,674.224,674.516,674.608,674.532,674.316,675.021,674.206,674.232,674.436,674.597,674.429,674.232,674.444,674.303,674.601,674.31,674.952,673.235,674.696,0,673.921,674.654,674.416,674.162,0,674.038,674.224,674.429,674.316,673.921,674.671,674.559,674.618,674.232,674.571,674.414,674.613,674.635,674.822,674.341,0,674.232,674.299,674.839,674.818,674.438,673.235,674.484,674.436,674.369,674.825,674.608,674.608,674.316,674.563,674.843,674.513,674.51,674.386
Control,673.105,674.261,674.683,674.267,0,674.328,674.897,675.021,674.644,674.152,674.357,674.757,674.407,674.147,675.096,674.328,674.278,674.432,674.486,674.407,674.278,674.54,674.452,674.693,674.283,675.274,673.105,674.688,0,674.045,674.636,674.683,674.085,0,674.672,674.152,674.448,674.147,674.045,675.298,674.47,674.407,0,674.597,674.693,674.651,674.636,674.921,674.261,0,674.278,674.07,675.082,673.871,674.36,673.105,674.641,674.432,674.546,674.697,674.565,674.496,674.147,674.399,674.859,0,674.507,674.367
Control,673.193,674.517,674.844,674.059,0,674.255,674.844,674.836,674.615,674.098,674.512,674.769,674.64,674.343,674.998,674.255,674.343,674.441,674.461,674.366,674.343,674.59,674.371,674.458,674.366,674.619,673.193,674.683,674.517,674.118,674.63,674.281,674.561,0,674.059,674.098,674.366,674.343,674.118,674.562,674.459,674.678,0,674.741,674.476,674.666,674.63,674.786,674.517,0,674.343,673.76,674.64,674.954,674.461,673.193,674.499,674.441,674.516,674.631,674.716,674.617,674.343,674.552,674.953,0,674.598,674.631
Control,673.098,674.361,674.75,674.377,0,674.247,674.922,674.944,674.575,674.045,674.473,674.741,674.561,674.281,675.031,674.247,674.409,674.298,674.529,674.395,674.409,674.494,674.403,674.644,674.431,674.91,673.098,674.546,674.451,673.986,674.587,674.369,674.356,0,674.537,674.045,674.395,674.281,673.986,674.994,674.66,674.591,0,674.709,674.468,674.691,674.587,674.775,674.361,0,674.409,674.156,674.836,674.894,674.451,673.098,674.508,674.298,674.497,674.642,674.493,674.595,674.281,674.588,674.938,0,674.556,674.593
Control,673.11,674.246,674.877,674.372,673.927,673.993,675.041,674.905,0,673.825,674.461,674.836,674.577,674.161,675.175,673.993,674.365,674.294,674.613,674.383,674.365,674.525,674.44,674.587,674.068,675.058,673.11,674.805,674.501,673.927,674.617,674.847,674.265,674.82,674.57,673.825,674.383,674.161,673.927,674.679,674.57,674.565,0,674.739,674.556,674.668,674.669,674.94,674.246,674.437,674.365,674.292,674.809,675.012,674.501,673.11,674.618,674.294,674.558,674.626,674.739,674.585,674.161,674.627,675.063,0,674.487,674.566
Control,673.129,674.332,674.861,674.377,0,674.135,675.034,674.836,674.604,673.849,674.456,674.779,674.625,674.109,675.034,674.135,674.312,674.432,674.669,674.564,674.312,674.558,674.428,674.684,674.19,675.029,673.129,674.639,674.517,674.049,674.638,674.676,674.403,0,674.47,673.849,674.54,674.109,674.049,674.967,674.389,674.578,0,674.753,674.641,674.707,674.638,674.85,674.332,0,674.312,674.124,674.848,674.719,674.554,673.129,674.594,674.432,674.558,674.632,674.693,674.444,674.109,674.595,675.022,0,674.599,674.551
Control,673.061,674.517,674.852,674.473,673.97,674.003,674.904,674.785,674.601,673.804,674.558,674.785,674.633,674.223,674.95,674.003,674.408,674.38,674.562,674.571,674.408,674.523,674.499,674.629,674.198,674.757,673.061,674.684,674.536,673.97,674.598,674.691,674.395,674.754,674.473,673.804,674.522,674.223,673.97,674.817,674.65,674.648,0,674.687,674.577,674.654,674.598,674.794,674.517,674.559,674.408,674.147,674.77,674.876,674.536,673.061,674.585,674.38,674.524,674.675,674.693,674.512,674.223,674.674,674.905,0,674.56,674.588
Control,673.309,674.304,674.634,674.332,0,674.241,674.822,674.873,674.641,673.953,674.155,674.711,674.505,674.014,675.098,674.241,674.299,674.593,674.474,674.564,674.299,674.589,674.444,674.622,674.25,675.065,673.309,674.617,0,674.198,674.568,674.727,674.379,0,674.532,673.953,674.593,674.014,674.198,674.645,674.382,674.564,0,674.733,674.558,674.708,674.505,674.814,674.304,0,674.299,674.222,674.905,674.612,674.432,673.309,674.551,674.593,674.558,674.66,674.623,674.6,674.014,674.369,674.829,0,674.629,674.465
Control,673.211,674.285,674.657719,674.469,674.039,674.354,674.883,674.728,674.6,674.206,674.471,674.913,674.699,674.429,674.956,674.354,674.31,674.651,674.613,674.56,674.31,674.555,674.411,674.581,674.214,674.854,673.211,674.72,674.53,674.039,674.613,674.902,674.331,0,674.469,674.206,674.559,674.429,674.039,674.761,674.357,674.56,0,674.656,674.571,674.683,674.613,674.7,674.285,0,674.31,674.233,674.709,674.64,674.56,673.211,674.491,674.56,674.631,674.588,674.797,674.557,674.429,674.576,674.815,0,674.54,674.41
Control,673.055,674.448,674.779,674.252,0,674.525,674.935,675.131,674.638,673.969,674.05,674.904,674.202,674.024,675.345,674.32,674.399,674.371,674.46,674.484,674.399,674.677,674.444,674.501,674.334,675.229,673.055,674.381,674.324,674.39,674.529,674.923,674.401,0,674.869,674.117,674.639,674.024,674.39,675.072,674.334,674.484,0,674.741,674.724,674.824,674.383,674.889,674.448,0,674.399,674.423,674.932,674.182,674.324,673.055,674.529,674.371,674.46,674.545,674.684,674.501,674.024,674.378,675.052,0,674.688,674.545
Control,673.294,674.528,674.754,674.352,0,674.442,674.867,674.935,674.636,674.215,674.432,674.525,674.608,674.122,675.057,674.442,674.323,674.45,674.513,674.558,674.323,674.6,674.507,674.702,674.223,674.983,673.294,674.587,674.521,674.267,674.623,674.566,674.484,0,674.352,674.215,674.569,674.122,674.267,674.576,674.227,674.611,0,674.648,674.57,674.757,674.623,674.79,674.528,0,674.323,674.448,674.794,674.272,674.513,673.294,674.511,674.45,674.584,674.558,674.525,674.583,674.122,674.535,674.921,0,674.628,674.529
Control,673.349,674.455,674.688,674.41,674.162,674.241,674.829,674.848,674.6,673.951,674.451,674.762,674.553,674.176,675.046,674.241,674.286,674.533,674.604,674.421,674.286,674.56,674.418,674.61,674.374,674.919,673.349,674.65776,674.522,674.162,674.607,674.491,674.246,0,674.682,673.951,674.504,674.176,674.162,674.894,674.572,674.587,0,674.555,674.616,674.725,674.481,674.82,674.455,0,674.286,674.265,674.686,674.725,674.522,673.349,674.542,674.533,674.642,674.421,674.535,674.534,674.176,674.531,674.907,0,674.616,674.421
Control,673.247,674.39,674.67,674.293,674.209,674.174,675.041,674.964,0,673.727,674.236,674.777,674.497,674.077,675.241,674.174,674.185,674.558,674.641,674.481,674.185,674.605,674.505,674.59,674.319,675.088,673.247,674.649,674.418,674.209,674.501,674.841,674.187,0,674.73,673.727,674.422,674.077,674.209,675.191,674.415,674.481,0,674.681,674.661,674.74,674.501,674.88,674.39,0,674.185,674.021,674.809,674.569,674.418,673.247,674.479,674.558,674.618,674.524,674.681,674.453,674.077,674.47,674.937,0,674.707,674.319
Control,673.303,674.545,674.777,674.388,0,674.286,674.904,674.766,674.609,674.04,674.461,674.722,674.582,674.163,675.021,674.286,674.325,674.481,674.65,674.55,674.325,674.578,674.469,674.645,674.317,674.856,673.303,674.625,674.555,674.167,674.636,674.812,674.257,674.663,674.501,674.04,674.514,674.163,674.167,674.803,674.669,674.59,0,674.66,674.548,674.698,674.532,674.777,674.545,674.561,674.325,674.351,674.729,674.753,674.555,673.303,674.568,674.481,674.58,674.626,674.722,674.611,674.163,674.55,674.895,0,674.607,674.515
Control,673.33,674.491,674.62,674.388,674.216,674.274,674.897,674.822,674.606,673.973,674.424,674.776,674.608,674.395,674.897,674.274,674.309,674.392,674.595,674.495,674.309,674.594,674.41,674.552,674.384,674.785,673.33,674.586,674.531,674.216,674.619,674.55,674.346,0,674.562,673.973,674.53,674.395,674.216,675.004,674.635,674.55,0,674.621,674.559,674.778,674.619,674.702,674.491,0,674.309,674.141,674.767,674.655,674.531,673.33,674.48,674.392,674.583,674.495,674.581,674.557,674.395,674.612,674.822,0,674.638,674.462
Control,673.42,674.33,674.683,674.44,0,674.082,674.836,674.791,674.596,673.936,674.44,674.695,674.614,674.259,674.997,674.082,674.314,674.402,674.603,674.52,674.238,674.56,674.446,674.552,674.174,674.78,673.42,674.71,674.498,673.99,674.609,674.928,674.378,0,674.652,673.936,674.498,674.259,673.99,674.832,674.425,674.238,0,674.69,674.537,674.708,674.609,674.758,674.33,0,674.314,674.297,674.739,674.776,674.498,673.42,674.534,674.402,674.517,674.785,674.695,674.517,674.259,674.596,674.829,0,674.574,674.453
Control,673.157,674.395,674.69,674.347,673.894,673.871,674.988,674.969,674.6,673.638,674.393,674.71,674.61,674.227,674.997,673.871,674.362,674.23,674.636,674.424,674.362,674.571,674.509,674.598,674.352,674.916,673.157,674.617,674.48,673.894,674.57,674.809,674.376,0,674.745,673.638,674.424,674.227,673.894,675.064,674.437,674.536,0,674.664,674.404,674.746,674.57,674.901,674.395,0,674.362,673.836,674.907,674.783,674.48,673.157,674.452,674.23,674.579,674.569,674.541,674.541,674.227,674.498,674.968,0,674.564,674.569
Control,673.408,674.491,674.74,674.43,674.267,674.528,674.624,674.814,674.649,674.24,674.352,674.697,674.547,674.405,675.126,674.528,674.237,674.414,674.441,674.535,674.237,674.643,674.35,674.518,0,674.986,673.408,674.628,674.435,674.267,674.58,674.892,674.219,0,674.43,674.24,674.535,674.405,674.267,674.603,0,674.587,0,674.7,674.499,674.731,674.499,674.758,674.491,0,674.237,674.434,674.81,674.698,674.435,673.408,674.538,674.414,674.512,674.713,674.697,674.669,674.405,674.367,674.963,0,674.629,674.403
Control,673.38,674.442,674.578,674.434,0,674.442,674.622,674.833,674.617,674.255,674.408,674.807,674.579,674.463,674.891,674.442,674.4,674.484,674.583,674.483,674.4,674.589,674.443,674.603,674.141,675.08,673.38,674.612,674.517,674.23,674.612,674.647,674.34,0,674.489,674.255,674.391,674.463,674.23,674.844,674.688,674.462,0,674.692,674.51,674.68,674.612,674.758,674.442,0,674.4,674.096,674.708,674.509,674.517,673.38,674.559,674.484,674.533,674.731,674.637,674.622,674.463,674.509,674.722,0,674.626,674.493
Control,673.271,674.439,674.727,674.443,674.255,674.368,674.857,674.928,674.582,674.059,674.406,674.899,674.353,673.906,675.029,674.368,674.316,674.382,674.59,674.558,674.316,674.611,674.413,674.667,674.166,675.032,673.271,674.625,0,674.255,674.571,674.93,674.253,0,674.653,674.059,674.43,673.906,674.255,674.926,674.415,674.591,0,674.671,674.564,674.755,674.571,674.743,674.439,0,674.316,674.223,674.811,674.79,674.545,673.271,674.495,674.382,674.547,674.648,674.66,674.549,673.906,674.571,674.842,0,674.638,674.467
Control,673.217,674.202,674.906,674.319,0,673.894,675.065,674.949,674.6,673.595,674.409,674.854,674.543,673.968,675.065,673.894,674.364,674.394,674.691,674.471,674.364,674.488,674.487,674.555,674.156,674.979,673.217,674.677,674.555,673.97,674.552,674.771,674.33,0,674.689,673.595,674.434,673.968,673.97,674.935,674.453,674.571,0,674.706,674.584,674.667,674.609,674.891,674.202,0,674.364,674.076,674.815,675.044,674.555,673.217,674.548,674.394,674.599,674.647,674.657612,674.538,673.968,674.541,675.073,0,674.556,674.603
Control,673.332,674.495,675.107,673.885,0,674.545,675.381,675.492,674.64,673.984,673.062,674.77,674.596,674.019,675.476,674.459,674.449,674.952,674.817,674.55,674.313,674.65,674.539,674.619,674.272,674.914,673.332,674.431,0,674.601,674.328,0,674.503,0,674.095,673.984,674.732,674.019,674.812,675.04,674.321,674.55,0,674.754,675.138,674.979,674.43,675.035,674.495,0,674.449,674.229,676.658,674.789,674.224,673.332,674.521,674.563,674.333,674.66,674.539,674.619,674.019,674.504,675.273,0,674.912,674.66
Control,673.146,674.326,674.875,674.392,674.059,674.122,674.912,674.871,0,673.9,674.483,674.714,674.541,674.149,674.967,674.122,674.35,674.372,674.51,674.451,674.35,674.492,674.516,674.604,674.276,674.731,673.146,674.638,674.535,674.059,674.634,674.867,674.333,674.784,674.642,673.9,674.451,674.149,674.059,674.99,674.673,674.619,0,674.724,674.591,674.722,674.634,674.821,674.326,674.564,674.35,674.335,674.792,674.89,674.535,673.146,674.591,674.372,674.624,674.618,674.578,674.494,674.149,674.574,674.917,0,674.595,674.574
Control,673.407,674.395,674.677,674.454,0,674.31,674.882,674.859,674.651,674.104,674.378,674.865,674.563,674.059,675.085,674.31,674.304,674.431,674.558,674.546,674.304,674.596,674.476,674.673,674.046,675.097,673.407,674.567,0,674.278,674.593,674.643,674.191,0,674.725,674.104,674.519,674.059,674.278,674.784,674.728,674.446,0,674.663,674.556,674.717,674.593,674.779,674.395,0,674.304,674.132,674.797,674.596,674.444,673.407,674.517,674.431,674.609,674.711,674.5,674.548,674.059,674.687,674.84,0,674.609,674.446
Control,673.354,674.355,674.719,674.472,0,674.126,674.884,674.849,674.599,673.998,674.489,674.717,674.577,674.071,675.056,674.126,674.307,674.53,674.585,674.584,674.307,674.565,674.477,674.569,674.169,674.835,673.354,674.67,0,674.154,674.652,674.873,674.255,0,674.57,673.998,674.644,674.071,674.154,674.703,674.694,674.584,0,674.574,674.547,674.745,674.652,674.747,674.355,0,674.307,674.396,674.745,674.854,674.521,673.354,674.562,674.53,674.659,674.665,674.716,674.541,674.071,674.619,674.845,0,674.539,674.487
Control,673.138,674.393,674.684,674.408,0,674.215,675.025,674.993,674.629,673.987,674.37,674.886,674.648,674.28,675.136,674.215,674.23,674.573,674.583,674.485,674.23,674.601,674.48,674.525,674.335,675.065,673.138,674.673,674.393,674.23,674.569,674.808,674.444,0,674.568,673.987,674.489,674.28,674.23,674.844,674.335,674.485,0,674.735,674.508,674.808,674.569,674.778,674.393,0,674.23,674.309,674.902,674.583,674.393,673.138,674.474,674.562,674.728,674.592,674.609,674.515,674.28,674.58,674.911,0,674.645,674.528
