% Title: HIV, All Species Singlenet
% Creator: Neena Parikh
%
@RELATION infection

@ATTRIBUTE class {Control,Infected}
@ATTRIBUTE SORD NUMERIC
@ATTRIBUTE COL14A1 NUMERIC
@ATTRIBUTE PECAM1 NUMERIC
@ATTRIBUTE SLC6A6 NUMERIC
@ATTRIBUTE DTNA NUMERIC
@ATTRIBUTE PRKCB NUMERIC
@ATTRIBUTE GRB10 NUMERIC
@ATTRIBUTE RELB NUMERIC
@ATTRIBUTE GNA14 NUMERIC
@ATTRIBUTE CCDC50 NUMERIC
@ATTRIBUTE DNAJC3 NUMERIC
@ATTRIBUTE CORO1A NUMERIC
@ATTRIBUTE VTI1A NUMERIC
@ATTRIBUTE TUBB2A NUMERIC
@ATTRIBUTE TNP1 NUMERIC
@ATTRIBUTE CADPS NUMERIC
@ATTRIBUTE PTRF NUMERIC
@ATTRIBUTE LRIG1 NUMERIC
@ATTRIBUTE NEK2 NUMERIC
@ATTRIBUTE UBE2Z NUMERIC
@ATTRIBUTE HNRNPA3 NUMERIC
@ATTRIBUTE ATP2B2 NUMERIC
@ATTRIBUTE CLN8 NUMERIC
@ATTRIBUTE SLC30A5 NUMERIC
@ATTRIBUTE SP100 NUMERIC
@ATTRIBUTE ZFP106 NUMERIC
@ATTRIBUTE FBLN1 NUMERIC
@ATTRIBUTE TCF20 NUMERIC
@ATTRIBUTE TGFB3 NUMERIC
@ATTRIBUTE SEPT2 NUMERIC
@ATTRIBUTE PPARGC1A NUMERIC
@ATTRIBUTE WFS1 NUMERIC
@ATTRIBUTE FBXO3 NUMERIC
@ATTRIBUTE KPNB1 NUMERIC
@ATTRIBUTE PAK2 NUMERIC
@ATTRIBUTE CD44 NUMERIC
@ATTRIBUTE GALT NUMERIC
@ATTRIBUTE HGFAC NUMERIC
@ATTRIBUTE MAPRE2 NUMERIC
@ATTRIBUTE PLA2G10 NUMERIC
@ATTRIBUTE CHERP NUMERIC
@ATTRIBUTE CSNK1A1 NUMERIC
@ATTRIBUTE ANK3 NUMERIC
@ATTRIBUTE SCARB2 NUMERIC
@ATTRIBUTE COL4A2 NUMERIC
@ATTRIBUTE ABLIM1 NUMERIC
@ATTRIBUTE TOLLIP NUMERIC
@ATTRIBUTE CLEC11A NUMERIC
@ATTRIBUTE TGM2 NUMERIC
@ATTRIBUTE TCF4 NUMERIC
@ATTRIBUTE PDE1A NUMERIC
@ATTRIBUTE PITPNA NUMERIC
@ATTRIBUTE PTPN5 NUMERIC
@ATTRIBUTE CCDC96 NUMERIC
@ATTRIBUTE TK2 NUMERIC
@ATTRIBUTE ADCY9 NUMERIC
@ATTRIBUTE XPNPEP1 NUMERIC
@ATTRIBUTE ORMDL3 NUMERIC
@ATTRIBUTE CPSF2 NUMERIC
@ATTRIBUTE GATAD2A NUMERIC
@ATTRIBUTE UHRF1 NUMERIC
@ATTRIBUTE BBS9 NUMERIC
@ATTRIBUTE PAX3 NUMERIC
@ATTRIBUTE NUP50 NUMERIC
@ATTRIBUTE FPR1 NUMERIC
@ATTRIBUTE ALDH3A2 NUMERIC
@ATTRIBUTE PPM1B NUMERIC
@ATTRIBUTE NADK NUMERIC

@DATA
Control,673.153,674.454,674.484,673.646,674.376,674.503,674.794,674.818,674.644,674.074,674.522,674.755,674.557,674.391,674.954,674.503,674.197,674.399,674.596,674.528,674.197,674.524,674.169,674.525,674.381,674.793,673.153,674.756,674.425,674.376,674.646,674.606,674.35,0,673.646,674.355,674.541,674.391,674.376,674.512,674.454,674.528,0,674.621,674.366,674.665,674.303,674.699,674.555,0,674.197,674.148,674.784,674.502,674.425,673.153,674.359,674.399,674.415,674.654,674.755,674.573,674.391,674.635,674.794,0,674.527,674.393
Control,673.2,674.55,674.648,673.914,674.148,674.273,674.818,674.711,674.605,674.265,674.61,674.829,674.707,674.292,674.818,674.273,674.279,674.365,674.573,674.529,674.279,674.447,674.231,674.564,674.204,674.704,673.2,674.719,674.541,674.148,674.613,674.564,674.399,0,673.914,674.265,674.478,674.292,674.148,674.557,674.564,674.652,0,674.598,674.341,674.611,674.613,674.726,674.603,0,674.279,674.346,674.631,674.688,674.541,673.2,674.402,674.365,674.519,674.702,674.829,674.563,674.292,674.48,674.912,0,674.477,674.46
Control,673.177,674.562,674.577,674.283,674.023,674.06,674.79,674.73,674.629,674.033,674.6,674.815,674.652,674.236,674.79,674.06,674.216,674.379,674.66,674.558,674.216,674.503,674.228,674.515,674.296,674.622,673.177,674.756,674.562,674.023,674.707,674.387,674.421,0,674.283,674.033,674.547,674.236,674.023,674.879,674.475,674.626,0,674.515,674.272,674.643,674.707,674.732,674.569,0,674.216,674.448,674.697,674.681,674.606,673.177,674.45,674.379,674.519,674.683,674.739,674.529,674.236,674.602,674.874,0,674.468,674.429
Control,673.335,674.396,674.581,674.172,0,674.358,674.675,674.88,674.68,674.34,674.51,674.623,674.617,674.425,674.87,674.358,674.286,674.407,674.457,674.587,674.286,674.595,674.39,674.538,674.403,674.811,673.335,674.733,674.505,674.041,674.671,674.437,674.344,0,674.172,674.49,674.465,674.425,674.041,674.703,674.642,674.683,0,674.538,674.45,674.69,674.671,674.814,674.396,0,674.286,674.277,674.807,674.845,674.457,673.335,674.478,674.407,674.466,674.71,674.623,674.625,674.425,674.588,674.853,0,674.537,674.623
Control,673.181,674.5,674.545,674.402,0,674.297,674.794,674.845,674.661,674.352,674.529,674.659,674.626,674.372,674.865,674.297,674.268,674.403,674.622,674.653,674.268,674.584,674.286,674.45,674.461,674.766,673.181,674.757,0,674.136,674.637,674.7,674.371,0,674.46,674.37,674.552,674.372,674.136,674.854,674.734,674.699,0,674.45,674.426,674.691,674.637,674.761,674.5,0,674.268,674.399,674.887,674.71,674.555,673.181,674.495,674.403,674.521,674.718,674.659,674.535,674.372,674.585,674.779,0,674.564,674.531
Control,673.302,674.498,674.737,674.346,673.91,674.307,674.85,674.772,674.67,674.356,674.539,674.654,674.647,674.266,674.902,674.307,674.294,674.363,674.672,674.597,674.294,674.607,674.445,674.582,674.293,674.808,673.302,674.712,674.498,673.91,674.61,674.756,674.386,0,674.441,674.356,674.5,674.266,673.91,674.954,674.37,674.558,0,674.653,674.531,674.682,674.61,674.827,674.506,0,674.294,674.41,674.742,674.907,674.533,673.302,674.601,674.363,674.57,674.746,674.654,674.594,674.266,674.384,674.969,0,674.529,674.515
Control,673.276,674.506,674.814,674.335,674.127,674.034,674.771,674.728,674.587,674.21,674.56,674.643,674.652,674.289,674.771,674.034,674.271,674.369,674.556,0,674.271,674.556,674.299,674.487,674.285,674.859,673.276,674.762,0,674.127,674.647,674.623,674.44,0,674.335,674.21,0,674.289,674.127,674.838,674.673,674.699,0,674.487,674.556,674.652,674.614,674.855,674.597,0,674.271,674.303,674.806,674.885,674.552,673.276,674.595,674.369,674.453,674.651,674.643,674.591,674.289,674.646,675.252,0,674.466,674.493
Control,673.438,674.536,674.568,674.346,674.273,674.465,674.759,674.811,674.677,674.399,674.598,674.688,674.656,674.52,674.759,674.465,674.31,674.485,674.567,674.687,674.31,674.613,674.29,674.459,674.468,674.71,673.438,674.712,0,674.273,674.649,674.764,674.487,0,674.346,674.465,674.623,674.52,674.273,674.744,674.56,674.707,0,674.459,674.38,674.668,674.644,674.754,674.536,0,674.31,674.546,674.788,674.708,674.54,673.438,674.485,674.485,674.561,674.699,674.688,674.596,674.52,674.653,674.855,0,674.551,674.489
Control,673.314,674.363,674.739,674.374,0,674.366,674.848,675.001,674.657282,673.967,674.341,674.682,674.658366,674.439,675.09,674.366,674.328,674.465,674.653,674.619,674.328,674.64,674.397,674.554,674.433,675.012,673.314,674.598,0,673.973,674.555,674.715,674.27,0,674.553,674.194,674.555,674.439,673.973,675.001,674.433,674.621,0,674.704,674.637,674.718,674.518,674.913,674.363,0,674.328,674.326,674.819,674.957,674.341,673.314,674.58,674.465,674.495,674.742,674.682,674.547,674.439,674.474,674.987,0,674.615,674.479
Control,673.473,674.501,674.636,674.258,0,674.615,674.66,674.998,674.684,674.039,674.418,674.702,674.649,674.392,674.913,674.615,674.43,674.496,674.579,674.573,674.43,674.637,674.414,674.608,674.393,675.036,673.473,674.602,674.396,674.163,674.59,674.852,674.314,0,674.258,674.47,674.501,674.392,674.163,674.756,674.621,674.623,674.43,674.633,674.58,674.697,674.59,674.853,674.501,0,674.43,674.339,674.846,674.712,674.396,673.473,674.534,674.496,674.525,674.731,674.702,674.523,674.392,674.519,674.841,674.71,674.602,674.538
Control,673.385,674.501,674.737,674.368,674.007,674.35,674.806,674.834,674.656,674.254,674.558,674.723,674.643,674.452,674.918,674.35,674.412,674.376,674.577,674.62,674.412,674.614,674.392,674.597,674.505,674.783,673.385,674.756,0,674.007,674.626,674.627,674.42,0,674.368,674.254,674.514,674.452,674.007,674.873,674.572,674.676,0,674.662,674.599,674.682,674.626,674.829,674.57,0,674.412,674.482,674.697,675.09,674.476,673.385,674.624,674.376,674.591,674.694,674.723,674.592,674.452,674.609,675.004,0,674.556,674.51
Control,673.281,674.495,674.698,674.427,0,674.482,674.884,674.894,674.594,674.168,674.428,674.782,674.438,674.278,674.884,674.482,674.334,674.336,674.637,674.484,674.334,674.631,674.326,674.574,674.289,674.896,673.281,674.845,0,673.93,674.591,0,674.299,0,674.601,674.449,674.394,674.278,673.93,675.077,674.702,674.657,0,674.595,674.59,674.733,674.591,674.821,674.517,0,674.334,674.478,674.901,674.872,674.497,673.281,674.494,674.336,674.511,674.793,674.782,674.579,674.278,674.61,674.917,0,674.598,674.479
Control,672.947,674.379,675.032,674.064,0,674.237,675.263,675.261,674.715,673.68,673.585,674.828,674.384,673.919,675.398,674.237,674.503,674.462,674.54,674.47,674.503,674.544,674.427,674.52,674.202,675.354,672.947,674.512,0,674.316,674.424,674.82,674.428,0,674.663,673.791,674.564,673.919,674.316,675.16,674.202,674.47,0,674.801,674.952,674.782,674.549,675.094,674.379,0,674.503,674.359,675.292,673.649,674.257,672.947,674.526,674.462,674.447,674.727,674.687,674.466,673.919,674.298,675.206,0,674.635,674.657822
Control,673.176,674.531,674.92,674.328,0,674.236,675.004,674.749,674.651,673.98,674.533,674.641,674.649,674.259,675.004,674.236,674.264,674.6,674.664,674.418,674.264,674.509,674.403,674.669,674.135,674.89,673.176,674.753,674.532,674.129,674.663,674.615,674.391,0,674.328,673.98,674.418,674.259,674.129,674.73,674.284,674.637,0,674.711,674.515,674.729,674.663,674.811,674.531,0,674.264,674.13,674.808,674.731,674.567,673.176,674.554,674.6,674.623,674.713,674.641,674.544,674.259,674.703,675.026,0,674.621,674.499
Control,673.164,674.459,674.815,674.077,674.196,674.222,674.876,674.647,674.67,673.865,674.426,674.832,674.491,674.112,675.051,674.222,674.303,674.501,674.571,674.466,674.303,674.565,674.442,674.58,674.11,674.948,673.164,674.725,674.495,674.196,674.615,674.707,674.368,0,674.077,673.865,674.402,674.112,674.196,674.522,674.58,674.653,0,674.666,674.633,674.666,674.615,674.798,674.459,0,674.303,673.825,674.769,674.815,674.508,673.164,674.52,674.501,674.507,674.675,674.757,674.567,674.112,674.61,674.974,0,674.661,674.463
Control,673.237,674.349,674.737,674.445,0,674.284,674.856,674.796,674.643,674.138,674.451,674.735,674.617,674.34,675.02,674.284,674.318,674.514,674.646,674.61,674.318,674.558,674.267,674.608,674.243,674.827,673.237,674.695,674.551,674.079,674.608,674.47,674.259,0,674.605,674.138,674.572,674.34,674.079,674.892,674.59,674.61,0,674.703,674.504,674.623,674.608,674.755,674.349,0,674.318,674.128,674.734,674.594,674.553,673.237,674.481,674.514,674.428,674.755,674.699,674.625,674.34,674.529,674.854,0,674.541,674.49
Control,673.369,674.49,674.618,674.404,674.226,674.564,674.685,674.728,674.681,674.213,674.359,674.764,674.53,674.157,675.086,674.564,674.286,674.685,674.551,674.563,674.286,674.797,674.38,674.621,674.254,674.887,673.369,674.636,0,674.226,674.588,674.753,674.34,0,674.404,674.38,674.688,674.157,674.226,674.61,674.415,674.563,0,674.658438,674.518,674.69,674.588,674.746,674.505,0,674.286,674.271,674.851,674.603,674.522,673.369,674.508,674.641,674.511,674.748,674.698,674.58,674.157,674.56,674.739,0,674.617,674.398
