% Title: HIV, All Species
% Creator: Neena Parikh
%
@RELATION infection

@ATTRIBUTE class {Control,GDS3660,GDS1450,GDS1209}
@ATTRIBUTE SIP1 NUMERIC
@ATTRIBUTE ESM1 NUMERIC
@ATTRIBUTE PEX13 NUMERIC
@ATTRIBUTE CRK NUMERIC
@ATTRIBUTE TAF7 NUMERIC
@ATTRIBUTE ABI2 NUMERIC
@ATTRIBUTE E2F3 NUMERIC
@ATTRIBUTE CLPX NUMERIC
@ATTRIBUTE NOP56 NUMERIC
@ATTRIBUTE ARF4 NUMERIC
@ATTRIBUTE ATRX NUMERIC
@ATTRIBUTE EID1 NUMERIC
@ATTRIBUTE NSL1 NUMERIC
@ATTRIBUTE GGPS1 NUMERIC
@ATTRIBUTE ABI1 NUMERIC
@ATTRIBUTE DAG1 NUMERIC

@DATA
Control,39.5675,674.8325,323.0675,4677.4675,171.9325,196.9675,101.8325,298.8325,171.9325,1588.7675,811.0675,244.4325,652.5325,4677.4675,811.0675,39.5675
Control,367.2325,845.3325,760.5325,2257.8675,566.8325,367.2325,757.8325,826.7325,308.4325,278.8675,2196.0675,839.3325,518.7325,2257.8675,2196.0675,367.2325
Control,31.6675,681.5325,25.5325,1988.8675,368.4325,107.2675,379.2325,499.4325,368.4325,451.4675,572.2675,542.2325,475.0325,1988.8675,572.2675,31.6675
Control,404.1325,778.7325,804.3325,6409.6675,525.4325,404.1325,370.9325,678.8325,428.1325,1630.9675,738.1675,824.4325,337.5325,6409.6675,738.1675,404.1325
Control,207.0325,844.9325,629.5325,3832.9675,603.3325,207.0325,471.6325,603.5325,603.3325,692.6675,1773.4675,651.9325,628.0325,3832.9675,1773.4675,207.0325
Control,5.86749999999995,762.9325,501.7325,2471.5675,512.7325,5.86749999999995,524.2325,675.0325,256.5325,770.3675,1612.2675,713.4325,512.1325,2471.5675,1612.2675,5.86749999999995
Control,144.9325,860.7325,775.0325,1098.5675,359.1325,144.9325,702.6325,796.3325,359.1325,508.5325,213.7675,838.7325,506.1325,1098.5675,213.7675,144.9325
GDS1209,195.4675,791.1325,540.5325,4023.8675,192.6325,195.4675,5.46749999999997,129.6325,192.6325,1719.4675,275.0675,443.4325,279.9325,4023.8675,275.0675,195.4675
GDS1209,32.5325,567.5325,258.6325,3482.0675,166.4325,40.7674999999999,79.1675,49.7674999999999,166.4325,1287.8675,93.9325,32.5325,511.0325,3482.0675,93.9325,44.6325000000001
GDS1209,495.5675,557.2325,263.9325,2635.5675,172.7675,1186.2675,264.5675,264.5675,172.7675,2210.6675,317.6675,433.1325,388.8325,2635.5675,317.6675,495.5675
GDS1209,264.4675,685.5325,18.3325,3648.2675,410.4675,1109.3675,124.1675,124.1675,410.4675,1823.7675,365.8675,553.8325,384.6325,3648.2675,365.8675,264.4675
GDS1209,252.9675,559.8325,280.6325,3077.0675,1269.2675,390.5675,155.2325,209.7325,1269.2675,2028.7675,151.5325,658.0325,151.5325,3077.0675,151.5325,252.9675
GDS1209,84.1325000000001,732.0325,261.4325,4900.2675,13.1325000000001,84.1325000000001,95.9325,95.9325,13.1325000000001,3693.3675,70.3674999999999,321.8325,274.8325,4900.2675,70.3674999999999,84.1325000000001
GDS1209,271.0675,589.1325,237.4325,5489.4675,343.9325,271.0675,8.03250000000003,8.03250000000003,343.9325,3322.6675,286.1675,565.0325,300.3325,5489.4675,286.1675,271.0675
GDS1209,220.9325,786.4325,475.2675,7222.2675,385.8325,220.9325,662.9675,662.9675,385.8325,4714.1675,333.5675,328.6325,34.9675,7222.2675,333.5675,220.9325
GDS1209,116.6325,763.2325,586.4675,6122.4675,515.8325,64.2674999999999,236.1675,236.1675,515.8325,3744.1675,393.6675,134.7325,31.4325,6122.4675,393.6675,116.6325
GDS1209,250.3675,594.4325,305.9675,3345.1675,92.3675000000001,250.3675,308.4675,308.4675,92.3675000000001,1583.4675,115.2675,489.5325,315.3325,3345.1675,115.2675,250.3675
