% Title: HIV, All Species Singlenet
% Creator: Neena Parikh
%
@RELATION infection

@ATTRIBUTE class {Control,Infected}
@ATTRIBUTE THBS1 NUMERIC
@ATTRIBUTE IFT122 NUMERIC
@ATTRIBUTE VCAN NUMERIC
@ATTRIBUTE COL5A1 NUMERIC
@ATTRIBUTE COL3A1 NUMERIC
@ATTRIBUTE COL14A1 NUMERIC
@ATTRIBUTE EGR2 NUMERIC
@ATTRIBUTE ADCY7 NUMERIC
@ATTRIBUTE COTL1 NUMERIC
@ATTRIBUTE TAGLN2 NUMERIC
@ATTRIBUTE SOCS3 NUMERIC
@ATTRIBUTE IGFBP7 NUMERIC
@ATTRIBUTE FSCN1 NUMERIC
@ATTRIBUTE GPRC5B NUMERIC
@ATTRIBUTE SULF1 NUMERIC
@ATTRIBUTE SERPINF1 NUMERIC
@ATTRIBUTE BUB3 NUMERIC
@ATTRIBUTE BIN1 NUMERIC
@ATTRIBUTE DCLK1 NUMERIC
@ATTRIBUTE SVEP1 NUMERIC
@ATTRIBUTE MMP14 NUMERIC
@ATTRIBUTE SPATA6 NUMERIC
@ATTRIBUTE CD44 NUMERIC
@ATTRIBUTE LITAF NUMERIC
@ATTRIBUTE EFEMP2 NUMERIC
@ATTRIBUTE KLHL6 NUMERIC
@ATTRIBUTE ENAH NUMERIC
@ATTRIBUTE TSPAN9 NUMERIC
@ATTRIBUTE NEK2 NUMERIC
@ATTRIBUTE MYO1E NUMERIC
@ATTRIBUTE PARD3B NUMERIC
@ATTRIBUTE PRKG1 NUMERIC
@ATTRIBUTE COL4A2 NUMERIC
@ATTRIBUTE ARMCX2 NUMERIC
@ATTRIBUTE MGAT4A NUMERIC
@ATTRIBUTE FKBP14 NUMERIC
@ATTRIBUTE BCL2L11 NUMERIC
@ATTRIBUTE NPDC1 NUMERIC
@ATTRIBUTE DAB2 NUMERIC
@ATTRIBUTE TTLL1 NUMERIC
@ATTRIBUTE DCK NUMERIC
@ATTRIBUTE INTS6 NUMERIC
@ATTRIBUTE ALG14 NUMERIC
@ATTRIBUTE DIXDC1 NUMERIC
@ATTRIBUTE MARCKS NUMERIC
@ATTRIBUTE ARRB1 NUMERIC
@ATTRIBUTE MASP1 NUMERIC
@ATTRIBUTE PVT1 NUMERIC
@ATTRIBUTE WNK2 NUMERIC
@ATTRIBUTE OBFC2A NUMERIC
@ATTRIBUTE CREM NUMERIC
@ATTRIBUTE SORBS2 NUMERIC
@ATTRIBUTE EGFR NUMERIC
@ATTRIBUTE PTBP1 NUMERIC
@ATTRIBUTE PMEPA1 NUMERIC
@ATTRIBUTE ANKRD10 NUMERIC
@ATTRIBUTE RAB8B NUMERIC
@ATTRIBUTE ALDH18A1 NUMERIC
@ATTRIBUTE TRPS1 NUMERIC
@ATTRIBUTE NUB1 NUMERIC
@ATTRIBUTE CREB3L2 NUMERIC
@ATTRIBUTE APBB1IP NUMERIC
@ATTRIBUTE DDR1 NUMERIC
@ATTRIBUTE TIMELESS NUMERIC
@ATTRIBUTE SHROOM3 NUMERIC
@ATTRIBUTE RNF24 NUMERIC
@ATTRIBUTE TRAK1 NUMERIC
@ATTRIBUTE PALM2-AKAP2 NUMERIC
@ATTRIBUTE TRIM2 NUMERIC
@ATTRIBUTE IKBIP NUMERIC
@ATTRIBUTE ARHGEF7 NUMERIC
@ATTRIBUTE TLR4 NUMERIC
@ATTRIBUTE BMP2K NUMERIC
@ATTRIBUTE FYB NUMERIC
@ATTRIBUTE ERGIC1 NUMERIC
@ATTRIBUTE WWC2 NUMERIC
@ATTRIBUTE SEPT6 NUMERIC
@ATTRIBUTE TBX5 NUMERIC
@ATTRIBUTE CELF1 NUMERIC
@ATTRIBUTE MEG3 NUMERIC
@ATTRIBUTE TMEM107 NUMERIC
@ATTRIBUTE SLC27A1 NUMERIC
@ATTRIBUTE MCM10 NUMERIC
@ATTRIBUTE MMP2 NUMERIC
@ATTRIBUTE TGFBR2 NUMERIC
@ATTRIBUTE LRRC59 NUMERIC
@ATTRIBUTE TIMP2 NUMERIC
@ATTRIBUTE PDLIM5 NUMERIC
@ATTRIBUTE CNN3 NUMERIC
@ATTRIBUTE FARP1 NUMERIC
@ATTRIBUTE TMEM158 NUMERIC
@ATTRIBUTE FOXK2 NUMERIC
@ATTRIBUTE GPM6B NUMERIC
@ATTRIBUTE LRRCC1 NUMERIC
@ATTRIBUTE EHD2 NUMERIC
@ATTRIBUTE AIF1 NUMERIC
@ATTRIBUTE RPS6KA5 NUMERIC
@ATTRIBUTE WHSC1L1 NUMERIC
@ATTRIBUTE MYLK3 NUMERIC
@ATTRIBUTE WDR1 NUMERIC
@ATTRIBUTE SNED1 NUMERIC
@ATTRIBUTE CNGB3 NUMERIC
@ATTRIBUTE CNP NUMERIC
@ATTRIBUTE ENTPD1 NUMERIC
@ATTRIBUTE LY6E NUMERIC
@ATTRIBUTE PPM1L NUMERIC
@ATTRIBUTE ISLR NUMERIC
@ATTRIBUTE ADK NUMERIC
@ATTRIBUTE ST6GAL1 NUMERIC
@ATTRIBUTE KCTD14 NUMERIC
@ATTRIBUTE FLRT2 NUMERIC
@ATTRIBUTE ALDH4A1 NUMERIC
@ATTRIBUTE BACE2 NUMERIC
@ATTRIBUTE WWP2 NUMERIC
@ATTRIBUTE LPIN2 NUMERIC
@ATTRIBUTE SLC8A1 NUMERIC
@ATTRIBUTE NCAM1 NUMERIC
@ATTRIBUTE FRMD4B NUMERIC
@ATTRIBUTE CEP164 NUMERIC
@ATTRIBUTE NOP16 NUMERIC
@ATTRIBUTE DKK3 NUMERIC
@ATTRIBUTE CAMKK2 NUMERIC
@ATTRIBUTE CTSC NUMERIC
@ATTRIBUTE GAS2L1 NUMERIC
@ATTRIBUTE IRF6 NUMERIC
@ATTRIBUTE TSHZ2 NUMERIC
@ATTRIBUTE KIF5B NUMERIC
@ATTRIBUTE PTPLA NUMERIC
@ATTRIBUTE FBLN5 NUMERIC
@ATTRIBUTE TFRC NUMERIC
@ATTRIBUTE SEPT2 NUMERIC
@ATTRIBUTE MYO9B NUMERIC
@ATTRIBUTE SNTB2 NUMERIC
@ATTRIBUTE WIPI1 NUMERIC
@ATTRIBUTE FGF18 NUMERIC
@ATTRIBUTE SLC6A2 NUMERIC
@ATTRIBUTE HS2ST1 NUMERIC
@ATTRIBUTE CBX5 NUMERIC
@ATTRIBUTE CHMP5 NUMERIC
@ATTRIBUTE BMP1 NUMERIC
@ATTRIBUTE PCNT NUMERIC
@ATTRIBUTE FUT8 NUMERIC
@ATTRIBUTE RNF144B NUMERIC
@ATTRIBUTE KCNMA1 NUMERIC
@ATTRIBUTE RAP1GDS1 NUMERIC
@ATTRIBUTE IFITM3 NUMERIC
@ATTRIBUTE CDV3 NUMERIC
@ATTRIBUTE PI4K2B NUMERIC
@ATTRIBUTE IER5L NUMERIC
@ATTRIBUTE DTX3L NUMERIC
@ATTRIBUTE ST3GAL1 NUMERIC
@ATTRIBUTE FOXP1 NUMERIC
@ATTRIBUTE USP47 NUMERIC
@ATTRIBUTE PCDH10 NUMERIC
@ATTRIBUTE ZFP28 NUMERIC
@ATTRIBUTE STX3 NUMERIC
@ATTRIBUTE KLHL28 NUMERIC
@ATTRIBUTE GFPT1 NUMERIC
@ATTRIBUTE FGFR1 NUMERIC
@ATTRIBUTE CYLD NUMERIC
@ATTRIBUTE MAP3K3 NUMERIC
@ATTRIBUTE APRT NUMERIC
@ATTRIBUTE CD80 NUMERIC
@ATTRIBUTE RNF165 NUMERIC
@ATTRIBUTE SYNPO2 NUMERIC
@ATTRIBUTE TRMT2A NUMERIC
@ATTRIBUTE EMID1 NUMERIC
@ATTRIBUTE NRXN1 NUMERIC
@ATTRIBUTE DHX58 NUMERIC
@ATTRIBUTE RBPJ NUMERIC
@ATTRIBUTE TMEM144 NUMERIC
@ATTRIBUTE GSDMD NUMERIC
@ATTRIBUTE KRT18 NUMERIC
@ATTRIBUTE PLD1 NUMERIC
@ATTRIBUTE OSBPL5 NUMERIC
@ATTRIBUTE RHO NUMERIC
@ATTRIBUTE CD99 NUMERIC
@ATTRIBUTE KLHL20 NUMERIC
@ATTRIBUTE TTL NUMERIC
@ATTRIBUTE NKTR NUMERIC
@ATTRIBUTE DGKE NUMERIC
@ATTRIBUTE DNM1 NUMERIC
@ATTRIBUTE LAT2 NUMERIC
@ATTRIBUTE MAFB NUMERIC
@ATTRIBUTE PRPF40A NUMERIC
@ATTRIBUTE GADD45B NUMERIC
@ATTRIBUTE SCAMP2 NUMERIC
@ATTRIBUTE DST NUMERIC
@ATTRIBUTE IQGAP3 NUMERIC
@ATTRIBUTE CHL1 NUMERIC
@ATTRIBUTE AEBP2 NUMERIC
@ATTRIBUTE EIF2AK2 NUMERIC
@ATTRIBUTE FARP2 NUMERIC
@ATTRIBUTE PTRF NUMERIC
@ATTRIBUTE RUNX1T1 NUMERIC
@ATTRIBUTE NEDD9 NUMERIC
@ATTRIBUTE CD4 NUMERIC
@ATTRIBUTE SIPA1L1 NUMERIC
@ATTRIBUTE CD200R1 NUMERIC
@ATTRIBUTE ZMYND8 NUMERIC
@ATTRIBUTE NF2 NUMERIC
@ATTRIBUTE PEMT NUMERIC
@ATTRIBUTE ROPN1L NUMERIC
@ATTRIBUTE COG1 NUMERIC
@ATTRIBUTE CACNB2 NUMERIC
@ATTRIBUTE SLC12A6 NUMERIC
@ATTRIBUTE FDFT1 NUMERIC
@ATTRIBUTE ECHDC2 NUMERIC
@ATTRIBUTE NAAA NUMERIC
@ATTRIBUTE TRIB1 NUMERIC
@ATTRIBUTE SCN1A NUMERIC
@ATTRIBUTE ADAM12 NUMERIC
@ATTRIBUTE FKBP15 NUMERIC
@ATTRIBUTE ALDH2 NUMERIC
@ATTRIBUTE CCDC76 NUMERIC
@ATTRIBUTE IFI44 NUMERIC
@ATTRIBUTE TRIO NUMERIC
@ATTRIBUTE GNRHR NUMERIC
@ATTRIBUTE SYT7 NUMERIC
@ATTRIBUTE SNRNP48 NUMERIC
@ATTRIBUTE TMEM219 NUMERIC
@ATTRIBUTE PKNOX2 NUMERIC
@ATTRIBUTE ZEB2 NUMERIC
@ATTRIBUTE SPATS2L NUMERIC
@ATTRIBUTE PIK3C2A NUMERIC
@ATTRIBUTE RASSF1 NUMERIC
@ATTRIBUTE KALRN NUMERIC
@ATTRIBUTE BAIAP2 NUMERIC
@ATTRIBUTE COL9A3 NUMERIC
@ATTRIBUTE ACSL6 NUMERIC
@ATTRIBUTE MPRIP NUMERIC
@ATTRIBUTE AGXT2L2 NUMERIC
@ATTRIBUTE TRIOBP NUMERIC
@ATTRIBUTE HIPK2 NUMERIC
@ATTRIBUTE RBBP6 NUMERIC
@ATTRIBUTE PIKFYVE NUMERIC
@ATTRIBUTE HSPA13 NUMERIC
@ATTRIBUTE ELAVL1 NUMERIC
@ATTRIBUTE SFI1 NUMERIC
@ATTRIBUTE RGMB NUMERIC
@ATTRIBUTE DPP7 NUMERIC
@ATTRIBUTE PLEKHA3 NUMERIC
@ATTRIBUTE YES1 NUMERIC
@ATTRIBUTE MATR3 NUMERIC
@ATTRIBUTE UBR2 NUMERIC
@ATTRIBUTE SLC46A1 NUMERIC
@ATTRIBUTE ANAPC7 NUMERIC
@ATTRIBUTE GAD1 NUMERIC
@ATTRIBUTE MBP NUMERIC
@ATTRIBUTE PATZ1 NUMERIC
@ATTRIBUTE CP NUMERIC
@ATTRIBUTE MYT1L NUMERIC
@ATTRIBUTE KLC1 NUMERIC
@ATTRIBUTE MAST4 NUMERIC
@ATTRIBUTE MPP7 NUMERIC
@ATTRIBUTE KREMEN1 NUMERIC
@ATTRIBUTE DTNA NUMERIC
@ATTRIBUTE INTS10 NUMERIC
@ATTRIBUTE AGPAT3 NUMERIC
@ATTRIBUTE GTPBP5 NUMERIC
@ATTRIBUTE PTPN2 NUMERIC
@ATTRIBUTE CD22 NUMERIC
@ATTRIBUTE EVC NUMERIC
@ATTRIBUTE TRAFD1 NUMERIC
@ATTRIBUTE TCHH NUMERIC
@ATTRIBUTE APC NUMERIC
@ATTRIBUTE IFT27 NUMERIC
@ATTRIBUTE POLD1 NUMERIC
@ATTRIBUTE SLC39A14 NUMERIC
@ATTRIBUTE CABYR NUMERIC
@ATTRIBUTE NCDN NUMERIC
@ATTRIBUTE SERPINB9 NUMERIC
@ATTRIBUTE PLCB4 NUMERIC
@ATTRIBUTE TCF21 NUMERIC
@ATTRIBUTE HCFC1R1 NUMERIC
@ATTRIBUTE RUFY3 NUMERIC
@ATTRIBUTE USP45 NUMERIC
@ATTRIBUTE PRLR NUMERIC
@ATTRIBUTE MTM1 NUMERIC
@ATTRIBUTE RGS3 NUMERIC
@ATTRIBUTE PPFIBP1 NUMERIC
@ATTRIBUTE SLAMF7 NUMERIC
@ATTRIBUTE ZBED3 NUMERIC
@ATTRIBUTE SOS1 NUMERIC
@ATTRIBUTE TBC1D8B NUMERIC
@ATTRIBUTE ESRRB NUMERIC
@ATTRIBUTE GABRG3 NUMERIC
@ATTRIBUTE NT5E NUMERIC
@ATTRIBUTE WDR33 NUMERIC
@ATTRIBUTE TBX3 NUMERIC
@ATTRIBUTE KY NUMERIC
@ATTRIBUTE NMD3 NUMERIC
@ATTRIBUTE ARIH1 NUMERIC
@ATTRIBUTE SNCAIP NUMERIC
@ATTRIBUTE PPP1R11 NUMERIC
@ATTRIBUTE STRBP NUMERIC
@ATTRIBUTE CAST NUMERIC
@ATTRIBUTE DDHD1 NUMERIC
@ATTRIBUTE PLCE1 NUMERIC
@ATTRIBUTE DDX49 NUMERIC
@ATTRIBUTE EHD4 NUMERIC
@ATTRIBUTE PWWP2B NUMERIC
@ATTRIBUTE ANK1 NUMERIC
@ATTRIBUTE SQLE NUMERIC
@ATTRIBUTE SERBP1 NUMERIC
@ATTRIBUTE VSX1 NUMERIC
@ATTRIBUTE PTEN NUMERIC
@ATTRIBUTE NRF1 NUMERIC
@ATTRIBUTE NEDD4L NUMERIC
@ATTRIBUTE MIPOL1 NUMERIC
@ATTRIBUTE FAM189B NUMERIC
@ATTRIBUTE AQP3 NUMERIC
@ATTRIBUTE TRPM7 NUMERIC
@ATTRIBUTE CFL2 NUMERIC
@ATTRIBUTE N4BP1 NUMERIC
@ATTRIBUTE HSPB1 NUMERIC
@ATTRIBUTE FAM131A NUMERIC
@ATTRIBUTE CADM2 NUMERIC
@ATTRIBUTE KLF12 NUMERIC
@ATTRIBUTE ELOVL7 NUMERIC
@ATTRIBUTE INPP5K NUMERIC
@ATTRIBUTE IRF7 NUMERIC
@ATTRIBUTE DISP1 NUMERIC
@ATTRIBUTE EDA NUMERIC
@ATTRIBUTE WDR37 NUMERIC
@ATTRIBUTE RBM4 NUMERIC
@ATTRIBUTE PVRL1 NUMERIC
@ATTRIBUTE MAGI1 NUMERIC
@ATTRIBUTE TAF9B NUMERIC
@ATTRIBUTE ELAVL2 NUMERIC
@ATTRIBUTE SEPT4 NUMERIC
@ATTRIBUTE TMEM74 NUMERIC
@ATTRIBUTE HDLBP NUMERIC
@ATTRIBUTE SOD2 NUMERIC
@ATTRIBUTE SYNGR1 NUMERIC
@ATTRIBUTE NDRG1 NUMERIC
@ATTRIBUTE PLAGL1 NUMERIC
@ATTRIBUTE FGF4 NUMERIC
@ATTRIBUTE FBLN1 NUMERIC
@ATTRIBUTE NFIA NUMERIC
@ATTRIBUTE EHD3 NUMERIC
@ATTRIBUTE CCDC28B NUMERIC
@ATTRIBUTE RAMP1 NUMERIC
@ATTRIBUTE MSRB3 NUMERIC
@ATTRIBUTE ADRA1A NUMERIC
@ATTRIBUTE SLC4A7 NUMERIC
@ATTRIBUTE WAPAL NUMERIC
@ATTRIBUTE TGFA NUMERIC
@ATTRIBUTE SLC26A6 NUMERIC
@ATTRIBUTE GULP1 NUMERIC
@ATTRIBUTE IKZF4 NUMERIC
@ATTRIBUTE PPARA NUMERIC
@ATTRIBUTE FAM65B NUMERIC
@ATTRIBUTE CRHR2 NUMERIC
@ATTRIBUTE CALCA NUMERIC
@ATTRIBUTE IL6ST NUMERIC
@ATTRIBUTE MIER1 NUMERIC
@ATTRIBUTE TM9SF4 NUMERIC
@ATTRIBUTE DNM2 NUMERIC
@ATTRIBUTE CECR5 NUMERIC
@ATTRIBUTE AMBRA1 NUMERIC
@ATTRIBUTE BCAT1 NUMERIC
@ATTRIBUTE NAV2 NUMERIC
@ATTRIBUTE RAC1 NUMERIC
@ATTRIBUTE TBC1D22A NUMERIC
@ATTRIBUTE NINJ1 NUMERIC
@ATTRIBUTE CDKL3 NUMERIC
@ATTRIBUTE ELAVL4 NUMERIC
@ATTRIBUTE METAP2 NUMERIC
@ATTRIBUTE RAD18 NUMERIC
@ATTRIBUTE FAM161A NUMERIC
@ATTRIBUTE SLC12A3 NUMERIC
@ATTRIBUTE PAK7 NUMERIC
@ATTRIBUTE COL9A1 NUMERIC
@ATTRIBUTE TIA1 NUMERIC
@ATTRIBUTE CYTSB NUMERIC
@ATTRIBUTE DOCK4 NUMERIC
@ATTRIBUTE RORC NUMERIC
@ATTRIBUTE CAMK4 NUMERIC
@ATTRIBUTE SUZ12 NUMERIC
@ATTRIBUTE RIT1 NUMERIC
@ATTRIBUTE BICD2 NUMERIC
@ATTRIBUTE TTLL10 NUMERIC
@ATTRIBUTE MTHFD2L NUMERIC
@ATTRIBUTE RBM38 NUMERIC
@ATTRIBUTE MYCBP NUMERIC
@ATTRIBUTE RHOBTB3 NUMERIC
@ATTRIBUTE TRPM3 NUMERIC
@ATTRIBUTE KCNA6 NUMERIC
@ATTRIBUTE RGS12 NUMERIC
@ATTRIBUTE CYP1B1 NUMERIC
@ATTRIBUTE NOS1 NUMERIC
@ATTRIBUTE MINA NUMERIC
@ATTRIBUTE GJA4 NUMERIC
@ATTRIBUTE GCNT2 NUMERIC
@ATTRIBUTE AKAP7 NUMERIC
@ATTRIBUTE EPHB2 NUMERIC
@ATTRIBUTE CDC42BPG NUMERIC
@ATTRIBUTE HEXIM1 NUMERIC
@ATTRIBUTE BICD1 NUMERIC
@ATTRIBUTE TUBGCP5 NUMERIC
@ATTRIBUTE PLXNA3 NUMERIC
@ATTRIBUTE GDAP1 NUMERIC
@ATTRIBUTE PCYOX1 NUMERIC
@ATTRIBUTE KCND3 NUMERIC
@ATTRIBUTE FKBP11 NUMERIC
@ATTRIBUTE BCL2L1 NUMERIC
@ATTRIBUTE ACAT1 NUMERIC
@ATTRIBUTE PAK1 NUMERIC
@ATTRIBUTE ZIM2 NUMERIC
@ATTRIBUTE MLLT10 NUMERIC

@DATA
Control,18.362,1912.22,987.347,10445.503,1502.31,8768.517,416.107,447.666,10176.721,320.288,331.155,131.098,3375.437,1240.238,271.719,62.845,323.996,49.769,12673.714,35.118,3375.437,544.968,1202.904,1352.745,35.122,171.453,4434.819,1794.282,1837.365,120.885,505.638,357.466,89.381,1009.533,1026.025,158.32,128.583,286.634,483.426,753.263,844.435,3688.162,102.56,5665.331,10638.536,476.64,1832.505,1614.116,597.636,506.87,1307.918,11690.242,5964.159,39.905,596.719,603.522,405,4694.754,226.254,1908.446,159.338,161.471,4694.754,407.61,5217.154,208.585,4101.203,12365.037,594.442,622.024,103.274,260.527,1832.505,121.849,496.231,651.591,8719.058,225.055,8787.321,6259.011,771.722,323.49,158.32,1109.629,405,7128.228,10070.596,937.734,20.629,133.061,3301.841,417.398,463.397,111.948,853.266,235.753,597.636,15125.269,127.213,460.701,146.031,357.466,3060.65,3244.542,11690.242,108.47,252.69,6347.092,1438.062,1767.619,229.963,435.641,2209.966,345.393,1026.025,1199.117,253.078,606.25,109.629,112.048,993.865,115.079,1911.131,179.174,1892.327,477.466,3465.082,1026.025,722.096,1146.176,393.23,3856.503,271.806,3569.848,63.99,1041.686,7031.962,220.353,131.371,3301.841,845.115,844.435,445.785,471.882,92.137,73.09,7323.782,3452.882,372.285,1614.116,253.62,460.701,4257.173,10103.623,463.397,12365.037,142.218,1591.354,7773.306,5028.194,83.486,945.759,462.877,476.64,2265.087,753.263,357.466,12996.439,3351.262,482.369,234.987,2131.402,121.254,225.055,834.846,334.363,1886.749,3856.503,554.541,956.688,226.254,1732.457,5146.326,4071.842,10070.596,365.996,1329.074,429.777,427.562,1648.748,823.496,531.197,795.901,174.2,870.322,945.759,2580.862,147.511,348.766,471.882,114.254,12365.037,69.049,1808.921,236.393,7075.674,116.086,158.326,3569.848,91.114,945.407,286.412,945.407,1614.116,5939.203,158.092,5665.331,160.904,2537.505,1472.034,7075.674,8516.575,413.882,542.413,1379.923,537.606,11690.242,300.415,559.249,753.263,178.35,278.538,8787.321,4483.011,1583.35,2393.309,355.934,1591.354,2685.122,1614.116,4483.011,1681.646,12135.605,5665.331,361.142,239.257,302.635,3375.437,5590.577,1663.128,2395.227,229.963,256.84,12996.439,3139.387,10103.623,12365.037,516.452,780.655,220.431,3612.459,13146.229,4071.842,3139.387,72.698,447.666,476.64,15125.269,1912.22,388.342,142.952,2490.33,834.846,2118.276,402.383,956.688,8516.575,738.79,191.436,945.759,476.64,505.638,12996.439,220.353,597.636,428.272,2490.33,191.438,2310.3,12365.037,222.739,1026.025,1912.22,945.407,80.061,2812.596,6259.011,1309.341,300.415,1472.034,497.665,63.99,481.148,6935.245,316.425,10267.581,2379.817,89.067,985.856,1125.119,1064.719,379.092,208.566,5590.577,116.342,416.107,239.257,7075.674,1517.305,233.397,10103.623,414.441,189.224,145.959,1307.918,453.028,11690.242,1244.264,844.435,122.995,68.84,12996.439,10638.536,651.591,134.996,1333.749,1202.904,285.83,770.605,1905.101,414.441,5939.203,2346.662,488.837,246.855,1591.354,300.415,175.11,52.742,3569.848,7075.674,121.849,3443.447,379.092,67.366,417.821,11690.242,361.687,3978.689,103.364,179.174,3569.848,189.574,268.449,864.557,945.407,4071.842,460.701,871.22,8303.076,345.393,310.518,121.254,150.935,5845.586,134.025,11690.242,856.518,1202.904,1042.636,4643.79,3963.962,5791.107,1663.128,57.563,573.395,1074.995,187.87,4709.058,622.024,1343.75,2395.227,5845.586,491.601,1740.797,5939.203,3244.542,937.734,158.32,12996.439,1478.757,321.945,3244.542,848.813,11690.242,4483.011,7962.499,191.156,321.945,302.415,720.269
Control,342.168,1727.58,696.506,9051.124,947.084,7532.737,556.226,846.6,8648.634,464.715,600.88,375.286,3526.235,1203.475,399.052,73.583,808.966,337.281,8565.519,252.121,3526.235,894.851,915.205,797.657,357.243,70.948,3212.177,1121.6,2210.897,272.9,700.826,554.899,100.972,1169.04,1133.203,515.476,399.052,500.981,494.059,914.847,1260.636,3171.123,387.657,3834.628,9348.768,544.542,1454.106,1079.208,360.171,830.066,1276.33,9746.975,4723.211,80.593,936.153,936.153,722.778,4056.403,489.551,2111.575,269.812,101.561,4056.403,470.879,4375.109,314.55,3280.579,10168.943,693.023,928.331,123.083,393.625,1454.106,39.017,657.408,1047.802,7388.829,481.29,7780.467,4903.119,810.107,262.611,515.476,1293.272,722.778,6779.755,8568.679,1036.893,77.555,77.108,2064.065,662.092,767.192,215.603,577.684,393.625,360.171,13013.273,81.129,950.149,292.019,554.899,2001.115,3259.134,9746.975,147.565,195.788,5395.002,1161.992,815.681,539.814,904.67,1918.544,417.131,1133.203,1389.142,588.031,962.011,174.046,325.276,1166.246,302.789,1879.919,341.668,2018.5,583.653,2371.138,1133.203,1018.657,1456.849,383.821,1877.571,515.576,3038.225,198.531,737.379,4910.903,329.006,142.487,2064.065,955.707,1260.636,534.292,769.026,250.717,223.695,5366.487,2358.358,311.344,1079.208,379.176,950.149,3686.01,8582.131,767.192,10168.943,251.687,1779.146,6952.749,4350.056,323.664,940.213,1026.402,544.542,2880.775,914.847,554.899,10456.839,2662.698,739.669,129.757,1790.72,108.735,340.925,856.714,711.304,1380.251,1877.571,706.317,1124.986,347.452,1580.003,4766.311,4317.924,8568.679,704.76,1139.714,436.146,437.873,1032.007,982.511,427.328,799.973,121.618,752.691,982.511,1928.56,203.558,477.113,791.734,583.327,10168.943,537.541,1307.153,399.052,5856.233,147.565,494.059,3038.225,494.963,904.67,495.836,709.791,1079.208,4371.129,409.215,3834.628,277.802,2073.532,1318.372,5856.233,5986.364,894.851,698.936,1278.612,880.602,9746.975,723.718,1307.637,914.847,399.052,367.228,7780.467,3725.826,1922.862,2096.717,489.164,1779.146,1922.862,1079.208,3725.826,1568.886,10335.997,3834.628,576.241,363.349,347.235,3526.235,4342.124,1314.059,2012.323,733.005,433.485,10456.839,2961.949,8582.131,10168.943,539.814,834.404,521.557,2352.3,10695.819,4317.924,2961.949,74.551,846.6,544.542,13013.273,1727.58,290.997,208.898,2215.841,914.847,1705.739,662.092,1124.986,5986.364,877.714,461.644,940.213,544.542,700.826,10456.839,499.565,360.171,519.689,2215.841,411.127,1746.506,10168.943,56.521,1133.203,1727.58,709.791,196.74,2067.703,4772.288,1039.706,723.718,1318.372,837.658,198.531,595.001,4199.864,690.679,8626.231,1724.422,444.632,961.645,1012.284,663.819,487.996,545.762,4342.124,463.729,556.226,363.349,5856.233,1051.11,465.68,8582.131,419.276,194.7,426.883,1276.33,435.266,9746.975,1121.6,1260.636,499.565,342.168,10456.839,9348.768,1047.802,287.34,1361.7,915.205,437.763,940.407,1413.77,419.276,4371.129,1777.962,605.734,269.785,1779.146,723.718,588.031,99.309,3038.225,5856.233,66.474,2917.906,487.996,518.638,535.295,9746.975,508.925,3339.379,79.644,370.709,3038.225,220.346,394.475,669.29,709.791,4317.924,950.149,1120.112,6523.191,417.131,437.899,195.847,182.842,5504.18,381.596,9746.975,922.007,915.205,1145.144,3988.134,3395.906,4903.119,1314.059,58.981,541.207,1778.59,496.263,3977.18,928.331,1413.063,2012.323,5504.18,516.246,1759.038,4371.129,3259.134,1036.893,515.476,10456.839,1154.402,288.248,3259.134,1281.229,9746.975,3725.826,6615.546,536.71,340.24,517.57,735.133
