% Title: HIV, All Species Singlenet
% Creator: Neena Parikh
%
@RELATION infection

@ATTRIBUTE class {Control,Infected}
@ATTRIBUTE SF1 NUMERIC
@ATTRIBUTE COL1A1 NUMERIC
@ATTRIBUTE RBBP6 NUMERIC
@ATTRIBUTE TSPAN4 NUMERIC
@ATTRIBUTE ZMYND8 NUMERIC
@ATTRIBUTE RPS6KA2 NUMERIC
@ATTRIBUTE GLI2 NUMERIC
@ATTRIBUTE ZC3H13 NUMERIC
@ATTRIBUTE TSPYL1 NUMERIC
@ATTRIBUTE KLF9 NUMERIC
@ATTRIBUTE G3BP1 NUMERIC
@ATTRIBUTE BCAP29 NUMERIC
@ATTRIBUTE GLMN NUMERIC
@ATTRIBUTE ARNT NUMERIC
@ATTRIBUTE VEZF1 NUMERIC
@ATTRIBUTE TERF2 NUMERIC
@ATTRIBUTE SKP2 NUMERIC
@ATTRIBUTE PPPDE2 NUMERIC
@ATTRIBUTE ELAVL1 NUMERIC
@ATTRIBUTE HN1L NUMERIC
@ATTRIBUTE PDE4D NUMERIC
@ATTRIBUTE H6PD NUMERIC
@ATTRIBUTE GAB1 NUMERIC
@ATTRIBUTE ITSN1 NUMERIC
@ATTRIBUTE PDLIM5 NUMERIC
@ATTRIBUTE EPHB2 NUMERIC
@ATTRIBUTE BPTF NUMERIC
@ATTRIBUTE RCHY1 NUMERIC
@ATTRIBUTE FETUB NUMERIC
@ATTRIBUTE ARID5B NUMERIC
@ATTRIBUTE NOL7 NUMERIC
@ATTRIBUTE NFATC2IP NUMERIC
@ATTRIBUTE CDHR1 NUMERIC
@ATTRIBUTE KPNB1 NUMERIC
@ATTRIBUTE RIF1 NUMERIC
@ATTRIBUTE B9D1 NUMERIC
@ATTRIBUTE ACACB NUMERIC
@ATTRIBUTE XPNPEP1 NUMERIC
@ATTRIBUTE ABCC1 NUMERIC
@ATTRIBUTE IRF1 NUMERIC
@ATTRIBUTE PIK3IP1 NUMERIC
@ATTRIBUTE PLK1 NUMERIC
@ATTRIBUTE RSU1 NUMERIC
@ATTRIBUTE TTLL5 NUMERIC
@ATTRIBUTE PAFAH1B3 NUMERIC
@ATTRIBUTE WHSC1 NUMERIC
@ATTRIBUTE APC NUMERIC
@ATTRIBUTE SLC16A3 NUMERIC
@ATTRIBUTE TBCB NUMERIC
@ATTRIBUTE MYCN NUMERIC
@ATTRIBUTE CLMN NUMERIC
@ATTRIBUTE LIFR NUMERIC
@ATTRIBUTE MRPS11 NUMERIC
@ATTRIBUTE UBE2K NUMERIC
@ATTRIBUTE PLD1 NUMERIC
@ATTRIBUTE NDUFB8 NUMERIC
@ATTRIBUTE MATR3 NUMERIC
@ATTRIBUTE RYR2 NUMERIC
@ATTRIBUTE DGCR14 NUMERIC
@ATTRIBUTE LPIN1 NUMERIC
@ATTRIBUTE SP1 NUMERIC
@ATTRIBUTE MEF2D NUMERIC
@ATTRIBUTE ITGB3 NUMERIC
@ATTRIBUTE TCERG1 NUMERIC
@ATTRIBUTE TRAFD1 NUMERIC
@ATTRIBUTE XAF1 NUMERIC
@ATTRIBUTE PDK3 NUMERIC
@ATTRIBUTE WT1 NUMERIC
@ATTRIBUTE DLG5 NUMERIC
@ATTRIBUTE CARS NUMERIC
@ATTRIBUTE SLC16A1 NUMERIC
@ATTRIBUTE SNTB2 NUMERIC
@ATTRIBUTE PVR NUMERIC
@ATTRIBUTE TYRO3 NUMERIC
@ATTRIBUTE ACACA NUMERIC
@ATTRIBUTE TRAP1 NUMERIC
@ATTRIBUTE CAMSAP1 NUMERIC
@ATTRIBUTE CACNB2 NUMERIC
@ATTRIBUTE BTF3 NUMERIC
@ATTRIBUTE PASK NUMERIC
@ATTRIBUTE AAK1 NUMERIC
@ATTRIBUTE HIC1 NUMERIC
@ATTRIBUTE PSMD4 NUMERIC
@ATTRIBUTE TPP2 NUMERIC
@ATTRIBUTE CDC42EP4 NUMERIC
@ATTRIBUTE KALRN NUMERIC
@ATTRIBUTE MTMR9 NUMERIC
@ATTRIBUTE CARD10 NUMERIC
@ATTRIBUTE HCCS NUMERIC
@ATTRIBUTE ESR1 NUMERIC
@ATTRIBUTE MCM3AP NUMERIC
@ATTRIBUTE ASAP2 NUMERIC
@ATTRIBUTE RPLP1 NUMERIC
@ATTRIBUTE EBP NUMERIC
@ATTRIBUTE ARMC6 NUMERIC
@ATTRIBUTE RPLP2 NUMERIC
@ATTRIBUTE MDN1 NUMERIC
@ATTRIBUTE PATZ1 NUMERIC
@ATTRIBUTE SKIL NUMERIC
@ATTRIBUTE SLCO3A1 NUMERIC
@ATTRIBUTE OSBPL3 NUMERIC
@ATTRIBUTE RGS12 NUMERIC
@ATTRIBUTE GTPBP10 NUMERIC
@ATTRIBUTE GBX2 NUMERIC
@ATTRIBUTE PRLR NUMERIC
@ATTRIBUTE GNL1 NUMERIC
@ATTRIBUTE ERCC1 NUMERIC
@ATTRIBUTE SRPK2 NUMERIC
@ATTRIBUTE INPP5F NUMERIC
@ATTRIBUTE KDM5D NUMERIC
@ATTRIBUTE TTBK2 NUMERIC
@ATTRIBUTE AMD1 NUMERIC
@ATTRIBUTE ESR2 NUMERIC
@ATTRIBUTE RPS6KA4 NUMERIC
@ATTRIBUTE PTPRM NUMERIC
@ATTRIBUTE FNBP1 NUMERIC
@ATTRIBUTE ANKRD26 NUMERIC
@ATTRIBUTE UBR2 NUMERIC
@ATTRIBUTE RSL1D1 NUMERIC
@ATTRIBUTE BMP10 NUMERIC
@ATTRIBUTE SLC4A8 NUMERIC
@ATTRIBUTE VPS13A NUMERIC
@ATTRIBUTE PSKH1 NUMERIC
@ATTRIBUTE EEF1D NUMERIC
@ATTRIBUTE EIF2S1 NUMERIC
@ATTRIBUTE FAM65B NUMERIC
@ATTRIBUTE HSPH1 NUMERIC
@ATTRIBUTE RAB3B NUMERIC
@ATTRIBUTE MCM6 NUMERIC
@ATTRIBUTE ELOVL6 NUMERIC
@ATTRIBUTE DUSP1 NUMERIC
@ATTRIBUTE ZDHHC18 NUMERIC
@ATTRIBUTE C1QBP NUMERIC
@ATTRIBUTE NUP50 NUMERIC
@ATTRIBUTE SLC25A13 NUMERIC

@DATA
Infected,550.1545,550.2105,550.3405,550.2565,550.8725,550.3405,550.4745,550.8135,550.0665,550.4925,550.1825,550.8905,550.6385,549.7425,550.6305,550.6985,550.4655,550.3935,551.4165,550.5625,550.5015,550.3225,550.0825,549.4975,550.0925,550.7845,550.2565,550.5695,550.7145,550.4795,550.3025,550.4035,550.2275,550.4105,550.3405,551.1175,550.3965,550.8385,550.2765,550.8185,550.0935,550.4665,550.6015,550.4195,550.596648,550.4035,550.5425,550.8385,550.0785,550.2725,550.5635,550.3405,552.3205,550.4685,550.6675,550.6345,550.4745,550.4195,550.3965,550.2175,549.7415,550.3845,550.2865,552.2465,550.5885,550.3855,550.0935,550.7725,550.5455,550.5285,550.1825,550.6125,550.2165,549.9685,550.3055,550.2085,550.2165,550.3095,550.2755,550.3545,550.3845,550.6325,550.3015,550.5855,550.5375,550.3825,550.4655,550.3545,549.7415,550.2165,550.5625,550.3235,550.9255,550.3725,550.4485,550.6425,550.3235,550.3325,550.3025,550.3705,550.2545,550.3965,552.7875,550.0155,550.4775,550.4705,550.2755,550.2645,550.5305,550.7605,550.3855,550.8115,550.3615,550.3905,550.6575,550.2165,550.3845,550.6735,550.6485,550.7395,550.3365,550.2175,550.3545,550.1755,549.4975,550.3285,550.3965,549.8015,550.6395,550.4775,550.6325,550.3345,550.6815,550.3845,550.3965
Infected,549.9555,550.2175,550.3495,550.1755,550.7055,550.6165,550.0655,551.0475,550.1535,550.0105,550.3395,553.1185,550.5885,549.7885,550.7905,550.9205,550.6195,550.3135,550.6945,550.7035,550.8565,550.3695,550.1595,549.7225,550.1165,550.8915,550.4335,550.7795,550.7205,550.6395,550.0695,550.0875,550.4495,550.8605,550.0865,551.4405,550.3445,550.7195,550.4185,550.9735,549.7685,550.5235,550.7655,549.9855,550.5765,550.6895,550.2395,550.7635,550.2305,550.0565,550.5675,550.6165,550.5245,550.4565,551.6795,550.4265,550.0655,550.8935,550.3485,549.9885,549.6805,550.4935,550.3005,550.3255,550.6135,550.5115,549.7685,551.0015,550.6595,550.3065,550.3395,550.6965,550.0875,549.9335,550.3525,550.3005,550.5655,550.2135,550.4565,550.3905,550.2445,550.6105,550.2085,550.3415,550.6455,550.4605,550.3025,550.0695,549.6805,550.0875,550.4345,550.1595,550.5785,550.5545,550.6605,550.8945,550.1595,550.6135,550.1715,550.3645,550.0875,550.3485,551.9595,549.8595,550.3065,550.1335,550.4565,550.0835,550.5785,550.2055,550.5115,550.4145,550.1155,550.2545,551.9265,550.5655,550.2445,550.6135,550.5095,550.3065,550.2055,549.9885,550.0975,550.2565,549.7225,550.6195,550.3385,549.9295,550.3185,550.4055,550.9245,549.9775,550.7935,550.2445,550.3445
Infected,550.0965,550.1495,550.3415,550.2455,550.9095,550.3415,550.4565,550.8165,550.1035,550.4065,550.1915,550.7095,550.5065,549.8465,550.5285,550.6205,550.4945,550.4745,550.5735,550.5665,550.7085,550.3905,550.1535,549.5425,550.1425,550.8015,550.3005,550.4065,550.6785,550.5265,550.2735,550.3805,550.2895,550.5425,550.3415,551.0725,550.4515,550.8455,550.3005,551.2005,550.0405,550.5025,550.5825,550.4415,550.5135,550.5885,550.3425,550.8205,550.0805,550.2195,550.4325,550.3415,550.4955,550.4985,550.5535,550.6645,550.4565,550.4655,550.3725,550.2365,549.7885,550.3185,550.2275,550.4185,550.5475,550.3815,550.0405,550.6965,550.5995,550.5565,550.1915,550.5845,550.1365,549.9355,550.2085,550.2205,550.1415,550.3325,550.3655,550.3085,550.4065,550.5835,550.3175,550.5735,550.5535,550.2445,550.4945,550.3615,549.7885,550.1365,550.5665,550.3195,550.9045,550.4035,550.5815,550.5965,550.3195,550.5475,550.2735,550.3975,550.3035,550.3725,550.5285,550.1455,550.5025,550.4445,550.3655,550.2805,550.596953,550.6465,550.3815,550.9575,550.4385,550.4745,550.5905,550.1415,550.4065,550.5475,550.6265,550.6695,550.5715,550.2365,550.3745,550.1335,549.5425,550.4935,550.6325,549.7765,550.6215,550.3535,550.5835,550.3635,550.8315,550.4065,550.3695
Control,165.3555,1968.9445,12.9445,52.6555,73.5555,125.2555,203.4555,81.0445,2549.0445,697.0445,832.3445,119.2445,92.2555,3634.5445,234.3555,51.1445,697.0445,221.6555,175.0555,76.7555,50.8445,172.9555,386.5445,179.7555,82.3445,58.4445,109.5555,33.7445,226.4555,2.25549999999998,6104.3445,33.7445,9.35550000000001,292.3445,156.0555,168.4555,108.4555,123.8555,5461.1445,188.2555,217.0555,234.4555,9.35550000000001,324.2445,223.9555,29.6445,544.5445,832.3445,852.1445,51.1445,60.9555,139.6445,78.3445,1054.1445,134.2555,222.5555,976.5445,463.4445,982.2445,71.0555,194.8555,6104.3445,1968.9445,156.3555,5461.1445,140.2555,633.7445,120.6555,226.4555,544.5445,697.0445,431.2445,2041.3445,78.3445,76.7555,192.7555,116.6555,29.9555,326.7445,30.1445,9.35550000000001,1758.1445,357.7445,92.4555,106.7555,680.6445,1968.9445,179.7555,488.0445,158.3445,39.9555,418.9445,167.2555,1330.0445,168.9555,95.3445,401.8445,39.9555,162.4445,225.5555,58.4445,20.6445,149.4555,226.0555,28.2445,1054.1445,488.0445,92.4555,380.1445,224.6445,171.1555,222.5555,3634.5445,419.1445,203.4555,71.0555,328.9445,11.0445,393.1445,203.4555,633.2445,167.3555,230.3555,24.6555,222.5555,340.8445,292.3445,214.0555,51.8555,11.0445,195.2555,138.0555,546.4445,60.9555,95.3445
Control,160.7555,2823.4445,176.4445,55.0555,3.55549999999999,133.4555,185.9555,66.5445,3563.4445,1071.2445,1229.2445,359.4445,75.6555,4302.7445,225.3555,164.7445,1071.2445,212.6555,180.8555,23.8445,155.2445,161.9555,659.9445,173.5555,252.1445,176.3445,69.9555,100.2445,209.5555,97.5445,7524.6445,100.2445,39.4445,459.7445,127.1555,162.9555,6.4555,81.7555,6699.4445,203.6555,196.1555,232.9555,39.4445,588.1445,225.4555,283.0445,759.6445,1229.2445,1190.1445,164.7445,49.5445,211.2445,141.4445,1469.1445,59.9555,218.6555,1512.2445,746.9445,1485.4445,37.4555,183.2555,7524.6445,2823.4445,148.5555,6699.4445,88.4555,854.3445,98.9555,217.9555,759.6445,1071.2445,603.0445,2878.0445,141.4445,23.8445,192.7555,83.6555,53.3445,671.0445,113.8445,39.4445,2403.9445,476.5445,66.6555,148.7555,877.2445,2823.4445,173.5555,726.2445,259.8445,71.4445,738.3445,143.3555,2206.2445,167.2555,194.7445,566.1445,71.4445,258.8445,216.0555,176.3445,250.4445,162.9555,227.3555,166.4445,1469.1445,726.2445,66.6555,649.2445,397.5445,135.3555,210.8555,4302.7445,523.7445,196.1555,37.4555,474.4445,93.9445,388.3445,203.4555,890.1445,162.9555,208.7555,27.9445,210.8555,580.7445,459.7445,221.6555,25.9445,93.9445,180.4555,104.7555,896.0445,49.5445,194.7445
Control,180.7555,1546.3445,20.2555,84.4555,103.0555,157.9555,214.2555,55.4555,2011.2445,448.4445,558.7445,102.0445,124.2555,3129.8445,229.7555,28.1555,448.4445,229.9555,158.6555,118.1555,12.6555,193.4555,370.3445,197.8555,2.34450000000001,1.9555,135.7555,37.7555,217.6555,37.3555,5573.6445,37.7555,73.0555,169.0445,149.1555,173.4555,129.6555,143.4555,5425.7445,206.2555,224.8555,233.4555,73.0555,227.5445,230.6555,54.3445,260.1445,558.7445,611.6445,28.1555,58.2555,78.0445,21.7445,632.7445,136.6555,230.5555,909.8445,523.0445,975.5445,113.7555,188.8555,5573.6445,1546.3445,197.2555,5425.7445,182.0555,367.2445,149.1555,221.8555,260.1445,448.4445,226.5445,1922.3445,21.7445,118.1555,181.5555,156.2555,57.3555,310.8445,81.6555,73.0555,1436.2445,257.5445,138.4555,175.9555,480.7445,1546.3445,191.7555,319.0445,61.2445,67.2555,291.3445,164.9555,1196.1445,173.4555,10.2445,275.8445,67.2555,31.1445,223.8555,1.9555,12.0445,179.7555,223.0555,17.0555,632.7445,319.0445,147.6555,247.2445,147.3445,171.1555,219.9555,3129.8445,153.3445,215.2555,113.7555,188.8445,37.9555,149.8445,215.2555,463.1445,192.7555,231.1555,108.7555,219.9555,216.0445,169.0445,229.1555,121.0555,37.9555,217.0555,141.1555,373.5445,58.2555,10.2445
Infected,168.3555,2366.5445,90.8445,56.0555,22.0445,116.4555,187.2555,841.0445,2001.8445,1158.6445,1215.1445,131.6445,210.0555,3876.3445,219.2555,159.0445,1158.6445,184.0555,173.8555,54.7445,246.9445,209.3555,313.6445,168.0555,238.2445,149.1445,137.5555,148.6445,209.3555,43.9445,5893.2445,148.6445,29.7555,841.0445,132.6555,132.6555,119.0555,57.4555,5994.6445,217.6555,220.6555,234.4555,29.7555,841.0445,218.2555,212.8445,947.2445,1215.1445,1286.4445,159.0445,62.2555,16.5445,150.5445,999.2445,20.6555,233.8555,1234.9445,1017.2445,1769.1445,74.4445,198.5555,5893.2445,2366.5445,156.8555,5994.6445,19.1555,986.1445,92.0555,217.1555,947.2445,1158.6445,662.3445,2893.9445,150.5445,54.7445,160.0555,104.5555,96.1445,522.3445,22.2445,29.7555,1636.2445,335.2445,37.7555,105.8555,1021.5445,2366.5445,152.0555,1244.6445,230.3445,77.6445,558.7445,170.7555,2113.3445,132.6555,105.9445,621.7445,77.6445,287.2445,218.3555,159.0445,58.8445,164.4555,209.2555,251.0445,999.2445,1244.6445,112.7555,790.0445,212.0445,155.9555,221.1555,3876.3445,802.9445,208.7555,74.4445,659.9445,142.2445,513.7445,208.7555,2280.6445,172.9555,223.0555,28.3445,221.1555,537.0445,497.0445,199.9555,51.2555,142.2445,194.0555,116.5555,869.2445,62.2555,193.6445
Infected,159.3555,2506.7445,139.9445,6.75549999999998,20.2445,97.2555,187.2555,898.6445,2606.6445,1192.5445,1240.5445,336.3445,201.0555,3965.1445,226.0555,240.0445,1192.5445,192.3555,144.1555,83.5445,230.3445,195.1555,618.0445,138.9555,238.1445,189.5445,110.0555,199.9445,194.1555,29.8445,6302.9445,199.9445,16.5445,898.6445,124.7555,124.7555,105.4555,6.75549999999998,6231.5445,218.6555,212.9555,231.6555,16.5445,898.6445,223.4555,289.3445,953.1445,1240.5445,1660.3445,240.0445,5.35550000000001,0.655499999999989,140.5445,1049.7445,32.6445,222.7555,1565.4445,1004.7445,1721.4445,65.5445,171.8555,6302.9445,2506.7445,136.0555,6231.5445,39.5445,940.6445,85.5555,218.9555,953.1445,1192.5445,719.2445,2893.6445,140.5445,83.5445,168.5555,108.8555,109.1445,560.9445,4.4555,82.9445,1592.4445,414.6445,82.9445,66.4555,1208.6445,2506.7445,138.9555,1352.6445,268.3445,112.5445,747.0445,153.3555,2486.9445,124.7555,227.8445,866.9445,112.5445,304.3445,219.2555,240.0445,236.2445,104.2555,227.5555,374.6445,1049.7445,1352.6445,88.6555,867.3445,245.7445,155.0555,215.4555,3965.1445,630.4445,187.2555,65.5445,771.4445,204.2445,653.5445,187.2555,2498.7445,155.8555,231.0555,124.0445,215.4555,630.5445,573.5445,222.7555,56.9555,204.2445,212.6555,94.6555,975.0445,5.35550000000001,296.0445
Infected,120.4555,3134.8445,187.2445,34.3445,56.3445,114.6555,185.7555,1092.4445,2580.2445,1439.1445,1493.2445,205.8445,184.2555,4610.9445,225.1555,279.8445,1439.1445,184.6555,141.2555,150.2445,377.5445,169.4555,527.0445,136.7555,359.8445,265.1445,113.6555,258.7445,196.3555,130.2445,7264.4445,258.7445,97.6445,1092.4445,108.0555,108.0555,82.0555,43.4555,6778.9445,198.5555,192.1555,233.5555,97.6445,1092.4445,214.6555,377.5445,1169.1445,1493.2445,1496.9445,279.8445,21.4555,24.3445,254.0445,1252.9445,74.6445,224.2555,1739.7445,1132.4445,2342.1445,80.5445,164.2555,7264.4445,3134.8445,116.8555,6778.9445,57.3445,1176.3445,63.9555,213.9555,1169.1445,1439.1445,845.0445,3205.5445,254.0445,150.2445,154.6555,81.6555,225.4445,669.4445,32.5445,97.6445,1981.3445,508.7445,42.9445,119.5555,1335.8445,3134.8445,136.7555,1546.4445,359.8445,176.5445,851.2445,143.4555,2779.6445,108.0555,239.4445,985.2445,176.5445,413.6445,210.2555,279.8445,186.4445,122.9555,201.9555,373.0445,1252.9445,1546.4445,86.7555,966.1445,387.4445,136.0555,220.4555,4610.9445,897.7445,185.7555,80.5445,970.0445,255.5445,786.2445,185.7555,2901.6445,122.9555,215.9555,143.9445,220.4555,711.7445,767.3445,214.4555,9.55549999999999,255.5445,178.4555,80.2555,1106.9445,21.4555,355.9445
Control,1695.4445,113.4555,1770.1445,265.0555,196.6555,279.9555,317.4555,188.2555,242.3555,243.8555,225.2555,332.0445,166.5555,328.1555,374.4555,338.8555,312.4555,224.6555,309.7555,370.7555,1770.1445,279.9555,242.3555,265.7555,34.4555,108.5555,175.8555,335.4555,279.9555,48.7555,341.2555,48.8445,389.1555,219.1555,99.0554999999999,331.7555,375.1445,271.5555,242.3555,47.3554999999999,354.7555,378.8555,344.9555,216.0555,340.7555,196.4555,34.4555,3151.0445,39.5445,319.4555,271.7555,199.1555,163.3555,506.0445,355.6555,385.2555,326.8555,319.1555,620.7445,141.6445,236.4555,219.7555,86.7445,321.2555,376.5555,230.8555,288.5555,442.1445,78.4555,350.3555,26.4445000000001,20.6445000000001,212.4555,774.5445,318.0555,371.2555,198.1555,311.0555,375.1445,48.8445,71.0554999999999,330.2555,385.0555,321.7555,315.2555,71.0554999999999,369.0555,47.3554999999999,332.0445,442.1445,369.0555,56.7555,620.7445,377.3555,351.6555,363.8555,340.0555,1448.3445,442.1445,393.5555,4523.1445,344.9555,172.7555,3151.0445,344.1555,234.3555,218.3555,321.7555,375.5555,1537.8445,168.3555,332.0445,620.7445,351.6555,368.4555,216.0555,339.7555,138.1555,321.0555,291.9555,374.4555,506.0445,125.2555,241.9555,26.0554999999999,99.0554999999999,144.6555,124.3555,166.5555,291.0555,181.7555,175.8555,364.0555,78.4555,1770.1445
Control,1826.1445,62.5554999999999,1663.2445,187.8555,178.6555,291.0555,327.7555,166.3555,245.5555,311.8555,189.2555,212.3445,129.8555,181.6555,368.0555,327.7555,253.8555,199.7555,263.1555,302.8555,1663.2445,303.3555,245.5555,263.5555,18.3554999999999,55.4555,284.9555,357.4555,303.3555,252.0555,359.3555,33.1555,386.2555,278.2555,14.5554999999999,304.2555,305.6445,254.8555,245.5555,98.7555,359.9555,387.2555,372.9555,168.7555,334.8555,186.1555,18.3554999999999,2829.0445,33.4445000000001,280.0555,187.3555,232.5555,105.3555,553.4445,353.5555,368.9555,373.2555,319.5555,581.8445,437.6445,172.1555,288.3555,57.4445000000001,285.6555,365.0555,141.4555,280.0555,251.0445,80.5554999999999,311.9555,222.5445,23.6555,280.0555,809.3445,341.2555,390.9555,232.5555,270.8555,305.6445,33.1555,191.2445,315.0555,367.9555,375.9555,180.4555,191.2445,365.0555,52.2445,212.3445,251.0445,366.1555,107.4555,581.8445,301.6555,355.1555,372.4555,311.6555,1203.5445,251.0445,391.9555,5192.6445,355.1555,180.4555,2829.0445,372.2555,188.6555,197.3555,375.9555,365.1555,1395.9445,359.1555,212.3445,581.8445,391.2555,314.2555,168.7555,373.2555,41.6555,321.5555,356.6555,368.0555,553.4445,69.2555,253.1555,158.8555,14.5554999999999,86.4555,52.2445,129.8555,202.3555,137.3555,284.9555,360.3555,80.5554999999999,1663.2445
Control,1881.1445,222.5555,1857.1445,179.1555,326.8555,245.7555,348.2555,189.9555,277.2555,293.2555,200.2555,355.8445,240.2555,164.3555,359.2555,336.9555,257.5555,169.8555,318.0555,323.4555,1857.1445,245.7555,277.2555,288.3555,8.25549999999998,6.05549999999994,266.6555,164.3555,245.7555,313.8555,357.9555,80.2555,384.7555,261.6555,40.2555,306.7555,237.3445,262.3555,277.2555,175.3555,289.0555,384.3555,318.9555,121.1555,366.4555,151.1555,8.25549999999998,3559.0445,40.0445,340.4555,225.8555,257.2555,240.3555,352.4445,331.3555,367.7555,252.4555,273.2555,656.8445,131.6445,239.8555,233.2555,81.2445,345.5555,371.9555,146.8555,275.4555,673.6445,83.3554999999999,388.8555,69.5554999999999,16.2555,322.1555,844.9445,263.3555,375.7555,257.2555,278.6555,237.3445,80.2555,44.2555,360.2555,368.2555,323.0555,269.1555,44.2555,381.0555,9.65549999999996,355.8445,673.6445,387.5555,26.1555,656.8445,313.9555,358.6555,369.0555,338.0555,1587.1445,673.6445,387.5555,4967.3445,318.9555,57.9555,3559.0445,377.7555,209.9555,256.9555,225.5555,378.7555,1595.0445,228.3555,355.8445,656.8445,387.9555,353.8555,121.1555,387.8555,52.8554999999999,368.2555,374.2555,359.2555,352.4445,147.6555,299.2555,71.6555,40.2555,166.4555,9.65549999999996,240.2555,253.0555,147.2555,266.6555,353.2555,83.3554999999999,1857.1445
Control,1883.9445,152.0555,1714.0445,221.9555,209.6555,310.3555,316.9555,123.1555,336.6555,318.6555,225.3555,461.4445,229.5555,239.9555,376.2555,342.7555,307.1555,179.4555,308.3555,373.1555,1714.0445,314.8555,336.6555,244.9555,33.8554999999999,8.84450000000004,252.7555,239.9555,314.8555,223.8555,352.4555,62.4555,384.3555,250.7555,52.6555,320.5555,275.2445,265.9555,336.6555,79.1555,339.9555,381.7555,345.9555,240.7555,365.7555,156.5555,33.8554999999999,3597.5445,44.8445,341.3555,215.8555,238.3555,237.9555,364.7445,367.1555,364.7555,265.4555,301.6555,654.3445,482.6445,259.3555,220.6555,223.3445,316.5555,366.5555,206.1555,251.4555,528.3445,41.4555,389.9555,75.4445000000001,48.6445000000001,263.9555,840.0445,294.4555,387.5555,232.8555,305.5555,275.2445,62.4555,66.7445,288.7555,372.9555,362.8555,340.1555,66.7445,376.5555,79.1555,461.4445,528.3445,392.5555,149.3555,654.3445,329.7555,355.2555,374.2555,342.1555,1488.2445,528.3445,391.8555,4101.3445,345.9555,105.5555,3597.5445,373.6555,275.3555,229.0555,362.8555,369.3555,1564.2445,106.7555,461.4445,654.3445,362.5555,348.9555,240.7555,376.8555,143.1555,319.0555,340.8555,376.2555,364.7445,137.9555,304.7555,79.1555,52.6555,109.9555,192.0555,229.5555,258.6555,218.1555,252.7555,360.6555,41.4555,1714.0445
Control,1461.7445,116.4555,1566.5445,244.4555,308.7555,280.3555,351.1555,220.5555,301.0555,266.7555,174.8555,1133.0445,203.9555,54.9445000000001,389.5555,317.0555,281.5555,142.9555,306.4555,338.9555,1566.5445,280.3555,301.0555,309.7555,30.5445,124.6555,260.7555,54.9445000000001,280.3555,294.0555,309.1555,21.4555,389.9555,72.2555,148.8555,273.2555,322.1445,224.1555,278.2555,157.4555,372.6555,390.2555,295.4555,193.5555,343.6555,189.6555,30.5445,3337.6445,157.5555,319.5555,180.5555,177.5555,300.8555,352.1445,323.6555,346.1555,320.2555,327.8555,1821.2445,400.7445,220.8555,237.1555,270.7445,311.9555,390.4555,208.8555,290.7555,431.3445,84.9555,341.9555,14.1445000000001,82.3445,307.3555,1821.2445,327.1555,374.8555,177.5555,276.7555,322.1445,21.4555,73.7555,377.6555,382.9555,386.3555,371.2555,73.7555,383.4555,89.9445000000001,1133.0445,431.3445,384.7555,93.3554999999999,1821.2445,349.6555,363.4555,368.1555,290.7555,963.0445,431.3445,378.1555,3583.2445,312.7555,252.9555,3337.6445,330.7555,170.3555,292.1555,374.7555,369.6555,1223.6445,20.5554999999999,1133.0445,1821.2445,318.2555,369.4555,193.5555,389.4555,83.9555,321.1555,332.2555,389.5555,352.1445,213.8555,324.5555,25.2445,163.0555,199.7555,89.9445000000001,203.9555,133.0555,100.0555,260.7555,365.9555,84.9555,1566.5445
Control,1491.1445,224.5555,1680.4445,243.8555,211.4555,289.5555,372.9555,179.9555,274.7555,288.6555,150.3555,1368.2445,131.3555,171.0445,363.8555,329.1555,280.1555,119.5555,331.2555,335.8555,1680.4445,289.5555,274.7555,324.7555,94.2555,56.6555,265.4555,171.0445,289.5555,223.4555,331.6555,26.8554999999999,380.6555,94.2555,136.3555,292.6555,222.6445,275.1555,274.7555,47.2445,306.0555,376.8555,354.4555,164.5555,354.4555,149.0555,109.6555,2796.5445,47.6555,331.4555,214.6555,169.6555,270.7555,602.4445,358.8555,381.7555,274.8555,292.5555,2075.3445,346.2445,251.9555,257.2555,285.0445,301.8555,386.9555,227.3555,281.3555,381.8445,162.3555,295.9555,88.8445,121.4445,281.4555,2075.3445,306.5555,360.2555,169.6555,281.2555,222.6445,26.8554999999999,25.3445,314.5555,368.9555,333.9555,315.1555,40.9555,362.8555,47.2445,1368.2445,381.8445,362.8555,110.0555,2075.3445,341.4555,367.5555,347.3555,333.8555,1049.9445,381.8445,392.2555,3339.1445,366.4555,167.6555,2796.5445,374.3555,224.6555,272.2555,333.9555,370.2555,1165.6445,241.7555,1368.2445,2075.3445,375.4555,359.4555,164.5555,387.3555,3.14450000000005,344.0555,359.2555,363.8555,602.4445,189.9555,300.2555,144.4445,184.8555,134.1555,117.5555,131.3555,103.9555,148.9555,265.4555,372.9555,162.3555,1680.4445
