% Title: HIV, All Species Singlenet
% Creator: Neena Parikh
%
@RELATION infection

@ATTRIBUTE class {Control,Infected}
@ATTRIBUTE RASD2 NUMERIC
@ATTRIBUTE S1PR3 NUMERIC
@ATTRIBUTE B2M NUMERIC
@ATTRIBUTE KCNIP2 NUMERIC
@ATTRIBUTE SERINC2 NUMERIC
@ATTRIBUTE GRB2 NUMERIC
@ATTRIBUTE TRIM47 NUMERIC
@ATTRIBUTE TMEM176B NUMERIC
@ATTRIBUTE CP NUMERIC
@ATTRIBUTE CKLF NUMERIC
@ATTRIBUTE DDAH1 NUMERIC
@ATTRIBUTE DAK NUMERIC
@ATTRIBUTE RNF181 NUMERIC
@ATTRIBUTE SSTR1 NUMERIC
@ATTRIBUTE CPPED1 NUMERIC
@ATTRIBUTE CD53 NUMERIC
@ATTRIBUTE MACF1 NUMERIC
@ATTRIBUTE PLD4 NUMERIC
@ATTRIBUTE FGFRL1 NUMERIC
@ATTRIBUTE TMED4 NUMERIC
@ATTRIBUTE SPATA5 NUMERIC
@ATTRIBUTE GUSB NUMERIC
@ATTRIBUTE CDC23 NUMERIC
@ATTRIBUTE RBMS2 NUMERIC
@ATTRIBUTE PRSS23 NUMERIC
@ATTRIBUTE TNKS2 NUMERIC
@ATTRIBUTE FOXO1 NUMERIC
@ATTRIBUTE ARHGAP1 NUMERIC
@ATTRIBUTE ATP2B3 NUMERIC
@ATTRIBUTE ARHGAP23 NUMERIC
@ATTRIBUTE STK40 NUMERIC
@ATTRIBUTE TXNL1 NUMERIC
@ATTRIBUTE FOXC2 NUMERIC
@ATTRIBUTE TLE4 NUMERIC
@ATTRIBUTE ANKRD28 NUMERIC
@ATTRIBUTE FAHD1 NUMERIC
@ATTRIBUTE S100A10 NUMERIC
@ATTRIBUTE MRPL52 NUMERIC
@ATTRIBUTE RALGPS2 NUMERIC
@ATTRIBUTE HDDC3 NUMERIC
@ATTRIBUTE SLC40A1 NUMERIC
@ATTRIBUTE AGAP3 NUMERIC
@ATTRIBUTE PARP14 NUMERIC
@ATTRIBUTE EZH1 NUMERIC
@ATTRIBUTE ABI2 NUMERIC
@ATTRIBUTE COL11A1 NUMERIC
@ATTRIBUTE DCAF6 NUMERIC
@ATTRIBUTE SPATA6 NUMERIC
@ATTRIBUTE ESD NUMERIC
@ATTRIBUTE KTELC1 NUMERIC
@ATTRIBUTE ARMC10 NUMERIC
@ATTRIBUTE MAGI3 NUMERIC
@ATTRIBUTE NOP58 NUMERIC
@ATTRIBUTE RBM24 NUMERIC
@ATTRIBUTE CHCHD4 NUMERIC
@ATTRIBUTE SETBP1 NUMERIC
@ATTRIBUTE SYNJ2BP NUMERIC
@ATTRIBUTE TMEM150C NUMERIC
@ATTRIBUTE CDH23 NUMERIC
@ATTRIBUTE PRDM15 NUMERIC
@ATTRIBUTE FAM103A1 NUMERIC
@ATTRIBUTE RPS5 NUMERIC
@ATTRIBUTE MRS2 NUMERIC
@ATTRIBUTE MEX3C NUMERIC
@ATTRIBUTE EEF2 NUMERIC
@ATTRIBUTE DLG1 NUMERIC
@ATTRIBUTE CCDC126 NUMERIC
@ATTRIBUTE NRBF2 NUMERIC
@ATTRIBUTE ZNF503 NUMERIC
@ATTRIBUTE MSL1 NUMERIC
@ATTRIBUTE DTX3L NUMERIC
@ATTRIBUTE ATG10 NUMERIC
@ATTRIBUTE USP38 NUMERIC
@ATTRIBUTE CDCA7 NUMERIC
@ATTRIBUTE SFXN4 NUMERIC
@ATTRIBUTE KY NUMERIC
@ATTRIBUTE GALM NUMERIC
@ATTRIBUTE AZI2 NUMERIC
@ATTRIBUTE ADCY5 NUMERIC
@ATTRIBUTE FAM129B NUMERIC
@ATTRIBUTE PAN3 NUMERIC
@ATTRIBUTE RAB10 NUMERIC
@ATTRIBUTE ZBTB43 NUMERIC
@ATTRIBUTE RPS27A NUMERIC
@ATTRIBUTE ABHD13 NUMERIC
@ATTRIBUTE ZFP36L2 NUMERIC
@ATTRIBUTE SHANK2 NUMERIC
@ATTRIBUTE RNF207 NUMERIC
@ATTRIBUTE PCM1 NUMERIC
@ATTRIBUTE NPHP1 NUMERIC
@ATTRIBUTE ANKRD17 NUMERIC
@ATTRIBUTE THRB NUMERIC
@ATTRIBUTE COL27A1 NUMERIC
@ATTRIBUTE AP1M1 NUMERIC
@ATTRIBUTE DOCK1 NUMERIC
@ATTRIBUTE NOL6 NUMERIC
@ATTRIBUTE LTBR NUMERIC
@ATTRIBUTE CXCL16 NUMERIC
@ATTRIBUTE ENSA NUMERIC
@ATTRIBUTE AMN1 NUMERIC
@ATTRIBUTE CCNY NUMERIC
@ATTRIBUTE GABRG1 NUMERIC
@ATTRIBUTE PRKAR2A NUMERIC
@ATTRIBUTE FAM116A NUMERIC
@ATTRIBUTE ANKRD37 NUMERIC
@ATTRIBUTE ID4 NUMERIC
@ATTRIBUTE CASP3 NUMERIC
@ATTRIBUTE TPM3 NUMERIC
@ATTRIBUTE PRIC285 NUMERIC
@ATTRIBUTE ANGPT2 NUMERIC
@ATTRIBUTE USP9X NUMERIC
@ATTRIBUTE GPC3 NUMERIC
@ATTRIBUTE AS3MT NUMERIC
@ATTRIBUTE RBM39 NUMERIC
@ATTRIBUTE SUDS3 NUMERIC
@ATTRIBUTE RAPH1 NUMERIC
@ATTRIBUTE PROM2 NUMERIC
@ATTRIBUTE PXK NUMERIC
@ATTRIBUTE MPZL2 NUMERIC
@ATTRIBUTE REV3L NUMERIC
@ATTRIBUTE RGS5 NUMERIC
@ATTRIBUTE NSD1 NUMERIC
@ATTRIBUTE CSNK1A1 NUMERIC
@ATTRIBUTE TACR1 NUMERIC
@ATTRIBUTE A1BG NUMERIC
@ATTRIBUTE PURB NUMERIC
@ATTRIBUTE IGFBPL1 NUMERIC
@ATTRIBUTE LRTOMT NUMERIC
@ATTRIBUTE CREBZF NUMERIC
@ATTRIBUTE TNRC6A NUMERIC
@ATTRIBUTE AFF4 NUMERIC
@ATTRIBUTE CREBBP NUMERIC
@ATTRIBUTE EGR4 NUMERIC
@ATTRIBUTE CADM1 NUMERIC
@ATTRIBUTE RPL22 NUMERIC
@ATTRIBUTE CAMK2D NUMERIC
@ATTRIBUTE WIPF3 NUMERIC
@ATTRIBUTE OAF NUMERIC
@ATTRIBUTE SAMD4B NUMERIC
@ATTRIBUTE ZMIZ1 NUMERIC
@ATTRIBUTE ARHGEF7 NUMERIC
@ATTRIBUTE DAZAP2 NUMERIC
@ATTRIBUTE PNPO NUMERIC
@ATTRIBUTE SLC44A1 NUMERIC
@ATTRIBUTE MRPL51 NUMERIC
@ATTRIBUTE FXN NUMERIC
@ATTRIBUTE HDAC2 NUMERIC
@ATTRIBUTE MLLT10 NUMERIC
@ATTRIBUTE DNAJC5 NUMERIC
@ATTRIBUTE MMAA NUMERIC
@ATTRIBUTE HNRNPU NUMERIC
@ATTRIBUTE USP28 NUMERIC
@ATTRIBUTE NUP153 NUMERIC
@ATTRIBUTE ANAPC5 NUMERIC
@ATTRIBUTE CALCRL NUMERIC
@ATTRIBUTE LIMCH1 NUMERIC
@ATTRIBUTE FOXO3 NUMERIC
@ATTRIBUTE SCRT1 NUMERIC
@ATTRIBUTE GJB6 NUMERIC
@ATTRIBUTE PRKAA1 NUMERIC
@ATTRIBUTE MECOM NUMERIC
@ATTRIBUTE TRAF4 NUMERIC
@ATTRIBUTE SFRS18 NUMERIC
@ATTRIBUTE CSNK1G3 NUMERIC
@ATTRIBUTE TEAD2 NUMERIC
@ATTRIBUTE RPL37 NUMERIC
@ATTRIBUTE SPDYA NUMERIC
@ATTRIBUTE FOLR2 NUMERIC
@ATTRIBUTE SIX5 NUMERIC
@ATTRIBUTE EIF4E2 NUMERIC
@ATTRIBUTE ARL8A NUMERIC
@ATTRIBUTE PLBD2 NUMERIC
@ATTRIBUTE SEC63 NUMERIC
@ATTRIBUTE KRT19 NUMERIC
@ATTRIBUTE GATAD2A NUMERIC
@ATTRIBUTE PIGU NUMERIC

@DATA
Infected,144.81,137.202,1202.067,132.23,92.603,198.494,106.691,326.98,720.619,56.944,199.393,6.028,939.032,84.009,145.214,720.619,125.238,413.323,52.451,403.442,199.292,72.111,404.043,17.121,53.6,326.866,249.667,63.685,449.415,605.596,94.621,230.464,100.818,111.964,396.622,47.058,666.89,65.188,64.851,53.068,274.8,807.089,84.009,21.761,19.929,333.678,666.89,20.916,1.207,2.784,205.113,69.87,54.865,194.485,96.122,47.551,157.139,605.596,44.913,12.324,156.033,17.289,21.596,150.222,3.46,104.078,268.769,12.099,245.181,504.537,108.693,185.128,302.896,16.42,28.486,31.027,666.89,312.726,110.062,16.3,69.87,84.289,182.46,1698.744,245.181,291.194,15.661,807.089,683.719,113.139,291.088,31.001,194.485,6.634,38.379,7.511,203.871,859.739,128.324,666.89,287.225,203.176,1417.533,15.901,233.463,243.361,58.459,657.504,2.398,283.215,200.605,47.291,97.46,249.667,215.774,304.518,84.217,5.791,194.485,164.224,18.846,28.664,758.938,259.345,37.808,243.361,3.178,333.678,122.606,40.107,200.605,274.8,605.596,12.099,40.367,326.98,304.639,82.965,666.89,108.544,108.544,713.433,31.402,342.605,333.678,137.569,206.619,195.593,10.702,35.06,40.367,311.428,80.144,26.361,266.579,325.076,807.089,94.193,68.986,216.678,24.874,569.82,33.954,302.896,2.815,64.851,43.04,26.496,532.152,455.218,282.549,346.838,631.799,46.737,40.661,82.721
Infected,173.874,137.09,1225.638,107.532,93.378,213.62,126.784,355.371,742.466,71.026,182.71,4.331,960.307,58.288,138.124,742.466,100.366,472.716,32.849,390.539,200.956,73.966,478.661,12.204,65.273,368.912,181.985,65.599,405.055,640.022,94.774,225.854,126.043,148.955,366.971,61.881,578.349,93.459,44.615,62.157,301.412,592.058,41.636,31.843,30.775,243.037,578.349,22.697,2.434,2.176,227.933,59.61,12.464,216.526,101.039,59.81,153.582,640.022,53.319,15.523,132.6,6.212,35.681,166.415,7.263,73.72,233.272,27.377,188.453,520.816,190.705,226.403,299.7,23.001,12.021,72.77,578.349,318.137,110.021,15.396,65.149,85.417,172.062,1798.829,178.739,302.678,27.401,592.058,616.739,91.486,254.231,38.366,216.526,8.878,42.254,4.438,285.377,778.081,78.069,619.661,237.247,188.859,1436.858,14.883,240.98,188.453,54.387,630.315,1.346,215.007,189.57,59.701,90.801,181.985,195.416,180.24,68.065,13.993,216.526,168.616,10.812,45.414,807.243,453.521,31.067,188.453,12.065,243.037,151.011,28.16,189.57,301.412,640.022,27.377,28.809,355.371,296.12,70.235,619.661,101.466,101.466,640.231,32.451,326.835,243.037,124.301,248.047,215.774,27.401,50.186,28.809,326.541,111.612,28.442,299.643,279.232,592.058,99.752,78.927,227.391,23.178,590.001,39.478,299.7,5.102,44.615,33.729,19.186,421.842,414.218,281.332,273.394,546.568,43.258,71.945,95.263
Control,142.1865,117.9865,68.0135,110.7135,44.5865,3878.2865,91.3865,158.6135,117.9865,42.8865,59.2865,467.2865,1154.9865,11.7135,15.4865,102.9865,7.51349999999999,165.5135,3304.7865,54.1135,88.5135,395.7865,231.1865,211.7865,291.3865,88.5135,50.7865,183.0135,236.6865,368.3865,367.9865,126.9135,142.6135,17.5135,375.4865,706.0865,182.6135,421.6865,803.0865,507.2865,1381.2865,211.7865,174.7135,409.9865,748.2865,1265.6865,179.7865,86.0865,767.7865,317.8865,141.3865,1017.4865,1114.2865,139.4135,3.58650000000003,5.78650000000002,16.6865,74.0865,26.7135,243.5865,830.9865,14586.0865,2566.6865,2566.6865,24047.4865,2566.6865,767.7865,1317.5865,1983.7865,86.0865,72.2865,151.5135,5198.1865,136.0135,1631.0865,59.6135,11.7135,11.9865,61.4135,3269.7865,92.4135,5217.1865,706.0865,182.6135,11.7135,200.7865,179.7135,779.6865,751.9865,182.6135,126.1135,1017.4865,1202.7865,2094.5865,779.6865,114.9865,56.5135,21.2865,751.9865,488.4865,342.5865,167.6135,748.2865,126.4865,162.3135,348.8865,72.3865,766.9865,64.7865,102.9865,23.2865,175.4135,75.8865,803.0865,371.4865,830.9865,177.2135,291.4865,28.5865,166.2865,23.6865,389.7865,58.7865,1.38650000000001,119.2135,87.7865,22.1865,273.1865,512.5865,342.5865,451.2865,73.0865,360.8865,163.6135,86.0865,1816.6865,55.7135,220.9865,200.7865,11.9865,39.0865,166.2865,25.5865,74.0865,999.9865,2566.6865,187.6135,37.0865,23.6865,467.2865,2672.2865,7.51349999999999,40.5135,3472.3865,90.2135,73.4135,371.4865,27.5135,183.4135,1574.8865,528.5865,243.5865,361.1865,395.7865,12.4135,14612.2865,130.4135,57.3135,1.88650000000001,284.7865,151.6865,1983.7865,283.3865,646.0865,417.8865,1472.7865
Control,499.8865,63.8865,112.4135,56.6865,47.4135,2734.5865,76.6865,174.8135,63.8865,7.41349999999997,43.9865,345.6865,866.9865,58.7865,37.0865,45.2865,166.4865,166.4135,4370.2865,52.8135,23.8865,311.1865,132.7865,609.0865,188.0865,59.9865,52.7865,182.3135,175.6865,451.8865,277.3865,166.3135,168.6135,37.6135,604.4865,408.7865,169.2135,314.5865,625.3865,589.8865,3618.0865,609.0865,87.2135,93.3865,693.9865,1092.4865,185.6865,63.8865,349.8865,537.2865,45.8865,623.8865,1006.2865,158.0135,173.9865,54.1865,84.2135,26.7135,46.0865,394.4865,698.1865,21145.0865,1729.4865,1729.4865,23803.9865,1729.4865,349.8865,1145.9865,3237.0865,63.8865,155.1865,154.9135,4419.8865,123.3135,903.3865,1.08650000000003,58.7865,1.28650000000002,14.3865,2377.9865,160.1865,7126.8865,408.7865,164.8135,58.7865,194.6865,175.8135,803.9865,805.9865,118.3135,73.2135,623.8865,1000.2865,3618.0865,803.9865,84.7865,0.286500000000018,74.6865,805.9865,472.7865,452.2865,166.5135,693.9865,168.3865,169.3135,66.1865,15.5865,1615.0865,58.7865,45.2865,45.2135,176.5135,123.2865,625.3865,258.2865,698.1865,66.6135,217.0865,40.5865,14.7865,155.5865,402.1865,43.2865,134.3135,108.8135,114.2865,205.0865,262.0865,579.2865,452.2865,478.7865,143.7865,903.3865,163.0135,63.8865,1015.2865,58.0135,277.3865,293.7865,1.28650000000002,32.3865,14.7865,142.4865,26.7135,824.7865,1729.4865,174.3135,153.0865,52.8135,376.7865,2141.6865,166.4865,52.3135,2370.5865,53.5135,118.3135,376.7865,91.6135,178.6135,1165.9865,712.8865,394.4865,264.1865,695.0865,98.9865,16713.4865,97.3135,61.9135,41.3135,439.4865,363.5865,3237.0865,188.0865,618.7865,256.6865,1242.2865
Control,377.5865,189.0865,70.5135,49.7135,6.08650000000003,2089.8865,73.0865,179.1135,189.0865,11.9865,111.3865,218.1865,455.9865,20.1865,63.1865,117.3865,42.9865,160.1135,3403.0865,14.5865,35.6865,244.3865,207.6865,541.6865,196.6865,22.5135,56.9865,185.5135,95.3865,358.3865,322.0865,69.5135,159.1135,16.4135,232.8865,286.7865,166.9135,288.0865,774.3865,472.4865,2335.2865,541.6865,94.0135,97.4865,551.8865,1062.2865,148.4865,15.5135,654.3865,413.5865,84.3865,733.1865,880.3865,160.5135,93.5865,16.1865,38.5865,70.9135,63.6865,627.4865,833.9865,18852.5865,558.7865,558.7865,21526.9865,558.7865,654.3865,988.0865,855.6865,15.5135,31.7865,157.0135,5219.6865,156.4135,1198.0865,24.4865,20.1865,18.2865,21.2865,2583.6865,96.7865,7015.4865,286.7865,181.7135,20.1865,288.3865,186.8135,573.5865,443.2865,166.9135,101.5135,733.1865,1201.0865,2335.2865,573.5865,81.5865,16.5135,6.41349999999997,443.2865,394.7865,271.5865,159.5135,551.8865,229.6865,157.2135,243.0865,0.486500000000007,1551.8865,20.1865,117.3865,83.2865,161.8135,149.1865,774.3865,94.4865,833.9865,136.5135,428.6865,131.1865,196.8865,69.8865,681.6865,219.1865,43.6865,122.5135,100.3865,327.0865,105.5865,681.6865,271.5865,676.2865,269.8865,828.7865,155.0135,15.5135,1124.5865,80.4135,150.2865,288.3865,18.2865,29.1865,196.8865,72.7865,9.38650000000001,270.7865,558.7865,147.8135,130.1865,14.5865,218.1865,1911.1865,42.9865,30.5135,1953.6865,82.2135,126.2135,189.2865,90.0135,182.0135,1199.4865,359.0865,627.4865,279.7865,717.1865,212.2865,16013.6865,178.3135,36.7865,8.41349999999997,254.0865,43.4865,855.6865,117.3865,778.2865,377.6865,1206.2865
Control,367.8865,164.6865,97.4135,55.2135,47.0865,1958.4865,150.2865,176.7135,164.6865,40.0865,155.4865,182.0865,561.0865,28.6135,17.4865,43.8135,90.0865,160.4135,2443.2865,98.4135,22.6135,431.0865,190.3865,485.5865,177.2865,17.9135,54.0865,181.8135,57.5865,161.3865,397.8865,91.0135,160.1135,10.8135,335.1865,324.1865,155.2135,315.0865,426.4865,535.5865,1770.6865,485.5865,115.6135,138.8865,505.9865,1016.0865,177.1865,23.6865,313.7865,483.7865,22.5135,686.0865,787.2865,167.7135,193.4865,133.4865,111.0135,38.4135,75.5865,235.5865,1020.5865,18655.8865,847.6865,847.6865,20661.1865,847.6865,313.7865,816.2865,1241.6865,23.6865,76.8865,159.5135,5356.1865,127.1135,1074.6865,43.8135,28.6135,7.11349999999999,19.6865,2929.7865,19.6135,6660.9865,324.1865,184.9135,8.41349999999997,564.3865,186.6135,478.4865,680.5865,155.2135,78.1135,686.0865,856.6865,1770.6865,478.4865,131.5865,35.1865,25.6865,680.5865,345.7865,357.1865,171.7135,505.9865,194.7865,162.3135,238.8865,17.6865,1441.5865,38.5865,32.4865,38.0135,178.8135,80.0865,426.4865,197.1865,1020.5865,56.1135,372.7865,18.3865,213.6865,38.0865,595.4865,107.7865,19.7135,123.6135,166.7865,304.8865,224.9865,595.4865,357.1865,755.0865,335.2865,692.8865,131.1135,23.6865,772.4865,38.4135,60.7865,564.3865,7.11349999999999,49.2865,213.6865,240.9865,4.61349999999999,553.3865,847.6865,155.1135,148.9865,4.61349999999999,182.0865,2088.7865,90.0865,10.9135,2515.3865,20.4135,87.6135,197.1865,112.5135,185.5135,1454.9865,205.5865,235.5865,307.6865,759.0865,192.6865,18143.6865,148.4135,22.6135,108.1135,394.5865,192.7865,1241.6865,126.8865,989.9865,460.6865,1283.9865
Control,237.2865,73.8135,17.5865,75.8135,71.6135,1234.1865,134.1865,169.0135,42.4135,27.6865,40.6865,453.7865,342.1865,35.6135,60.8135,89.8865,81.4865,151.3135,2316.9865,5.91349999999997,42.1135,236.6865,157.4865,279.1865,169.5865,70.4865,29.8865,185.6135,41.2135,195.0865,165.3865,47.8135,72.4135,99.0135,240.3865,250.0865,140.0135,461.0865,486.6865,476.2865,877.5865,279.1865,162.7135,73.0135,75.6865,251.8865,4.31349999999998,77.5865,369.0865,333.9865,9.58650000000003,794.3865,1446.7865,134.9135,99.0865,77.7865,4.31349999999998,194.5865,88.8865,96.9865,396.6865,16924.0865,964.3865,964.3865,20226.9865,964.3865,369.0865,908.5865,2658.1865,77.5865,55.7865,127.5135,3931.7865,134.9135,570.3865,26.1135,25.6135,29.1865,29.1135,1545.9865,7.88650000000001,6383.8865,250.0865,135.1135,3.31349999999998,428.6865,186.7135,620.8865,301.3865,140.0135,98.0135,794.3865,905.5865,1229.2865,620.8865,96.9865,58.5135,45.6135,301.3865,684.8865,233.6865,170.9135,704.2865,168.7135,163.0135,194.5865,123.1865,864.9865,104.4865,89.8865,150.3865,172.4135,32.6865,486.6865,630.8865,396.6865,156.1135,226.0865,75.7135,18.7135,89.1865,281.3865,209.7865,57.4135,167.3135,244.8865,93.7135,31.8865,264.3865,233.6865,248.3865,283.7865,428.1865,147.0135,77.5865,820.6865,99.2135,3.48650000000001,428.6865,29.1865,72.8865,104.4865,107.6865,194.5865,1231.6865,964.3865,178.0135,80.2865,5.91349999999997,453.7865,1088.6865,81.4865,34.1135,2360.6865,22.9865,73.8135,630.8865,59.3135,177.1135,984.1865,291.6865,164.6865,92.2865,638.9865,186.5865,19326.2865,143.1135,63.8135,0.613499999999988,339.5865,18.7865,2658.1865,89.8865,569.0865,291.8865,866.9865
Control,294.5865,64.1135,10.6135,20.5135,26.7135,1443.4865,232.0865,172.2135,13.4135,131.9865,13.9135,403.8865,339.5865,85.2135,43.6135,72.8865,92.5865,153.0135,2357.6865,6.31349999999998,58.2135,550.5865,270.0865,321.6865,126.0865,8.88650000000001,55.3865,133.0135,51.0865,86.1865,203.7865,108.2865,165.4135,76.1135,278.0865,475.4865,151.0135,554.2865,417.5865,425.4865,894.3865,321.6865,135.7135,102.3865,333.3865,391.7865,159.2865,22.0865,531.3865,418.3865,14.4135,1242.7865,1066.3865,129.3135,139.8865,30.8865,29.2135,79.3865,54.3135,295.1865,503.6865,21462.1865,1160.8865,1160.8865,22342.3865,1160.8865,531.3865,1049.7865,1837.7865,22.0865,1.51349999999999,90.0135,5793.0865,126.4135,794.6865,37.5135,45.6135,73.0865,60.7135,1746.9865,81.6135,6847.3865,475.4865,177.6135,8.01349999999999,422.7865,188.2135,587.5865,431.4865,151.0135,72.9135,1242.7865,588.7865,1185.4865,587.5865,266.7865,39.7865,44.0135,431.4865,458.7865,335.1865,172.2135,333.3865,22.1135,168.0135,79.3865,69.6865,674.7865,51.9865,120.1865,113.6865,164.2135,6.58650000000003,417.5865,499.9865,503.6865,86.4865,462.4865,73.4135,87.4865,77.5865,198.5865,240.3865,32.3135,153.6135,193.7865,65.0865,285.6865,307.5865,335.1865,468.9865,325.0865,674.7865,145.6135,36.1865,607.2865,49.6135,28.4865,422.7865,73.0865,36.1865,87.4865,1.98650000000001,79.3865,530.6865,1160.8865,154.5135,79.0865,6.31349999999998,403.8865,1182.6865,92.5865,31.6135,3337.9865,29.7135,64.1135,499.9865,80.3135,138.1135,1229.6865,196.2865,295.1865,285.6865,1191.5865,137.8865,23369.5865,164.9135,51.6135,236.1865,381.5865,50.2865,1837.7865,98.2865,877.0865,345.1865,843.9865
Control,110.7865,111.7135,3.58650000000003,51.7135,56.7865,921.7865,88.0865,166.5135,61.4865,18.8135,11.0135,457.3865,249.7865,46.2135,18.5135,113.5865,16.9865,155.0135,1688.5865,15.1865,106.7135,131.3865,210.4865,285.9865,189.1865,11.9135,69.8865,99.0135,115.3135,119.9865,230.9865,24.9865,65.6135,68.5135,113.7865,485.7865,132.0135,415.2865,395.8865,431.6865,386.7865,285.9865,140.0135,53.9865,7.88650000000001,179.9865,76.1865,92.8865,315.5865,363.6865,106.3865,552.4865,1129.7865,104.0135,9.81349999999998,56.3865,23.5865,5.18650000000002,11.9865,148.0865,423.2865,13898.0865,1520.8865,1520.8865,17223.5865,1520.8865,315.5865,671.3865,2577.9865,92.8865,46.7865,160.9135,2723.3865,171.0135,545.8865,7.51349999999999,46.2135,31.2865,14.4865,1381.9865,155.8135,4031.3865,485.7865,141.4135,24.9135,356.2865,171.4135,326.3865,233.3865,132.0135,95.7135,552.4865,813.5865,1068.0865,326.3865,153.8865,45.0135,32.6135,233.3865,626.5865,271.8865,171.9135,580.4865,157.3135,153.1135,71.6865,194.7865,432.9865,117.1865,113.5865,139.4865,180.2135,52.9135,395.8865,394.4865,423.2865,53.9865,281.5865,41.6135,85.9865,32.8865,86.0865,153.2865,18.9135,143.0135,223.2865,134.7135,251.0865,268.8865,271.8865,103.3865,202.0865,204.5865,147.1135,92.8865,1275.9865,79.6135,102.0865,356.2865,31.2865,0.713499999999982,85.9865,45.5865,5.18650000000002,1062.5865,1520.8865,157.9135,31.2865,15.1865,457.3865,1316.2865,16.9865,30.4135,1906.6865,10.0865,111.7135,394.4865,79.9135,169.0135,780.6865,521.0865,198.4865,251.0865,425.1865,162.8865,15447.4865,170.9135,82.4135,74.8865,369.3865,57.7135,2577.9865,141.3865,601.2865,220.8865,345.7865
Control,285.4865,65.2135,109.7865,51.9135,18.5135,932.8865,98.8865,170.8135,38.8865,68.5865,1.71349999999998,249.4865,257.4865,49.0135,50.8865,107.0865,151.2865,154.6135,2023.8865,19.9135,54.9135,358.0865,271.9865,462.5865,259.8865,2.01349999999999,84.5865,134.8135,145.5135,360.8865,298.9865,46.3135,66.4135,70.4135,259.6865,556.5865,176.3135,575.0865,306.0865,375.2865,789.7865,462.5865,109.2135,55.7865,170.2865,347.0865,125.5865,17.7135,427.0865,287.6865,84.4865,768.7865,1209.5865,142.6135,74.1865,20.7135,2.71349999999998,62.4865,1.71349999999998,466.4865,460.4865,16018.8865,910.3865,910.3865,17126.5865,910.3865,427.0865,784.1865,1484.9865,17.7135,17.9135,131.8135,3721.8865,150.2135,768.9865,106.2865,49.0135,146.9865,54.5865,2274.4865,53.9135,5209.3865,556.5865,186.1135,43.9135,338.4865,181.8135,534.2865,303.7865,176.3135,9.28650000000002,768.7865,781.9865,1623.4865,534.2865,122.2865,37.2135,50.2865,303.7865,499.4865,301.2865,170.3135,914.3865,131.8135,162.2135,62.4865,287.5865,636.9865,155.7865,107.0865,85.6865,179.5135,63.1865,306.0865,673.2865,460.4865,55.7865,327.0865,19.1865,57.5865,139.1865,244.2865,77.5865,3.18650000000002,175.0135,179.8865,23.8135,131.7865,500.4865,301.2865,266.1865,214.0865,577.5865,160.7135,0.0865000000000293,1230.2865,70.9135,179.8865,338.4865,146.9865,19.7865,155.7865,3.41349999999997,62.4865,637.5865,910.3865,126.9135,146.9865,19.9135,249.4865,1262.9865,151.2865,5.48650000000001,2303.9865,32.7135,65.2135,673.2865,151.7135,157.4135,1151.0865,567.5865,466.4865,131.7865,622.0865,168.5865,19468.0865,164.6135,29.0135,13.2865,562.9865,83.2865,1484.9865,154.7865,907.5865,255.1865,683.6865
Infected,222.5865,93.2865,99.1135,74.0135,39.8135,1721.9865,36.5135,166.1135,93.2865,68.7135,21.9135,64.3865,349.0865,71.3135,37.3135,10.3865,55.3865,165.4135,4372.8865,28.7865,111.3135,279.5865,127.5865,121.4865,292.8865,38.6135,5.48650000000001,167.2135,145.6865,50.3865,53.1865,83.2135,153.4135,24.5135,207.8865,212.8865,129.0135,447.6865,1039.9865,305.1865,1480.6865,121.4865,166.6135,229.6865,257.2865,943.9865,351.8865,150.3865,547.6865,416.0865,29.0135,1517.3865,1195.0865,127.8135,204.0865,12.5865,72.3135,47.4135,60.6135,569.3865,485.2865,22520.9865,737.4865,737.4865,22244.0865,737.4865,547.6865,883.2865,1065.9865,150.3865,29.5865,167.0135,4372.8865,122.8135,821.2865,68.8135,71.3135,62.8135,87.9135,1146.1865,123.4135,6378.2865,212.8865,113.4135,71.3135,250.7865,188.5135,558.1865,695.2865,129.0135,79.5865,1517.3865,1709.1865,1480.6865,558.1865,213.6865,71.4135,70.2135,695.2865,540.1865,791.8865,165.8135,402.0865,77.6135,165.7135,165.0865,24.9135,579.0865,147.9865,93.9865,102.4865,171.6135,99.4135,1039.9865,76.6865,485.2865,88.4135,488.6865,112.8865,28.4135,2.71349999999998,330.4865,103.3865,124.7135,70.0135,116.6865,141.8135,326.9865,361.6865,791.8865,223.6865,554.5865,216.3865,132.8135,150.3865,711.0865,47.4135,26.4135,356.0865,24.5135,29.4865,147.9865,91.5135,20.3865,144.6865,737.4865,166.7135,46.4135,28.7865,64.3865,2479.2865,55.3865,52.1865,2432.1865,67.0135,62.8135,76.6865,45.6135,136.7135,1149.3865,291.9865,569.3865,326.9865,673.0865,257.8865,25253.0865,171.6135,18.1135,42.0135,234.2865,331.3865,1065.9865,292.8865,185.8865,661.5865,843.0865
