% Title: HIV, All Species
% Creator: Neena Parikh
%
@RELATION infection

@ATTRIBUTE class {Control,GDS3309,GDS3257,GDS3101,GDS3054,GDS2966,GDS2491,GDS2490,GDS2489,GDS1312}
@ATTRIBUTE TFAP2A NUMERIC
@ATTRIBUTE MKI67 NUMERIC
@ATTRIBUTE TGFA NUMERIC
@ATTRIBUTE SFTPB NUMERIC
@ATTRIBUTE HIST2H4B NUMERIC
@ATTRIBUTE TIMP3 NUMERIC
@ATTRIBUTE TRAPPC10 NUMERIC
@ATTRIBUTE TNFRSF25 NUMERIC

@DATA
GDS3257,432.131,431.051,431.751,435.802,431.051,431.751,434.812,431.051
GDS3257,432.802,431.581,433.282,435.963,431.581,432.802,434.458,431.581
GDS3257,432.636,432.981,433.95,435.697,432.981,432.636,434.714,432.981
GDS3257,431.475,432.867,430.968,435.665,430.968,430.968,434.614,432.867
GDS3257,432.675,432.466,432.429,435.974,432.429,432.429,434.795,432.466
GDS3257,432.397,431.185,432.307,434.019,431.185,432.307,434.116,431.185
GDS3257,432.218,432.042,432.702,435.746,432.042,432.218,434.485,432.042
GDS3257,432.556,432.598,432.239,435.811,432.239,432.239,435.325,432.598
GDS3257,431.583,432.545,431.834,435.674,431.834,431.583,434.968,432.545
GDS3257,432.75,433.485,432.061,435.455,432.061,432.061,434.208,433.485
GDS3257,431.015,433.307,430.294,434.794,430.294,430.294,433.492,433.307
GDS3257,433.147,433.238,432.966,435.821,432.966,432.966,434.316,433.238
GDS3257,431.995,432.879,432.017,435.73,432.017,431.995,435.175,432.879
GDS3257,432.12,433.005,431.737,435.541,431.737,431.737,434.529,433.005
GDS3257,432.409,432.438,431.925,435.608,431.925,431.925,434.472,432.438
GDS3257,432.337,433.412,433.043,435.595,433.043,432.337,435.234,433.412
GDS3257,432.82,432.958,431.897,435.71,431.897,431.897,433.629,432.958
GDS3257,432.443,432.726,432.353,436.227,432.353,432.353,434.515,432.726
GDS3257,432.144,432.602,432.358,435.574,432.358,432.144,434.111,432.602
GDS3257,432.896,432.386,432.729,435.473,432.386,432.729,432.842,432.386
GDS3257,433.038,432.693,432.408,435.433,432.408,432.408,435.196,432.693
GDS3257,431.223,432.724,431.158,435.585,431.158,431.158,434.796,432.724
GDS3257,431.835,432.554,431.599,435.779,431.599,431.599,434.616,432.554
GDS3257,433.201,433.415,433.624,435.922,433.415,433.201,435.129,433.415
GDS3257,432.819,432.81,432.414,435.511,432.414,432.414,434.381,432.81
GDS3257,432.554,433.048,432.539,435.963,432.539,432.539,435.288,433.048
