% Title: HIV, All Species Singlenet
% Creator: Neena Parikh
%
@RELATION infection

@ATTRIBUTE class {Control,Infected}
@ATTRIBUTE RGNEF NUMERIC
@ATTRIBUTE CPD NUMERIC
@ATTRIBUTE ARHGAP9 NUMERIC
@ATTRIBUTE WDR33 NUMERIC
@ATTRIBUTE FOXD4 NUMERIC
@ATTRIBUTE PDE1A NUMERIC
@ATTRIBUTE TMOD2 NUMERIC
@ATTRIBUTE USP9X NUMERIC
@ATTRIBUTE PPARA NUMERIC
@ATTRIBUTE PHF3 NUMERIC
@ATTRIBUTE TPM3 NUMERIC
@ATTRIBUTE HNRNPU NUMERIC
@ATTRIBUTE TGFA NUMERIC
@ATTRIBUTE NHSL1 NUMERIC
@ATTRIBUTE ZBTB16 NUMERIC
@ATTRIBUTE TPM2 NUMERIC
@ATTRIBUTE SNRNP48 NUMERIC
@ATTRIBUTE CDCA3 NUMERIC
@ATTRIBUTE PLA2G6 NUMERIC
@ATTRIBUTE HNRPDL NUMERIC
@ATTRIBUTE PPP1R7 NUMERIC
@ATTRIBUTE KRT6B NUMERIC
@ATTRIBUTE TCF3 NUMERIC
@ATTRIBUTE LRRC48 NUMERIC
@ATTRIBUTE RPS10 NUMERIC
@ATTRIBUTE MTMR6 NUMERIC
@ATTRIBUTE EIF3A NUMERIC
@ATTRIBUTE SLC25A44 NUMERIC
@ATTRIBUTE PDE7A NUMERIC
@ATTRIBUTE RGS16 NUMERIC
@ATTRIBUTE KCNMB2 NUMERIC
@ATTRIBUTE SRSF5 NUMERIC
@ATTRIBUTE HNRNPA2B1 NUMERIC
@ATTRIBUTE EID1 NUMERIC
@ATTRIBUTE DIO2 NUMERIC
@ATTRIBUTE RPP30 NUMERIC
@ATTRIBUTE ATCAY NUMERIC
@ATTRIBUTE MDM4 NUMERIC
@ATTRIBUTE SYN2 NUMERIC
@ATTRIBUTE GBA2 NUMERIC
@ATTRIBUTE CCND2 NUMERIC
@ATTRIBUTE NDST1 NUMERIC
@ATTRIBUTE NR4A2 NUMERIC
@ATTRIBUTE CBX5 NUMERIC
@ATTRIBUTE MEG3 NUMERIC
@ATTRIBUTE MFN1 NUMERIC
@ATTRIBUTE RPL7 NUMERIC
@ATTRIBUTE LSM14B NUMERIC
@ATTRIBUTE BAZ2A NUMERIC
@ATTRIBUTE PDLIM5 NUMERIC
@ATTRIBUTE MBP NUMERIC
@ATTRIBUTE BCR NUMERIC
@ATTRIBUTE SFPQ NUMERIC
@ATTRIBUTE ITSN2 NUMERIC
@ATTRIBUTE TRIM2 NUMERIC
@ATTRIBUTE PER3 NUMERIC
@ATTRIBUTE GABRB3 NUMERIC
@ATTRIBUTE SP4 NUMERIC
@ATTRIBUTE DDX46 NUMERIC
@ATTRIBUTE ARL6IP6 NUMERIC
@ATTRIBUTE TMEM116 NUMERIC
@ATTRIBUTE AP1AR NUMERIC
@ATTRIBUTE JPH2 NUMERIC
@ATTRIBUTE IGHMBP2 NUMERIC
@ATTRIBUTE COX5A NUMERIC
@ATTRIBUTE SLAMF9 NUMERIC
@ATTRIBUTE ADCY7 NUMERIC
@ATTRIBUTE HIVEP3 NUMERIC
@ATTRIBUTE RAP2B NUMERIC
@ATTRIBUTE INSR NUMERIC
@ATTRIBUTE TMEM184A NUMERIC
@ATTRIBUTE TERF2 NUMERIC
@ATTRIBUTE MLLT6 NUMERIC
@ATTRIBUTE PGK1 NUMERIC
@ATTRIBUTE MAGI1 NUMERIC
@ATTRIBUTE EGFR NUMERIC
@ATTRIBUTE PDE10A NUMERIC
@ATTRIBUTE NFIB NUMERIC
@ATTRIBUTE GNAO1 NUMERIC
@ATTRIBUTE NUCKS1 NUMERIC
@ATTRIBUTE DHX30 NUMERIC
@ATTRIBUTE PDLIM7 NUMERIC
@ATTRIBUTE PBRM1 NUMERIC
@ATTRIBUTE ALDH3A2 NUMERIC
@ATTRIBUTE SOCS3 NUMERIC
@ATTRIBUTE CSMD1 NUMERIC
@ATTRIBUTE RS1 NUMERIC
@ATTRIBUTE UBR5 NUMERIC
@ATTRIBUTE KSR1 NUMERIC
@ATTRIBUTE CSTF3 NUMERIC
@ATTRIBUTE SIX3 NUMERIC
@ATTRIBUTE POLK NUMERIC
@ATTRIBUTE FIP1L1 NUMERIC
@ATTRIBUTE SLC14A1 NUMERIC
@ATTRIBUTE ZFP64 NUMERIC
@ATTRIBUTE POLH NUMERIC
@ATTRIBUTE SFT2D2 NUMERIC
@ATTRIBUTE RABIF NUMERIC
@ATTRIBUTE TGS1 NUMERIC
@ATTRIBUTE NECAP2 NUMERIC
@ATTRIBUTE ZNRF2 NUMERIC
@ATTRIBUTE SEPP1 NUMERIC
@ATTRIBUTE PBX1 NUMERIC
@ATTRIBUTE BAZ1B NUMERIC
@ATTRIBUTE HS1BP3 NUMERIC
@ATTRIBUTE MRPL34 NUMERIC
@ATTRIBUTE BACE1 NUMERIC
@ATTRIBUTE KCND2 NUMERIC
@ATTRIBUTE ZKSCAN3 NUMERIC
@ATTRIBUTE FLYWCH2 NUMERIC
@ATTRIBUTE SLC19A1 NUMERIC
@ATTRIBUTE APOB NUMERIC
@ATTRIBUTE ERLEC1 NUMERIC
@ATTRIBUTE ATP6AP2 NUMERIC
@ATTRIBUTE DTYMK NUMERIC
@ATTRIBUTE LMNA NUMERIC
@ATTRIBUTE ATE1 NUMERIC
@ATTRIBUTE PFKFB2 NUMERIC
@ATTRIBUTE MGST1 NUMERIC
@ATTRIBUTE CAMK2A NUMERIC
@ATTRIBUTE TPD52 NUMERIC
@ATTRIBUTE INTS7 NUMERIC
@ATTRIBUTE TFRC NUMERIC
@ATTRIBUTE CD8A NUMERIC
@ATTRIBUTE ARHGAP29 NUMERIC
@ATTRIBUTE TTC39B NUMERIC
@ATTRIBUTE OXCT1 NUMERIC
@ATTRIBUTE CCDC82 NUMERIC
@ATTRIBUTE DNPEP NUMERIC
@ATTRIBUTE WDR55 NUMERIC
@ATTRIBUTE KLF7 NUMERIC
@ATTRIBUTE TRIM62 NUMERIC
@ATTRIBUTE RAD52 NUMERIC
@ATTRIBUTE NRF1 NUMERIC
@ATTRIBUTE SIN3B NUMERIC
@ATTRIBUTE TMPO NUMERIC
@ATTRIBUTE NF1 NUMERIC
@ATTRIBUTE PHTF1 NUMERIC
@ATTRIBUTE ARIH2 NUMERIC
@ATTRIBUTE HELLS NUMERIC
@ATTRIBUTE EXOC6 NUMERIC
@ATTRIBUTE CNTLN NUMERIC
@ATTRIBUTE SOS2 NUMERIC
@ATTRIBUTE PCSK6 NUMERIC
@ATTRIBUTE TCEB3 NUMERIC
@ATTRIBUTE SEPT6 NUMERIC
@ATTRIBUTE SLC38A10 NUMERIC
@ATTRIBUTE BLOC1S3 NUMERIC
@ATTRIBUTE NPRL3 NUMERIC
@ATTRIBUTE ADAMTSL4 NUMERIC
@ATTRIBUTE PIAS2 NUMERIC
@ATTRIBUTE EPN2 NUMERIC
@ATTRIBUTE CACNA1A NUMERIC
@ATTRIBUTE MPP7 NUMERIC
@ATTRIBUTE TBC1D1 NUMERIC
@ATTRIBUTE GPSM1 NUMERIC
@ATTRIBUTE NEAT1 NUMERIC
@ATTRIBUTE TAB3 NUMERIC
@ATTRIBUTE TLN1 NUMERIC
@ATTRIBUTE PURB NUMERIC
@ATTRIBUTE ACAD11 NUMERIC
@ATTRIBUTE NBN NUMERIC
@ATTRIBUTE CASR NUMERIC
@ATTRIBUTE METTL6 NUMERIC
@ATTRIBUTE PIM3 NUMERIC
@ATTRIBUTE PCBP3 NUMERIC
@ATTRIBUTE ZCCHC10 NUMERIC
@ATTRIBUTE ENPP4 NUMERIC
@ATTRIBUTE PPM1A NUMERIC
@ATTRIBUTE MYO9B NUMERIC
@ATTRIBUTE TAZ NUMERIC
@ATTRIBUTE SMOC1 NUMERIC
@ATTRIBUTE ITGA2B NUMERIC
@ATTRIBUTE RAB12 NUMERIC
@ATTRIBUTE SOX17 NUMERIC
@ATTRIBUTE OAS2 NUMERIC
@ATTRIBUTE PXN NUMERIC
@ATTRIBUTE NFIA NUMERIC
@ATTRIBUTE ZFHX3 NUMERIC
@ATTRIBUTE RYK NUMERIC
@ATTRIBUTE DNTT NUMERIC
@ATTRIBUTE PHF20 NUMERIC
@ATTRIBUTE PTPRS NUMERIC
@ATTRIBUTE CLEC4E NUMERIC
@ATTRIBUTE LATS2 NUMERIC
@ATTRIBUTE NFATC2 NUMERIC
@ATTRIBUTE SRSF3 NUMERIC
@ATTRIBUTE SLC7A4 NUMERIC
@ATTRIBUTE FBN1 NUMERIC
@ATTRIBUTE TPP2 NUMERIC
@ATTRIBUTE ASCC2 NUMERIC
@ATTRIBUTE FYCO1 NUMERIC
@ATTRIBUTE PVR NUMERIC
@ATTRIBUTE FKBP3 NUMERIC
@ATTRIBUTE FADS1 NUMERIC
@ATTRIBUTE CCDC50 NUMERIC
@ATTRIBUTE HBEGF NUMERIC
@ATTRIBUTE IDS NUMERIC
@ATTRIBUTE FGFR2 NUMERIC
@ATTRIBUTE CALD1 NUMERIC
@ATTRIBUTE ALDH1A2 NUMERIC
@ATTRIBUTE NF2 NUMERIC
@ATTRIBUTE MDP1 NUMERIC
@ATTRIBUTE GALNT3 NUMERIC
@ATTRIBUTE NUB1 NUMERIC
@ATTRIBUTE MGAT2 NUMERIC
@ATTRIBUTE ANG NUMERIC
@ATTRIBUTE NSMAF NUMERIC
@ATTRIBUTE COX4I1 NUMERIC
@ATTRIBUTE SLC25A30 NUMERIC
@ATTRIBUTE IDUA NUMERIC
@ATTRIBUTE DNAJC4 NUMERIC
@ATTRIBUTE BCL2L14 NUMERIC
@ATTRIBUTE RLIM NUMERIC
@ATTRIBUTE CAB39L NUMERIC
@ATTRIBUTE EIF4B NUMERIC
@ATTRIBUTE CANT1 NUMERIC
@ATTRIBUTE ZBTB17 NUMERIC
@ATTRIBUTE EIF5B NUMERIC
@ATTRIBUTE PTPRE NUMERIC
@ATTRIBUTE HERC2 NUMERIC
@ATTRIBUTE RTN4IP1 NUMERIC
@ATTRIBUTE PRR15 NUMERIC
@ATTRIBUTE TNRC18 NUMERIC
@ATTRIBUTE SLA2 NUMERIC
@ATTRIBUTE APOA1 NUMERIC
@ATTRIBUTE DDX3X NUMERIC
@ATTRIBUTE AMELX NUMERIC
@ATTRIBUTE AP2A2 NUMERIC
@ATTRIBUTE ARPC5L NUMERIC
@ATTRIBUTE HNF4A NUMERIC
@ATTRIBUTE CHRD NUMERIC
@ATTRIBUTE ADARB1 NUMERIC
@ATTRIBUTE BACH1 NUMERIC
@ATTRIBUTE TMCC3 NUMERIC
@ATTRIBUTE GNB3 NUMERIC
@ATTRIBUTE NKAP NUMERIC
@ATTRIBUTE ZXDC NUMERIC
@ATTRIBUTE SKIL NUMERIC
@ATTRIBUTE CREBZF NUMERIC
@ATTRIBUTE ADRBK1 NUMERIC
@ATTRIBUTE STAM2 NUMERIC
@ATTRIBUTE DAPK2 NUMERIC
@ATTRIBUTE TRAK1 NUMERIC
@ATTRIBUTE TOM1L2 NUMERIC
@ATTRIBUTE PHKA1 NUMERIC
@ATTRIBUTE IL2RB NUMERIC
@ATTRIBUTE MS4A1 NUMERIC
@ATTRIBUTE BTG2 NUMERIC
@ATTRIBUTE STK3 NUMERIC
@ATTRIBUTE BAAT NUMERIC
@ATTRIBUTE SHMT1 NUMERIC
@ATTRIBUTE MYEOV2 NUMERIC
@ATTRIBUTE CNOT4 NUMERIC
@ATTRIBUTE FERMT3 NUMERIC
@ATTRIBUTE IL12RB1 NUMERIC
@ATTRIBUTE MOCS1 NUMERIC
@ATTRIBUTE PTPN5 NUMERIC
@ATTRIBUTE ARHGAP4 NUMERIC
@ATTRIBUTE C2CD2L NUMERIC
@ATTRIBUTE TRDN NUMERIC
@ATTRIBUTE UTP11L NUMERIC
@ATTRIBUTE PTPN18 NUMERIC
@ATTRIBUTE MED14 NUMERIC
@ATTRIBUTE SHMT2 NUMERIC
@ATTRIBUTE TRMT1 NUMERIC
@ATTRIBUTE RORA NUMERIC
@ATTRIBUTE COL22A1 NUMERIC
@ATTRIBUTE SMEK2 NUMERIC
@ATTRIBUTE UBE2J1 NUMERIC
@ATTRIBUTE TSC22D1 NUMERIC
@ATTRIBUTE FSTL1 NUMERIC
@ATTRIBUTE TIMM22 NUMERIC
@ATTRIBUTE GABPB1 NUMERIC
@ATTRIBUTE AKT3 NUMERIC
@ATTRIBUTE ZMYND10 NUMERIC
@ATTRIBUTE CUL7 NUMERIC
@ATTRIBUTE DCUN1D5 NUMERIC
@ATTRIBUTE TRIM27 NUMERIC
@ATTRIBUTE TSPAN17 NUMERIC
@ATTRIBUTE SLIT3 NUMERIC
@ATTRIBUTE PITRM1 NUMERIC
@ATTRIBUTE PTPRC NUMERIC
@ATTRIBUTE PNN NUMERIC
@ATTRIBUTE SYT8 NUMERIC
@ATTRIBUTE RBM39 NUMERIC
@ATTRIBUTE RAB2A NUMERIC
@ATTRIBUTE MC2R NUMERIC
@ATTRIBUTE TPM1 NUMERIC
@ATTRIBUTE B3GAT1 NUMERIC
@ATTRIBUTE MCOLN3 NUMERIC
@ATTRIBUTE IL15RA NUMERIC
@ATTRIBUTE CACNG5 NUMERIC
@ATTRIBUTE TIRAP NUMERIC
@ATTRIBUTE KLF6 NUMERIC
@ATTRIBUTE APBB2 NUMERIC
@ATTRIBUTE NEK6 NUMERIC
@ATTRIBUTE KCNAB2 NUMERIC
@ATTRIBUTE ELOVL6 NUMERIC
@ATTRIBUTE MRPS9 NUMERIC
@ATTRIBUTE CALML3 NUMERIC
@ATTRIBUTE ANTXR1 NUMERIC
@ATTRIBUTE CDC73 NUMERIC
@ATTRIBUTE CTTN NUMERIC
@ATTRIBUTE TGM2 NUMERIC
@ATTRIBUTE TJP2 NUMERIC
@ATTRIBUTE ANAPC16 NUMERIC
@ATTRIBUTE DNAJC21 NUMERIC
@ATTRIBUTE CP NUMERIC
@ATTRIBUTE KCNIP2 NUMERIC
@ATTRIBUTE FAM48A NUMERIC
@ATTRIBUTE ADAM28 NUMERIC
@ATTRIBUTE PTP4A2 NUMERIC
@ATTRIBUTE DCAF5 NUMERIC
@ATTRIBUTE GAB1 NUMERIC
@ATTRIBUTE JAK1 NUMERIC
@ATTRIBUTE RHBDL3 NUMERIC
@ATTRIBUTE PTPN14 NUMERIC
@ATTRIBUTE EXOC4 NUMERIC
@ATTRIBUTE APC2 NUMERIC
@ATTRIBUTE SDHC NUMERIC
@ATTRIBUTE RAD18 NUMERIC
@ATTRIBUTE POLR3H NUMERIC
@ATTRIBUTE SLC25A4 NUMERIC
@ATTRIBUTE TTN NUMERIC
@ATTRIBUTE ARHGEF12 NUMERIC
@ATTRIBUTE HNRPLL NUMERIC
@ATTRIBUTE DST NUMERIC
@ATTRIBUTE PPP3CB NUMERIC
@ATTRIBUTE MED1 NUMERIC
@ATTRIBUTE MBD2 NUMERIC
@ATTRIBUTE FBXO3 NUMERIC
@ATTRIBUTE BRCA2 NUMERIC
@ATTRIBUTE ZBTB46 NUMERIC
@ATTRIBUTE BAT2 NUMERIC
@ATTRIBUTE EHD2 NUMERIC
@ATTRIBUTE GAD1 NUMERIC
@ATTRIBUTE RPS14 NUMERIC
@ATTRIBUTE FKBP8 NUMERIC
@ATTRIBUTE VPS36 NUMERIC
@ATTRIBUTE CUL3 NUMERIC
@ATTRIBUTE GRIP1 NUMERIC
@ATTRIBUTE FNDC3A NUMERIC
@ATTRIBUTE PTH2 NUMERIC
@ATTRIBUTE VTI1A NUMERIC
@ATTRIBUTE SLC6A6 NUMERIC
@ATTRIBUTE MARCH5 NUMERIC
@ATTRIBUTE MALAT1 NUMERIC
@ATTRIBUTE ITM2A NUMERIC
@ATTRIBUTE FAM100A NUMERIC
@ATTRIBUTE PSEN1 NUMERIC
@ATTRIBUTE FAM20C NUMERIC
@ATTRIBUTE EARS2 NUMERIC
@ATTRIBUTE HSPB7 NUMERIC
@ATTRIBUTE EIF4G2 NUMERIC
@ATTRIBUTE ELL2 NUMERIC
@ATTRIBUTE ICAM1 NUMERIC
@ATTRIBUTE RBM9 NUMERIC
@ATTRIBUTE POFUT2 NUMERIC
@ATTRIBUTE PSMB1 NUMERIC
@ATTRIBUTE STRBP NUMERIC
@ATTRIBUTE CDC42 NUMERIC
@ATTRIBUTE AGXT NUMERIC
@ATTRIBUTE ENPP3 NUMERIC
@ATTRIBUTE USP34 NUMERIC
@ATTRIBUTE ST7L NUMERIC
@ATTRIBUTE SVIL NUMERIC
@ATTRIBUTE RBBP6 NUMERIC
@ATTRIBUTE CD36 NUMERIC
@ATTRIBUTE SYT5 NUMERIC
@ATTRIBUTE LGALS12 NUMERIC
@ATTRIBUTE RTN2 NUMERIC
@ATTRIBUTE HNRNPUL2 NUMERIC
@ATTRIBUTE MATR3 NUMERIC
@ATTRIBUTE DOCK5 NUMERIC
@ATTRIBUTE UCHL5 NUMERIC
@ATTRIBUTE CPA5 NUMERIC
@ATTRIBUTE RRBP1 NUMERIC
@ATTRIBUTE IGF1R NUMERIC
@ATTRIBUTE BCL10 NUMERIC
@ATTRIBUTE MRPL52 NUMERIC
@ATTRIBUTE TGFB1 NUMERIC
@ATTRIBUTE PARD3 NUMERIC
@ATTRIBUTE NASP NUMERIC
@ATTRIBUTE PSMF1 NUMERIC
@ATTRIBUTE SPON1 NUMERIC
@ATTRIBUTE ADNP2 NUMERIC
@ATTRIBUTE MAP2K5 NUMERIC
@ATTRIBUTE QTRTD1 NUMERIC
@ATTRIBUTE PEX5 NUMERIC
@ATTRIBUTE MAPK8IP3 NUMERIC
@ATTRIBUTE SNTB2 NUMERIC
@ATTRIBUTE COL12A1 NUMERIC
@ATTRIBUTE GDAP1L1 NUMERIC
@ATTRIBUTE LIMK1 NUMERIC
@ATTRIBUTE LRIG1 NUMERIC
@ATTRIBUTE MRPL17 NUMERIC
@ATTRIBUTE DDX54 NUMERIC
@ATTRIBUTE MYCT1 NUMERIC
@ATTRIBUTE COX7A2 NUMERIC
@ATTRIBUTE CALM3 NUMERIC
@ATTRIBUTE LYRM2 NUMERIC
@ATTRIBUTE FAM3C NUMERIC
@ATTRIBUTE TDP1 NUMERIC
@ATTRIBUTE EMCN NUMERIC
@ATTRIBUTE UBE2W NUMERIC
@ATTRIBUTE RAB27A NUMERIC
@ATTRIBUTE HTR4 NUMERIC
@ATTRIBUTE EPS15 NUMERIC
@ATTRIBUTE IL13RA1 NUMERIC
@ATTRIBUTE ARNT NUMERIC
@ATTRIBUTE CD53 NUMERIC
@ATTRIBUTE EIF4EBP2 NUMERIC
@ATTRIBUTE GEMIN8 NUMERIC
@ATTRIBUTE SLAIN2 NUMERIC
@ATTRIBUTE USP53 NUMERIC
@ATTRIBUTE ZCCHC3 NUMERIC
@ATTRIBUTE MAPK10 NUMERIC
@ATTRIBUTE CDH6 NUMERIC
@ATTRIBUTE PDXK NUMERIC
@ATTRIBUTE EMID2 NUMERIC
@ATTRIBUTE RAD51AP1 NUMERIC
@ATTRIBUTE SSRP1 NUMERIC
@ATTRIBUTE KPNA1 NUMERIC
@ATTRIBUTE ARL4A NUMERIC
@ATTRIBUTE NPAS3 NUMERIC
@ATTRIBUTE ING3 NUMERIC
@ATTRIBUTE BCLAF1 NUMERIC
@ATTRIBUTE CAPN10 NUMERIC
@ATTRIBUTE PTGS2 NUMERIC
@ATTRIBUTE KIF1A NUMERIC
@ATTRIBUTE ING2 NUMERIC
@ATTRIBUTE H2AFJ NUMERIC
@ATTRIBUTE AVL9 NUMERIC
@ATTRIBUTE GNPTAB NUMERIC
@ATTRIBUTE ERI2 NUMERIC
@ATTRIBUTE MINA NUMERIC
@ATTRIBUTE KALRN NUMERIC
@ATTRIBUTE EEPD1 NUMERIC
@ATTRIBUTE TRAM1 NUMERIC
@ATTRIBUTE AKAP4 NUMERIC
@ATTRIBUTE NUDCD2 NUMERIC
@ATTRIBUTE ANKRD44 NUMERIC
@ATTRIBUTE FANCC NUMERIC
@ATTRIBUTE NOL7 NUMERIC
@ATTRIBUTE USE1 NUMERIC
@ATTRIBUTE ANK1 NUMERIC
@ATTRIBUTE PDE12 NUMERIC
@ATTRIBUTE AP3M2 NUMERIC
@ATTRIBUTE NPAS2 NUMERIC
@ATTRIBUTE MRPL41 NUMERIC
@ATTRIBUTE LRP1 NUMERIC
@ATTRIBUTE EHD4 NUMERIC
@ATTRIBUTE CNTN4 NUMERIC
@ATTRIBUTE DGAT2 NUMERIC
@ATTRIBUTE MSL3 NUMERIC
@ATTRIBUTE XIST NUMERIC
@ATTRIBUTE PMPCB NUMERIC
@ATTRIBUTE CARD14 NUMERIC
@ATTRIBUTE MEF2D NUMERIC
@ATTRIBUTE PIWIL2 NUMERIC

@DATA
Control,147.7,89.3,130,158.8,5.7,120.8,261.6,102.4,117,133.8,37,116.7,130.9,143.1,31.2,90.3,82.3,126.3,5.2,31.6,292.1,9.3,149.2,12.9,2170.9,96.8,119.4,126.3,88.6,89.7,14.5,34,124.6,128.8,273.5,53.2,111.6,107.1,57.5,51.8,161.8,166.2,58,132.2,38.2,252.9,40.8,276.5,187.3,6253,9300.3,85.2,236.7,132.3,102.9,229.8,80.9,148.5,239.1,25.7,162.3,20.8,74.7,627.5,431.7,3.8,144.5,227.1,551.4,123.1,153,156,301.5,9041.6,87.5,128.9,814.5,132.8,130,78.1,45,44.7,291.3,54.2,125,22.7,91,96.6,1449.3,48.1,214,48.9,133.8,181.6,703.2,93.1,107,96,130,273.5,86.8,38.2,12.9,459.9,65.3,53.2,164.2,43.3,64.9,39.1,78.3,170.3,17.8,53.1,167.3,90.9,44.2,144.4,111.1,166.2,147.7,700.3,1296.6,5,73.9,276.5,101.2,19.4,3219.3,94.2,1449.3,160.5,109.7,143.1,76.1,147.3,56.3,96.8,356.7,65.7,104.6,28,616.4,158.8,49.7,723.8,1172.6,409.9,30.7,128.7,55.1,93.3,101.2,181.6,55.1,34.3,54.1,20.2,594.3,103.2,496.7,57.3,71.4,25.3,160.5,9.2,57.4,13.5,259.6,2.6,3.6,122.5,10.9,42.9,66.8,107,107.7,105.5,95.8,68.7,69.5,158.8,291.3,124.6,156.4,136.7,109.6,136.7,610.1,261.6,137.1,1.4,149.2,125.5,23.7,132.8,1596.1,105.5,24.8,77.3,37.7,99.6,36.6,142.4,134.7,99.5,94.4,226.6,67.7,496.7,659.4,72.7,57.3,711.9,183.5,68.7,41.9,11.4,594.3,132.2,896.2,129.5,9300.3,4,25.6,224.1,158.8,17.4,350.3,64.4,130.9,264.3,89.7,71.4,5,2.3,103,44.2,128.4,108.4,214.9,117.7,20.6,107.6,146.1,106.7,576.7,34.5,101,356.7,182.6,896.2,142.6,627.5,132.3,153.8,65.9,15.3,43.2,24.8,214.9,70.5,119.5,46.7,167.3,56.3,123.7,75.2,109.1,2170.9,5231.5,58.9,156.4,45,262.1,106.7,76.5,350.3,167.8,44.2,100,314,144.4,53.2,16.5,610.1,145.7,26.5,176.7,189.5,236.5,294.5,227.5,145.6,109.1,81.5,157.4,181.6,6855.2,465,112.9,106.8,140.6,468.2,5231.5,110.7,11638.7,105.5,1646.8,280.6,227.1,81.5,93.1,49.3,79.2,86.8,57.3,295.8,383.2,75.1,120.8,62.4,13.4,239.1,119.3,116.8,243.1,12.5,119.3,106.5,128.7,128.4,5.5,107.6,77.8,73.3,118.3,20.3,496.7,56.9,128.6,468.2,28.1,20.1,148.3,168.6,146.8,203.9,82,6.4,66.3,10.9,65,275.6,107.5,236.5,3,73.9,106.3,128.4,102.6,127.4,693.4,75.2,37.7,11,17.4,243.1,109.3,198,88.2,27.3,293,145.1,126.3,55.1,140.6,136.7,94.8,182.6,277.5,19.1,6.1,6698.4,56.9,11.9,81.5,279.5,183.5,37.7,675,106.5,118.8,89.9,94.4,176.7,227.5,16.4,92,117.7,1296.6,78.1,95.4,780,94.7,49.8,610.1,136.6,224.1,100.9,34.7,73.4,102.9,12.7,100,13.9,700.3,73.4,8.4,78.1,11.5,230.3,291.3,9041.6,84.7,123.1,43.3,107.2,87.6,2862.8,7.9,112.9,65,124.8,44.6,13,276.5,106.1,197.7,76.6,166.9,659.4,194.4,90.3,70.7,16.9,814.5,55,39.4,7.9,146.8,77.1,78.1,293.7,12.7,1172.6,227.5,128.2,19.8,19.1,167.3
Control,136.8,199.1,299.8,114.3,48.9,16.6,371.5,153.3,171.2,112.9,240.5,110.7,101.2,84.7,95,161.8,116.5,179.4,29,23.8,351.5,84.3,145.6,63.9,1117.8,211.5,160,136.8,117.2,54.7,12.6,24.4,124.2,153.1,208.9,76.8,77.6,96.8,126.1,110,386.7,150.8,85.2,101.2,88.1,280.9,79,219,129.5,4285.7,9165.6,96.3,234.4,84.8,35.4,137.1,60.4,149.3,243.5,106.5,133.2,6.2,22.5,324.6,650.4,8.9,160.3,227.2,868.7,127.4,86.7,163.4,286,7570.6,40,62.2,218.7,172.6,299.8,140.9,104.6,15.1,296.5,62.8,102.6,63.7,52.9,128.9,800.5,48.7,465.2,7.1,81.6,130,725.5,138.2,58.3,97.8,299.8,208.9,149.8,88.1,17.9,410.7,149.8,162.1,266.1,71.6,61.7,23.8,160.1,206.9,17.8,88.5,105.2,155.9,62.1,97.7,73.5,150.8,136.8,526.2,598.2,27.4,64.6,219,126.1,44.8,2874.7,199.7,800.5,41.3,105.4,84.7,116.5,87.4,55.9,64.1,388.3,111.7,72.4,20.6,254.6,8,108,696,937.3,354.1,59.2,25.9,95,116.9,12.2,130,95,70.9,56.7,4.9,653.3,72.3,396.2,61.1,95.4,128.6,76.1,12.4,55.9,75.2,135.5,11,49.5,179.4,9.1,56.3,29.3,35.7,106.5,57.5,62.1,68.5,86.1,104.1,296.5,124.2,215.5,18.9,74.3,24.2,426,264.6,94.4,9.4,106.5,75.1,11.3,167.4,1656.4,120.8,53.8,71.3,55,117.1,26,68,79.3,91.9,9.7,334.7,54.1,396.2,700.5,119.2,61.1,889,177.7,129.8,51,3.9,653.3,30.2,442.5,186.2,9165.6,10,2,222,135.6,114.7,227.2,157.2,101.2,116.6,156,95.4,8,3.2,65.2,10.8,129.4,170.8,154,68.5,43,74.5,86.4,97.2,291.1,117.2,129.5,388.3,169,442.5,116.4,467.2,215.5,105.6,85.2,36.7,16.7,27.6,154,126.9,60.2,101.4,105.2,88.6,124.3,75.2,117.2,1117.8,3073.1,37.8,127.4,71.9,133.9,97.2,2.9,227.2,141.3,72.4,44.9,333.5,36,76.8,29,426,233.4,71.6,194.4,236.7,168.7,239.6,235.5,233.4,60.6,43.3,146.3,130,5546.6,270.7,88.1,371.5,177.2,381.2,3073.1,93.8,11874.2,12.8,1010.1,509.5,227.2,79.4,14.7,170.8,112.6,215.5,61.1,311.3,399.2,148.4,33.6,72,10.6,243.5,100.5,131.5,342.4,72.4,100.5,60.2,25.9,129.4,49.1,55.3,53.9,85.8,22.5,18.5,295.5,58.6,207.1,381.2,25.6,79.8,71,147.6,371.5,167.2,90.1,9,46.2,8.3,71.3,199.1,65.1,168.7,46.6,73.9,120.1,129.4,111.6,70,343.9,126.9,77.6,6.1,79.4,342.4,71.5,135.9,106.1,41.3,297.3,154.2,136.8,95,177.2,23.8,36.1,169,297.3,16,8.8,7580.4,107.3,58.6,116.5,409.3,177.7,77.6,1247.5,39.6,185.2,98.7,68,194.4,235.5,31.6,54.7,25.1,598.2,42,27.8,399.1,102.7,129.8,426,105.2,222,207.1,103.9,7.4,35.4,62.2,43.4,21.5,526.2,85.8,7.8,115.1,20.1,188,296.5,7570.6,120.9,124.9,53.9,20.6,100.2,2623.2,68.5,109.5,71.3,179.8,99.1,83.7,219,67.8,100.8,126.1,138.2,700.5,267,114.7,79.3,60.9,218.7,88.6,20.1,61.7,114.7,18.5,140.9,261.4,31.4,937.3,235.5,145.6,58.8,7,105.2
