features,single accuracy,multi accuracy
10,100.0,50.0
10,100.0,0.0
10,50.0,0.0
10,100.0,100.0
10,100.0,50.0
10,33.3333,100.0
10,100.0,75.0
10,100.0,100.0
10,100.0,100.0
10,100.0,75.0
10,100.0,60.0
10,100.0,0.0
10,75.0,75.0
10,80.0,60.0
10,0.0,80.0
10,100.0,0.0
10,60.0,100.0
10,40.0,100.0
10,100.0,75.0
10,100.0,50.0
10,100.0,60.0
10,100.0,50.0
20,100.0,50.0
20,100.0,0.0
20,50.0,0.0
20,75.0,75.0
20,100.0,100.0
20,33.3333,100.0
20,75.0,100.0
20,100.0,100.0
20,75.0,100.0
20,100.0,75.0
20,100.0,60.0
20,100.0,0.0
20,75.0,62.5
20,80.0,60.0
20,0.0,80.0
20,100.0,0.0
20,60.0,100.0
20,60.0,100.0
20,100.0,100.0
20,80.0,40.0
20,100.0,20.0
20,100.0,50.0
30,100.0,50.0
30,100.0,0.0
30,50.0,0.0
30,75.0,75.0
30,100.0,100.0
30,33.3333,75.0
30,75.0,100.0
30,100.0,100.0
30,75.0,100.0
30,100.0,75.0
30,100.0,60.0
30,100.0,0.0
30,75.0,37.5
30,80.0,60.0
30,0.0,80.0
30,100.0,0.0
30,60.0,100.0
30,40.0,100.0
30,100.0,100.0
30,80.0,80.0
30,100.0,20.0
30,100.0,50.0
40,100.0,50.0
40,100.0,0.0
40,50.0,100.0
40,75.0,75.0
40,100.0,100.0
40,33.3333,75.0
40,75.0,100.0
40,100.0,100.0
40,75.0,100.0
40,100.0,75.0
40,100.0,60.0
40,100.0,0.0
40,25.0,25.0
40,80.0,60.0
40,0.0,80.0
40,100.0,0.0
40,60.0,100.0
40,40.0,100.0
40,100.0,100.0
40,80.0,60.0
40,100.0,20.0
40,100.0,75.0
50,100.0,50.0
50,100.0,0.0
50,50.0,100.0
50,75.0,50.0
50,100.0,100.0
50,33.3333,75.0
50,75.0,100.0
50,100.0,100.0
50,75.0,100.0
50,100.0,25.0
50,100.0,60.0
50,100.0,20.0
50,50.0,100.0
50,80.0,100.0
50,0.0,100.0
50,100.0,100.0
50,40.0,60.0
50,60.0,20.0
50,100.0,50.0
60,100.0,50.0
60,100.0,100.0
60,50.0,75.0
60,75.0,100.0
60,100.0,100.0
60,33.3333,100.0
60,75.0,25.0
60,100.0,60.0
60,75.0,20.0
60,100.0,100.0
60,100.0,100.0
60,100.0,100.0
60,50.0,100.0
60,80.0,50.0
60,0.0,20.0
60,100.0,25.0
70,100.0,75.0
70,100.0,100.0
70,50.0,75.0
70,75.0,100.0
70,100.0,100.0
70,33.3333,100.0
70,75.0,100.0
70,100.0,100.0
70,75.0,100.0
70,100.0,40.0
70,100.0,20.0
70,100.0,25.0
80,100.0,75.0
80,100.0,100.0
80,50.0,75.0
80,75.0,100.0
80,100.0,100.0
80,33.3333,100.0
80,75.0,100.0
80,100.0,100.0
80,75.0,100.0
80,100.0,40.0
80,100.0,20.0
80,100.0,25.0
90,100.0,75.0
90,100.0,100.0
90,50.0,75.0
90,75.0,100.0
90,100.0,100.0
90,33.3333,100.0
90,75.0,100.0
90,100.0,100.0
90,75.0,100.0
90,100.0,40.0
90,100.0,40.0
90,100.0,25.0
