features,single accuracy,multi accuracy
10,100.0,50.0
10,100.0,0.0
10,50.0,0.0
10,100.0,100.0
10,100.0,50.0
10,0.0,100.0
10,66.6667,100.0
10,100.0,100.0
10,66.6667,100.0
10,66.6667,66.6667
10,100.0,66.6667
10,100.0,0.0
10,66.6667,60.0
10,66.6667,66.6667
10,0.0,66.6667
10,100.0,0.0
10,33.3333,100.0
10,100.0,100.0
10,100.0,100.0
10,66.6667,71.4286
10,100.0,50.0
10,100.0,100.0
20,100.0,50.0
20,100.0,0.0
20,50.0,100.0
20,100.0,100.0
20,100.0,100.0
20,0.0,100.0
20,66.6667,66.6667
20,100.0,100.0
20,100.0,100.0
20,66.6667,66.6667
20,100.0,66.6667
20,100.0,0.0
20,66.6667,60.0
20,66.6667,66.6667
20,0.0,66.6667
20,100.0,0.0
20,66.6667,100.0
20,66.6667,100.0
20,100.0,100.0
20,66.6667,57.1429
20,100.0,50.0
20,100.0,66.6667
30,100.0,50.0
30,100.0,0.0
30,50.0,100.0
30,100.0,66.6667
30,100.0,100.0
30,0.0,100.0
30,66.6667,100.0
30,100.0,100.0
30,100.0,100.0
30,66.6667,66.6667
30,100.0,66.6667
30,100.0,0.0
30,33.3333,60.0
30,66.6667,66.6667
30,0.0,66.6667
30,100.0,0.0
30,66.6667,100.0
30,66.6667,100.0
30,100.0,100.0
30,66.6667,71.4286
30,100.0,50.0
30,100.0,66.6667
40,100.0,50.0
40,100.0,0.0
40,50.0,100.0
40,100.0,66.6667
40,100.0,100.0
40,0.0,100.0
40,66.6667,100.0
40,100.0,100.0
40,100.0,100.0
40,100.0,66.6667
40,100.0,66.6667
40,100.0,0.0
40,33.3333,40.0
40,66.6667,66.6667
40,0.0,66.6667
40,100.0,0.0
40,66.6667,100.0
40,66.6667,100.0
40,100.0,100.0
40,66.6667,71.4286
40,100.0,50.0
40,100.0,66.6667
50,100.0,50.0
50,100.0,0.0
50,50.0,100.0
50,100.0,66.6667
50,100.0,100.0
50,0.0,100.0
50,66.6667,100.0
50,100.0,100.0
50,100.0,100.0
50,100.0,60.0
50,100.0,66.6667
50,100.0,66.6667
50,66.6667,100.0
50,66.6667,100.0
50,0.0,100.0
50,100.0,100.0
50,66.6667,42.8571
50,100.0,50.0
50,100.0,66.6667
60,100.0,66.6667
60,100.0,100.0
60,50.0,100.0
60,100.0,100.0
60,100.0,100.0
60,0.0,100.0
60,66.6667,40.0
60,100.0,66.6667
60,100.0,66.6667
60,100.0,100.0
60,100.0,100.0
60,100.0,100.0
60,66.6667,100.0
60,66.6667,42.8571
60,0.0,50.0
60,100.0,66.6667
70,100.0,66.6667
70,100.0,100.0
70,50.0,100.0
70,100.0,100.0
70,100.0,100.0
70,0.0,100.0
70,66.6667,100.0
70,100.0,100.0
70,100.0,100.0
70,100.0,28.5714
70,100.0,50.0
70,100.0,66.6667
80,100.0,66.6667
80,100.0,100.0
80,50.0,100.0
80,100.0,100.0
80,100.0,100.0
80,0.0,100.0
80,66.6667,100.0
80,100.0,100.0
80,100.0,100.0
80,100.0,28.5714
80,100.0,75.0
80,100.0,33.3333
90,100.0,66.6667
90,100.0,100.0
90,50.0,100.0
90,100.0,100.0
90,100.0,100.0
90,0.0,100.0
90,66.6667,100.0
90,100.0,100.0
90,100.0,100.0
90,100.0,28.5714
90,100.0,75.0
90,100.0,33.3333
