features,single accuracy,multi accuracy
10,100.0,100.0
10,0.0,100.0
10,0.0,0.0
10,100.0,0.0
10,0.0,100.0
10,0.0,100.0
10,100.0,100.0
10,100.0,100.0
10,100.0,100.0
10,100.0,100.0
10,100.0,100.0
10,100.0,0.0
10,0.0,0.0
10,100.0,50.0
10,0.0,0.0
10,100.0,50.0
10,100.0,0.0
10,100.0,100.0
10,0.0,100.0
10,100.0,100.0
10,100.0,100.0
10,100.0,0.0
10,66.6667,100.0
20,100.0,100.0
20,0.0,0.0
20,0.0,0.0
20,100.0,100.0
20,0.0,0.0
20,0.0,100.0
20,0.0,100.0
20,100.0,100.0
20,0.0,100.0
20,100.0,100.0
20,100.0,100.0
20,100.0,0.0
20,0.0,0.0
20,100.0,50.0
20,0.0,0.0
20,100.0,50.0
20,100.0,0.0
20,100.0,100.0
20,0.0,100.0
20,100.0,100.0
20,100.0,100.0
20,100.0,50.0
20,100.0,100.0
30,100.0,100.0
30,0.0,0.0
30,0.0,0.0
30,100.0,100.0
30,0.0,0.0
30,0.0,100.0
30,0.0,100.0
30,100.0,100.0
30,100.0,100.0
30,100.0,100.0
30,100.0,100.0
30,100.0,0.0
30,100.0,0.0
30,100.0,50.0
30,0.0,0.0
30,100.0,50.0
30,100.0,0.0
30,50.0,100.0
30,0.0,100.0
30,100.0,100.0
30,100.0,66.6667
30,100.0,100.0
30,100.0,100.0
40,100.0,100.0
40,0.0,0.0
40,100.0,0.0
40,100.0,100.0
40,0.0,0.0
40,0.0,100.0
40,0.0,100.0
40,100.0,100.0
40,100.0,100.0
40,100.0,100.0
40,100.0,100.0
40,100.0,0.0
40,100.0,0.0
40,100.0,50.0
40,0.0,0.0
40,100.0,50.0
40,100.0,0.0
40,100.0,100.0
40,0.0,100.0
40,100.0,100.0
40,100.0,66.6667
40,100.0,100.0
40,100.0,100.0
50,100.0,100.0
50,0.0,0.0
50,100.0,0.0
50,100.0,100.0
50,0.0,0.0
50,0.0,100.0
50,0.0,100.0
50,100.0,100.0
50,100.0,100.0
50,100.0,100.0
50,100.0,50.0
50,100.0,0.0
50,0.0,50.0
50,100.0,0.0
50,0.0,100.0
50,100.0,100.0
50,100.0,100.0
50,50.0,66.6667
50,0.0,50.0
50,100.0,100.0
60,100.0,0.0
60,0.0,100.0
60,100.0,100.0
60,100.0,100.0
60,0.0,100.0
60,0.0,100.0
60,0.0,50.0
60,100.0,0.0
60,100.0,50.0
60,100.0,0.0
60,100.0,100.0
60,100.0,100.0
60,0.0,100.0
60,100.0,66.6667
60,0.0,100.0
60,100.0,100.0
70,100.0,0.0
70,0.0,100.0
70,100.0,100.0
70,100.0,100.0
70,0.0,100.0
70,0.0,100.0
70,0.0,100.0
70,100.0,100.0
70,100.0,100.0
70,100.0,33.3333
70,100.0,50.0
70,100.0,100.0
80,100.0,0.0
80,0.0,100.0
80,100.0,100.0
80,100.0,100.0
80,0.0,100.0
80,0.0,100.0
80,0.0,100.0
80,100.0,100.0
80,100.0,100.0
80,100.0,33.3333
80,100.0,50.0
80,100.0,100.0
90,100.0,0.0
90,0.0,100.0
90,100.0,100.0
90,100.0,100.0
90,0.0,100.0
90,0.0,100.0
90,0.0,100.0
90,100.0,100.0
90,100.0,100.0
90,100.0,33.3333
90,100.0,50.0
90,100.0,100.0
