disease,experiment,threshold,features,difference,difference number
,,,,-1,-42.8571
,,,,-1,-42.8571
,,,,-1,-57.1429
,,,,-1,-57.1429
Acne_Vulgaris,GDS2478,70,10,-1,-37.5
Acne_Vulgaris,GDS2478,70,20,-1,-25
Acne_Vulgaris,GDS2478,70,30,-1,-25
Acne_Vulgaris,GDS2478,70,40,-1,-25
Acne_Vulgaris,GDS2478,70,50,-1,-25
,,,,-1,-87.5
,,,,-1,-87.5
,,,,-1,-87.5
,,,,-1,-87.5
Acne_Vulgaris,GDS3215,70,10,0,0
Acne_Vulgaris,GDS3215,70,20,0,0
Acne_Vulgaris,GDS3215,70,30,0,0
Acne_Vulgaris,GDS3215,70,40,0,0
Acne_Vulgaris,GDS3215,70,50,0,0
,,,,-1,-25
,,,,-1,-25
,,,,-1,-25
,,,,-1,-25
Acne_Vulgaris,GDS3218,70,10,-1,-25
Acne_Vulgaris,GDS3218,70,20,-1,-25
Acne_Vulgaris,GDS3218,70,30,-1,-25
Acne_Vulgaris,GDS3218,70,40,-1,-25
Acne_Vulgaris,GDS3218,70,50,-1,-25
,,,,-1,-75
,,,,-1,-75
,,,,-1,-62.5
,,,,-1,-62.5
Acne_Vulgaris,GDS2478,80,10,-1,-10
Acne_Vulgaris,GDS2478,80,20,-1,-20
Acne_Vulgaris,GDS2478,80,30,-1,-20
Acne_Vulgaris,GDS2478,80,40,-1,-10
Acne_Vulgaris,GDS2478,80,50,-1,-10
,,,,-1,-90
,,,,-1,-90
,,,,-1,-90
,,,,-1,-90
Acne_Vulgaris,GDS3215,80,10,0,0
Acne_Vulgaris,GDS3215,80,20,0,0
Acne_Vulgaris,GDS3215,80,30,0,0
Acne_Vulgaris,GDS3215,80,40,0,0
Acne_Vulgaris,GDS3215,80,50,0,0
,,,,-1,-25
,,,,-1,-25
,,,,-1,-25
,,,,-1,-25
Acne_Vulgaris,GDS3218,80,10,-1,-25
Acne_Vulgaris,GDS3218,80,20,-1,-25
Acne_Vulgaris,GDS3218,80,30,-1,-25
Acne_Vulgaris,GDS3218,80,40,-1,-25
Acne_Vulgaris,GDS3218,80,50,-1,-25
,,,,-1,-75
,,,,-1,-75
,,,,-1,-62.5
,,,,-1,-62.5
Acne_Vulgaris,GDS2478,90,10,-1,-9.0909
Acne_Vulgaris,GDS2478,90,20,-1,-27.2727
Acne_Vulgaris,GDS2478,90,30,-1,-27.2727
Acne_Vulgaris,GDS2478,90,40,-1,-27.2727
Acne_Vulgaris,GDS2478,90,50,-1,-27.2727
,,,,-1,-90.9091
,,,,-1,-90.9091
,,,,-1,-90.9091
,,,,-1,-90.9091
Acne_Vulgaris,GDS3215,90,10,0,0
Acne_Vulgaris,GDS3215,90,20,0,0
Acne_Vulgaris,GDS3215,90,30,0,0
Acne_Vulgaris,GDS3215,90,40,0,0
Acne_Vulgaris,GDS3215,90,50,0,0
,,,,-1,-25
,,,,-1,-25
,,,,-1,-25
,,,,-1,-25
Acne_Vulgaris,GDS3218,90,10,-1,-25
Acne_Vulgaris,GDS3218,90,20,-1,-25
Acne_Vulgaris,GDS3218,90,30,-1,-25
Acne_Vulgaris,GDS3218,90,40,-1,-25
Acne_Vulgaris,GDS3218,90,50,-1,-25
,,,,-1,-75
,,,,-1,-75
,,,,-1,-62.5
,,,,-1,-62.5
Adenoma,GDS2432,10,10,0,0
Adenoma,GDS2432,10,20,1,100
Adenoma,GDS2432,10,30,0,0
Adenoma,GDS2432,10,40,0,0
Adenoma,GDS2432,10,50,0,0
Adenoma,GDS2432,10,60,0,0
Adenoma,GDS2432,10,70,0,0
Adenoma,GDS2432,10,80,0,0
Adenoma,GDS2432,10,90,0,0
Adenoma,GDS2860,10,10,0,0
Adenoma,GDS2860,10,20,0,0
Adenoma,GDS2860,10,30,0,0
Adenoma,GDS2860,10,40,0,0
Adenoma,GDS2860,10,50,0,0
Adenoma,GDS2860,10,60,0,0
Adenoma,GDS2860,10,70,0,0
Adenoma,GDS2860,10,80,0,0
Adenoma,GDS2860,10,90,0,0
Adenoma,GDS2432,20,10,1,33.3333
Adenoma,GDS2432,20,20,0,0
Adenoma,GDS2432,20,30,0,0
Adenoma,GDS2432,20,40,0,0
Adenoma,GDS2432,20,50,0,0
Adenoma,GDS2432,20,60,0,0
Adenoma,GDS2432,20,70,0,0
Adenoma,GDS2432,20,80,0,0
Adenoma,GDS2432,20,90,0,0
Adenoma,GDS2860,20,10,1,33.3333
Adenoma,GDS2860,20,20,0,0
Adenoma,GDS2860,20,30,1,33.3333
