features,train instances,type,accuracy
300,11.0,single,0.0
300,12.0,single,50.0
300,13.0,single,80.0
300,15.0,single,100.0
300,17.0,single,100.0
700,1.0,single,42.8571
700,1.0,single,40.0
700,1.0,single,40.0
700,1.0,single,33.3333
700,1.0,single,33.3333
700,1.0,single,33.3333
700,1.0,single,33.3333
700,2.0,single,33.3333
700,2.0,single,100.0
700,2.0,single,100.0
700,2.0,single,87.5
700,2.0,single,40.0
700,2.0,single,25.0
700,2.0,single,25.0
700,2.0,single,100.0
700,2.0,single,0.0
700,2.0,single,100.0
700,2.0,single,0.0
700,2.0,single,100.0
700,2.0,single,0.0
700,3.0,single,60.0
700,3.0,single,20.0
700,3.0,single,100.0
700,3.0,single,33.3333
700,3.0,single,0.0
700,3.0,single,66.6667
700,3.0,single,100.0
700,3.0,single,0.0
700,3.0,single,100.0
700,3.0,single,0.0
700,4.0,single,100.0
700,4.0,single,50.0
700,4.0,single,37.5
700,4.0,single,0.0
700,4.0,single,0.0
700,4.0,single,0.0
700,4.0,single,0.0
700,4.0,single,0.0
700,5.0,single,28.5714
700,5.0,single,0.0
700,5.0,single,0.0
700,6.0,single,50.0
700,6.0,single,100.0
700,6.0,single,33.3333
700,6.0,single,0.0
700,8.0,single,100.0
700,8.0,single,25.0
700,9.0,single,52.6316
700,9.0,single,88.8889
700,9.0,single,0.0
700,10.0,single,0.0
700,11.0,single,85.7143
700,11.0,single,0.0
700,12.0,single,50.0
700,13.0,single,80.0
700,15.0,single,100.0
1200,2.0,single,100.0
1200,2.0,single,0.0
1200,2.0,single,100.0
1200,2.0,single,0.0
1200,2.0,single,100.0
1200,2.0,single,50.0
1200,3.0,single,100.0
1200,3.0,single,0.0
1200,3.0,single,100.0
1200,3.0,single,0.0
1200,1.0,single,33.3333
1200,1.0,single,33.3333
1200,1.0,single,33.3333
1200,1.0,single,33.3333
1200,4.0,single,0.0
1200,4.0,single,0.0
1200,4.0,single,0.0
1200,4.0,single,0.0
1100,2.0,single,100.0
1100,2.0,single,0.0
1100,2.0,single,100.0
1100,2.0,single,0.0
1100,2.0,single,100.0
1100,2.0,single,50.0
1100,3.0,single,100.0
1100,3.0,single,0.0
1100,3.0,single,100.0
1100,3.0,single,0.0
1100,1.0,single,33.3333
1100,1.0,single,33.3333
1100,1.0,single,33.3333
1100,1.0,single,33.3333
1100,4.0,single,0.0
1100,4.0,single,0.0
1100,4.0,single,0.0
1100,4.0,single,0.0
400,1.0,single,42.8571
400,1.0,single,40.0
400,1.0,single,40.0
400,1.0,single,33.3333
400,1.0,single,33.3333
400,1.0,single,33.3333
400,1.0,single,33.3333
400,2.0,single,33.3333
400,2.0,single,100.0
400,2.0,single,100.0
400,2.0,single,87.5
400,2.0,single,40.0
400,2.0,single,25.0
400,2.0,single,25.0
400,2.0,single,0.0
400,2.0,single,100.0
400,2.0,single,0.0
400,2.0,single,100.0
400,2.0,single,0.0
400,2.0,single,100.0
400,3.0,single,60.0
400,3.0,single,20.0
400,3.0,single,100.0
400,3.0,single,33.3333
400,3.0,single,0.0
400,3.0,single,66.6667
400,3.0,single,100.0
400,3.0,single,0.0
400,3.0,single,100.0
400,3.0,single,0.0
400,4.0,single,100.0
400,4.0,single,57.1429
400,4.0,single,37.5
400,4.0,single,50.0
400,4.0,single,0.0
400,4.0,single,0.0
400,4.0,single,0.0
400,4.0,single,0.0
400,5.0,single,28.5714
400,5.0,single,0.0
400,5.0,single,0.0
400,6.0,single,54.5455
400,6.0,single,100.0
400,6.0,single,33.3333
400,6.0,single,0.0
400,8.0,single,100.0
400,8.0,single,25.0
400,9.0,single,47.3684
400,9.0,single,88.8889
400,9.0,single,0.0
400,10.0,single,0.0
400,11.0,single,85.7143
400,11.0,single,0.0
400,12.0,single,50.0
400,13.0,single,80.0
400,15.0,single,100.0
400,17.0,single,100.0
100,1.0,single,42.8571
100,1.0,single,40.0
100,1.0,single,40.0
100,1.0,single,33.3333
100,1.0,single,33.3333
100,1.0,single,33.3333
100,1.0,single,33.3333
100,2.0,single,33.3333
100,2.0,single,100.0
100,2.0,single,100.0
100,2.0,single,87.5
100,2.0,single,40.0
100,2.0,single,25.0
100,2.0,single,25.0
100,2.0,single,0.0
100,2.0,single,50.0
100,2.0,single,0.0
100,2.0,single,50.0
100,2.0,single,0.0
100,2.0,single,50.0
100,3.0,single,56.0
100,3.0,single,20.0
100,3.0,single,100.0
100,3.0,single,33.3333
100,3.0,single,0.0
100,3.0,single,100.0
100,3.0,single,100.0
100,3.0,single,0.0
100,3.0,single,100.0
100,3.0,single,0.0
100,4.0,single,100.0
100,4.0,single,85.7143
100,4.0,single,37.5
100,4.0,single,100.0
100,4.0,single,0.0
100,4.0,single,0.0
100,4.0,single,0.0
100,4.0,single,0.0
100,5.0,single,28.5714
100,5.0,single,100.0
100,5.0,single,100.0
100,6.0,single,54.5455
100,6.0,single,100.0
100,6.0,single,33.3333
100,6.0,single,0.0
100,8.0,single,100.0
100,8.0,single,25.0
100,9.0,single,52.6316
100,9.0,single,100.0
100,9.0,single,0.0
100,10.0,single,0.0
100,11.0,single,100.0
100,11.0,single,0.0
100,12.0,single,56.25
100,13.0,single,80.0
100,15.0,single,100.0
100,17.0,single,100.0
800,1.0,single,42.8571
800,1.0,single,40.0
800,1.0,single,40.0
800,1.0,single,33.3333
800,1.0,single,33.3333
800,1.0,single,33.3333
800,1.0,single,33.3333
800,2.0,single,33.3333
800,2.0,single,100.0
800,2.0,single,100.0
800,2.0,single,87.5
800,2.0,single,40.0
800,2.0,single,25.0
800,2.0,single,25.0
800,2.0,single,100.0
800,2.0,single,0.0
800,2.0,single,100.0
800,2.0,single,0.0
800,2.0,single,100.0
800,2.0,single,0.0
800,3.0,single,60.0
800,3.0,single,20.0
800,3.0,single,100.0
800,3.0,single,33.3333
800,3.0,single,0.0
800,3.0,single,33.3333
800,3.0,single,100.0
800,3.0,single,0.0
800,3.0,single,100.0
800,3.0,single,0.0
800,4.0,single,100.0
800,4.0,single,42.8571
800,4.0,single,37.5
800,4.0,single,0.0
800,4.0,single,0.0
800,4.0,single,0.0
800,4.0,single,0.0
800,4.0,single,0.0
800,5.0,single,28.5714
800,5.0,single,0.0
800,5.0,single,0.0
800,6.0,single,50.0
800,6.0,single,100.0
800,6.0,single,33.3333
800,6.0,single,0.0
800,8.0,single,100.0
800,8.0,single,25.0
800,9.0,single,52.6316
800,9.0,single,88.8889
800,9.0,single,0.0
800,10.0,single,0.0
800,11.0,single,85.7143
800,11.0,single,0.0
800,12.0,single,50.0
800,13.0,single,80.0
800,15.0,single,100.0
500,1.0,single,42.8571
500,1.0,single,40.0
500,1.0,single,40.0
500,1.0,single,33.3333
500,1.0,single,33.3333
500,1.0,single,33.3333
500,1.0,single,33.3333
500,2.0,single,33.3333
500,2.0,single,100.0
500,2.0,single,100.0
500,2.0,single,87.5
500,2.0,single,40.0
500,2.0,single,25.0
500,2.0,single,25.0
500,2.0,single,100.0
500,2.0,single,0.0
500,2.0,single,100.0
500,2.0,single,0.0
500,2.0,single,100.0
500,2.0,single,0.0
500,3.0,single,60.0
500,3.0,single,20.0
500,3.0,single,100.0
500,3.0,single,33.3333
500,3.0,single,0.0
500,3.0,single,66.6667
500,3.0,single,100.0
500,3.0,single,0.0
500,3.0,single,100.0
500,3.0,single,0.0
500,4.0,single,100.0
500,4.0,single,50.0
500,4.0,single,37.5
500,4.0,single,50.0
500,4.0,single,0.0
500,4.0,single,0.0
500,4.0,single,0.0
500,4.0,single,0.0
500,5.0,single,28.5714
500,5.0,single,0.0
500,5.0,single,0.0
500,6.0,single,50.0
500,6.0,single,100.0
500,6.0,single,33.3333
500,6.0,single,0.0
500,8.0,single,100.0
500,8.0,single,25.0
500,9.0,single,47.3684
500,9.0,single,88.8889
500,9.0,single,0.0
500,10.0,single,0.0
500,11.0,single,85.7143
500,11.0,single,0.0
500,12.0,single,50.0
500,13.0,single,80.0
500,15.0,single,100.0
1000,2.0,single,100.0
1000,2.0,single,0.0
1000,2.0,single,100.0
1000,2.0,single,0.0
1000,2.0,single,100.0
1000,2.0,single,50.0
1000,3.0,single,100.0
1000,3.0,single,0.0
1000,3.0,single,100.0
1000,3.0,single,0.0
1000,1.0,single,33.3333
1000,1.0,single,33.3333
1000,1.0,single,33.3333
1000,1.0,single,33.3333
1000,4.0,single,0.0
1000,4.0,single,0.0
1000,4.0,single,0.0
1000,4.0,single,0.0
200,5.0,multi,33.3333
200,5.0,multi,33.3333
200,5.0,multi,33.3333
200,5.0,multi,33.3333
200,6.0,multi,0.0
200,6.0,multi,50.0
200,6.0,multi,0.0
200,6.0,multi,50.0
200,6.0,multi,0.0
200,6.0,multi,50.0
200,7.0,multi,0.0
200,7.0,multi,0.0
200,7.0,multi,0.0
200,7.0,multi,0.0
200,8.0,multi,0.0
200,8.0,multi,0.0
200,8.0,multi,0.0
200,8.0,multi,0.0
200,17.0,multi,56.0
200,20.0,multi,50.0
200,20.0,multi,81.25
200,22.0,multi,21.4286
200,23.0,multi,47.3684
200,24.0,multi,83.3333
200,26.0,multi,50.0
200,26.0,multi,40.0
200,26.0,multi,70.0
200,27.0,multi,33.3333
200,27.0,multi,66.6667
200,28.0,multi,62.5
200,29.0,multi,28.5714
200,29.0,multi,57.1429
200,30.0,multi,33.3333
200,31.0,multi,40.0
200,31.0,multi,40.0
200,32.0,multi,25.0
200,32.0,multi,25.0
200,32.0,multi,25.0
200,33.0,multi,0.0
200,33.0,multi,33.3333
200,33.0,multi,33.3333
200,33.0,multi,66.6667
200,34.0,multi,0.0
200,34.0,multi,50.0
200,35.0,multi,42.8571
200,35.0,multi,0.0
200,35.0,multi,0.0
200,35.0,multi,100.0
200,35.0,multi,100.0
200,36.0,multi,33.3333
200,36.0,multi,0.0
200,37.0,multi,40.0
200,37.0,multi,20.0
200,38.0,multi,50.0
200,38.0,multi,50.0
200,38.0,multi,25.0
200,39.0,multi,33.3333
900,5.0,multi,33.3333
900,5.0,multi,33.3333
900,5.0,multi,33.3333
900,5.0,multi,33.3333
900,6.0,multi,100.0
900,6.0,multi,0.0
900,6.0,multi,100.0
900,6.0,multi,0.0
900,6.0,multi,100.0
900,6.0,multi,50.0
900,7.0,multi,0.0
900,7.0,multi,0.0
900,7.0,multi,0.0
900,7.0,multi,0.0
900,8.0,multi,0.0
900,8.0,multi,0.0
900,8.0,multi,0.0
900,8.0,multi,0.0
900,17.0,multi,56.0
900,20.0,multi,50.0
900,20.0,multi,81.25
900,22.0,multi,21.4286
900,23.0,multi,47.3684
900,24.0,multi,91.6667
900,26.0,multi,60.0
900,26.0,multi,70.0
900,27.0,multi,33.3333
900,27.0,multi,66.6667
900,28.0,multi,62.5
900,29.0,multi,71.4286
900,29.0,multi,57.1429
900,30.0,multi,33.3333
900,31.0,multi,40.0
900,31.0,multi,40.0
900,32.0,multi,25.0
900,32.0,multi,25.0
900,32.0,multi,25.0
900,33.0,multi,0.0
900,33.0,multi,33.3333
900,33.0,multi,33.3333
900,34.0,multi,0.0
900,34.0,multi,50.0
900,35.0,multi,0.0
900,35.0,multi,0.0
900,35.0,multi,100.0
1400,5.0,multi,33.3333
1400,5.0,multi,33.3333
1400,5.0,multi,33.3333
1400,5.0,multi,33.3333
1400,6.0,multi,100.0
1400,6.0,multi,0.0
1400,6.0,multi,100.0
1400,6.0,multi,0.0
1400,6.0,multi,100.0
1400,6.0,multi,50.0
1400,7.0,multi,0.0
1400,7.0,multi,0.0
1400,7.0,multi,0.0
1400,7.0,multi,0.0
1400,8.0,multi,0.0
1400,8.0,multi,0.0
1400,8.0,multi,0.0
1400,8.0,multi,0.0
1300,5.0,multi,33.3333
1300,5.0,multi,33.3333
1300,5.0,multi,33.3333
1300,5.0,multi,33.3333
1300,6.0,multi,100.0
1300,6.0,multi,0.0
1300,6.0,multi,100.0
1300,6.0,multi,0.0
1300,6.0,multi,100.0
1300,6.0,multi,50.0
1300,7.0,multi,0.0
1300,7.0,multi,0.0
1300,7.0,multi,0.0
1300,7.0,multi,0.0
1300,8.0,multi,0.0
1300,8.0,multi,0.0
1300,8.0,multi,0.0
1300,8.0,multi,0.0
600,5.0,multi,33.3333
600,5.0,multi,33.3333
600,5.0,multi,33.3333
600,5.0,multi,33.3333
600,6.0,multi,100.0
600,6.0,multi,0.0
600,6.0,multi,100.0
600,6.0,multi,0.0
600,6.0,multi,100.0
600,6.0,multi,50.0
600,7.0,multi,0.0
600,7.0,multi,0.0
600,7.0,multi,0.0
600,7.0,multi,0.0
600,8.0,multi,0.0
600,8.0,multi,0.0
600,8.0,multi,0.0
600,8.0,multi,0.0
600,17.0,multi,56.0
600,20.0,multi,50.0
600,20.0,multi,81.25
600,22.0,multi,21.4286
600,23.0,multi,47.3684
600,24.0,multi,91.6667
600,26.0,multi,50.0
600,26.0,multi,60.0
600,26.0,multi,70.0
600,27.0,multi,33.3333
600,27.0,multi,66.6667
600,28.0,multi,62.5
600,29.0,multi,71.4286
600,29.0,multi,57.1429
600,30.0,multi,33.3333
600,31.0,multi,40.0
600,31.0,multi,40.0
600,32.0,multi,25.0
600,32.0,multi,25.0
600,32.0,multi,25.0
600,33.0,multi,0.0
600,33.0,multi,33.3333
600,33.0,multi,33.3333
600,33.0,multi,33.3333
600,34.0,multi,0.0
600,34.0,multi,50.0
600,35.0,multi,42.8571
600,35.0,multi,0.0
600,35.0,multi,0.0
600,35.0,multi,100.0
600,35.0,multi,100.0
600,36.0,multi,33.3333
600,36.0,multi,0.0
600,37.0,multi,40.0
600,37.0,multi,20.0
600,38.0,multi,50.0
600,38.0,multi,50.0
600,38.0,multi,25.0
600,39.0,multi,33.3333
300,5.0,multi,33.3333
300,5.0,multi,33.3333
300,5.0,multi,33.3333
300,5.0,multi,33.3333
300,6.0,multi,0.0
300,6.0,multi,50.0
300,6.0,multi,0.0
300,6.0,multi,50.0
300,6.0,multi,0.0
300,6.0,multi,50.0
300,7.0,multi,0.0
300,7.0,multi,0.0
300,7.0,multi,0.0
300,7.0,multi,0.0
300,8.0,multi,0.0
300,8.0,multi,0.0
300,8.0,multi,0.0
300,8.0,multi,0.0
300,17.0,multi,56.0
300,20.0,multi,50.0
300,20.0,multi,75.0
300,22.0,multi,21.4286
300,23.0,multi,47.3684
300,24.0,multi,83.3333
300,26.0,multi,50.0
300,26.0,multi,40.0
300,26.0,multi,70.0
300,27.0,multi,33.3333
300,27.0,multi,66.6667
300,28.0,multi,62.5
300,29.0,multi,28.5714
300,29.0,multi,57.1429
300,30.0,multi,33.3333
300,31.0,multi,40.0
300,31.0,multi,40.0
300,32.0,multi,25.0
300,32.0,multi,25.0
300,32.0,multi,25.0
300,33.0,multi,0.0
300,33.0,multi,33.3333
300,33.0,multi,33.3333
300,33.0,multi,33.3333
300,34.0,multi,0.0
300,34.0,multi,50.0
300,35.0,multi,42.8571
300,35.0,multi,0.0
300,35.0,multi,0.0
300,35.0,multi,100.0
300,35.0,multi,100.0
300,36.0,multi,33.3333
300,36.0,multi,0.0
300,37.0,multi,40.0
300,37.0,multi,20.0
300,38.0,multi,50.0
300,38.0,multi,50.0
300,38.0,multi,25.0
300,39.0,multi,33.3333
700,5.0,multi,33.3333
700,5.0,multi,33.3333
700,5.0,multi,33.3333
700,5.0,multi,33.3333
700,6.0,multi,100.0
700,6.0,multi,0.0
700,6.0,multi,100.0
700,6.0,multi,0.0
700,6.0,multi,100.0
700,6.0,multi,50.0
700,7.0,multi,0.0
700,7.0,multi,0.0
700,7.0,multi,0.0
700,7.0,multi,0.0
700,8.0,multi,0.0
700,8.0,multi,0.0
700,8.0,multi,0.0
700,8.0,multi,0.0
700,17.0,multi,56.0
700,20.0,multi,50.0
700,20.0,multi,81.25
700,22.0,multi,21.4286
700,23.0,multi,47.3684
700,24.0,multi,83.3333
700,26.0,multi,50.0
700,26.0,multi,60.0
700,26.0,multi,70.0
700,27.0,multi,33.3333
700,27.0,multi,66.6667
700,28.0,multi,62.5
700,29.0,multi,71.4286
700,29.0,multi,57.1429
700,30.0,multi,33.3333
700,31.0,multi,40.0
700,31.0,multi,40.0
700,32.0,multi,25.0
700,32.0,multi,25.0
700,32.0,multi,25.0
700,33.0,multi,0.0
700,33.0,multi,33.3333
700,33.0,multi,33.3333
700,33.0,multi,33.3333
700,34.0,multi,0.0
700,34.0,multi,50.0
700,35.0,multi,0.0
700,35.0,multi,0.0
700,35.0,multi,100.0
700,35.0,multi,100.0
700,37.0,multi,20.0
700,36.0,multi,0.0
1200,5.0,multi,33.3333
1200,5.0,multi,33.3333
1200,5.0,multi,33.3333
1200,5.0,multi,33.3333
1200,6.0,multi,100.0
1200,6.0,multi,0.0
1200,6.0,multi,100.0
1200,6.0,multi,0.0
1200,6.0,multi,100.0
1200,6.0,multi,50.0
1200,7.0,multi,0.0
1200,7.0,multi,0.0
1200,7.0,multi,0.0
1200,7.0,multi,0.0
1200,8.0,multi,0.0
1200,8.0,multi,0.0
1200,8.0,multi,0.0
1200,8.0,multi,0.0
1100,5.0,multi,33.3333
1100,5.0,multi,33.3333
1100,5.0,multi,33.3333
1100,5.0,multi,33.3333
1100,6.0,multi,100.0
1100,6.0,multi,0.0
1100,6.0,multi,100.0
1100,6.0,multi,0.0
1100,6.0,multi,100.0
1100,6.0,multi,50.0
1100,7.0,multi,0.0
1100,7.0,multi,0.0
1100,7.0,multi,0.0
1100,7.0,multi,0.0
1100,8.0,multi,0.0
1100,8.0,multi,0.0
1100,8.0,multi,0.0
1100,8.0,multi,0.0
400,5.0,multi,33.3333
400,5.0,multi,33.3333
400,5.0,multi,33.3333
400,5.0,multi,33.3333
400,6.0,multi,0.0
400,6.0,multi,50.0
400,6.0,multi,0.0
400,6.0,multi,50.0
400,6.0,multi,0.0
400,6.0,multi,50.0
400,7.0,multi,0.0
400,7.0,multi,0.0
400,7.0,multi,0.0
400,7.0,multi,0.0
400,8.0,multi,0.0
400,8.0,multi,0.0
400,8.0,multi,0.0
400,8.0,multi,0.0
400,17.0,multi,56.0
400,20.0,multi,50.0
400,20.0,multi,81.25
400,22.0,multi,21.4286
400,23.0,multi,47.3684
400,24.0,multi,91.6667
400,26.0,multi,50.0
400,26.0,multi,60.0
400,26.0,multi,70.0
400,27.0,multi,33.3333
400,27.0,multi,66.6667
400,28.0,multi,62.5
400,29.0,multi,28.5714
400,29.0,multi,57.1429
400,30.0,multi,33.3333
400,31.0,multi,40.0
400,31.0,multi,40.0
400,32.0,multi,25.0
400,32.0,multi,25.0
400,32.0,multi,25.0
400,33.0,multi,0.0
400,33.0,multi,33.3333
400,33.0,multi,33.3333
400,33.0,multi,33.3333
400,34.0,multi,0.0
400,34.0,multi,50.0
400,35.0,multi,42.8571
400,35.0,multi,0.0
400,35.0,multi,0.0
400,35.0,multi,100.0
400,35.0,multi,100.0
400,36.0,multi,33.3333
400,36.0,multi,0.0
400,37.0,multi,40.0
400,37.0,multi,20.0
400,38.0,multi,50.0
400,38.0,multi,50.0
400,38.0,multi,25.0
400,39.0,multi,33.3333
100,5.0,multi,33.3333
100,5.0,multi,33.3333
100,5.0,multi,33.3333
100,5.0,multi,33.3333
100,6.0,multi,0.0
100,6.0,multi,50.0
100,6.0,multi,0.0
100,6.0,multi,50.0
100,6.0,multi,0.0
100,6.0,multi,50.0
100,7.0,multi,100.0
100,7.0,multi,0.0
100,7.0,multi,100.0
100,7.0,multi,0.0
100,8.0,multi,0.0
100,8.0,multi,0.0
100,8.0,multi,0.0
100,8.0,multi,0.0
100,17.0,multi,56.0
100,20.0,multi,50.0
100,20.0,multi,81.25
100,22.0,multi,21.4286
100,23.0,multi,47.3684
100,24.0,multi,83.3333
100,26.0,multi,50.0
100,26.0,multi,40.0
100,26.0,multi,70.0
100,27.0,multi,33.3333
100,27.0,multi,66.6667
100,28.0,multi,37.5
100,29.0,multi,28.5714
100,29.0,multi,57.1429
100,30.0,multi,33.3333
100,31.0,multi,40.0
100,31.0,multi,60.0
100,32.0,multi,25.0
100,32.0,multi,25.0
100,32.0,multi,25.0
100,33.0,multi,0.0
100,33.0,multi,33.3333
100,33.0,multi,33.3333
100,33.0,multi,100.0
100,34.0,multi,0.0
100,34.0,multi,50.0
100,35.0,multi,42.8571
100,35.0,multi,0.0
100,35.0,multi,0.0
100,35.0,multi,100.0
100,35.0,multi,0.0
100,36.0,multi,33.3333
100,36.0,multi,0.0
100,37.0,multi,40.0
100,37.0,multi,20.0
100,38.0,multi,50.0
100,38.0,multi,50.0
100,38.0,multi,25.0
100,39.0,multi,33.3333
800,5.0,multi,33.3333
800,5.0,multi,33.3333
800,5.0,multi,33.3333
800,5.0,multi,33.3333
800,6.0,multi,100.0
800,6.0,multi,0.0
800,6.0,multi,100.0
800,6.0,multi,0.0
800,6.0,multi,100.0
800,6.0,multi,50.0
800,7.0,multi,0.0
800,7.0,multi,0.0
800,7.0,multi,0.0
800,7.0,multi,0.0
800,8.0,multi,0.0
800,8.0,multi,0.0
800,8.0,multi,0.0
800,8.0,multi,0.0
800,17.0,multi,56.0
800,20.0,multi,50.0
800,20.0,multi,87.5
800,22.0,multi,21.4286
800,23.0,multi,47.3684
800,24.0,multi,83.3333
800,26.0,multi,50.0
800,26.0,multi,60.0
800,26.0,multi,70.0
800,27.0,multi,33.3333
800,27.0,multi,66.6667
800,28.0,multi,62.5
800,29.0,multi,71.4286
800,29.0,multi,57.1429
800,30.0,multi,33.3333
800,31.0,multi,40.0
800,31.0,multi,40.0
800,32.0,multi,25.0
