features,single accuracy,multi accuracy
10,100.0,62.5
10,50.0,25.0
10,60.0,50.0
10,100.0,85.7143
10,25.0,80.0
10,75.0,77.7778
10,75.0,87.5
10,80.0,100.0
10,66.6667,100.0
10,87.5,66.6667
10,85.7143,60.0
10,85.7143,25.0
10,66.6667,28.5714
10,80.0,50.0
10,25.0,60.0
10,93.3333,50.0
10,50.0,100.0
10,80.0,100.0
10,75.0,25.0
10,100.0,55.0
10,100.0,72.7273
10,100.0,62.5
20,88.8889,62.5
20,100.0,25.0
20,60.0,50.0
20,87.5,71.4286
20,25.0,80.0
20,75.0,66.6667
20,100.0,87.5
20,80.0,100.0
20,77.7778,100.0
20,87.5,66.6667
20,100.0,40.0
20,85.7143,25.0
20,50.0,28.5714
20,70.0,50.0
20,25.0,60.0
20,100.0,50.0
20,80.0,100.0
20,80.0,100.0
20,100.0,37.5
20,83.3333,50.0
20,87.5,63.6364
20,62.5,50.0
30,88.8889,62.5
30,100.0,25.0
30,40.0,50.0
30,87.5,85.7143
30,25.0,60.0
30,75.0,66.6667
30,100.0,100.0
30,80.0,100.0
30,77.7778,100.0
30,87.5,66.6667
30,85.7143,40.0
30,100.0,25.0
30,66.6667,28.5714
30,70.0,50.0
30,25.0,60.0
30,92.8571,50.0
30,80.0,100.0
30,80.0,100.0
30,100.0,37.5
30,83.3333,60.0
30,87.5,63.6364
30,75.0,50.0
40,88.8889,62.5
40,100.0,25.0
40,20.0,50.0
40,87.5,71.4286
40,25.0,80.0
40,75.0,66.6667
40,100.0,87.5
40,80.0,100.0
40,77.7778,100.0
40,87.5,66.6667
40,85.7143,40.0
40,85.7143,25.0
40,83.3333,28.5714
40,80.0,50.0
40,25.0,60.0
40,92.8571,50.0
40,80.0,100.0
40,80.0,100.0
40,100.0,25.0
40,83.3333,65.0
40,87.5,72.7273
40,75.0,50.0
50,88.8889,62.5
50,100.0,25.0
50,20.0,50.0
50,87.5,71.4286
50,25.0,80.0
50,75.0,66.6667
50,85.7143,100.0
50,100.0,100.0
50,77.7778,100.0
50,87.5,28.5714
50,85.7143,50.0
50,85.7143,60.0
50,83.3333,75.0
50,80.0,100.0
50,25.0,100.0
50,92.8571,12.5
50,80.0,65.0
50,70.0,63.6364
50,100.0,50.0
60,88.8889,71.4286
60,100.0,80.0
60,20.0,66.6667
60,87.5,100.0
60,25.0,100.0
60,75.0,85.7143
60,85.7143,28.5714
60,100.0,50.0
60,77.7778,60.0
60,87.5,50.0
60,85.7143,100.0
60,85.7143,100.0
60,83.3333,12.5
60,80.0,65.0
60,25.0,72.7273
60,92.8571,50.0
70,88.8889,71.4286
70,100.0,80.0
70,20.0,66.6667
70,87.5,100.0
70,25.0,100.0
70,75.0,100.0
70,85.7143,100.0
70,80.0,100.0
70,77.7778,12.5
70,87.5,75.0
70,85.7143,63.6364
70,85.7143,50.0
80,88.8889,71.4286
80,100.0,80.0
80,20.0,66.6667
80,87.5,100.0
80,25.0,100.0
80,62.5,100.0
80,85.7143,100.0
80,80.0,100.0
80,77.7778,12.5
80,87.5,70.0
80,85.7143,72.7273
80,85.7143,50.0
90,88.8889,71.4286
90,100.0,80.0
90,20.0,66.6667
90,87.5,100.0
90,25.0,100.0
90,62.5,85.7143
90,85.7143,100.0
90,80.0,100.0
90,77.7778,12.5
90,100.0,60.0
90,85.7143,72.7273
90,85.7143,50.0
