features,single accuracy,multi accuracy
10,70.666668,65.2173913043
20,64.0,63.0434782609
30,70.0,63.7681173913
40,76.0,63.7681173913
50,70.0,65.833335
60,70.0,72.91666875
70,72.0,81.9444416667
80,72.0,81.9444416667
90,72.0,81.9444416667
