features,thresholdtype,accuracy,,,,,,
300,10,single,56,,300,10,multi,56
,,,,,,,,
300,10,single,40,,300,10,multi,40
,,,,,,,,
300,10,single,87.5,,300,10,multi,87.5
,,,,,,,,
300,10,single,40,,300,10,multi,40
,,,,,,,,
300,10,single,40,,300,10,multi,40
,,,,,,,,
300,10,single,33.3333,,300,10,multi,33.3333
,,,,,,,,
300,10,single,33.3333,,300,10,multi,33.3333
,,,,,,,,
300,20,single,33.3333,,300,20,multi,33.3333
,,,,,,,,
300,20,single,54.5455,,300,20,multi,54.5455
,,,,,,,,
300,20,single,100,,300,20,multi,100
,,,,,,,,
300,20,single,57.1429,,300,20,multi,57.1429
,,,,,,,,
300,20,single,25,,300,20,multi,25
,,,,,,,,
300,20,single,33.3333,,300,20,multi,33.3333
,,,,,,,,
300,20,single,33.3333,,300,20,multi,33.3333
,,,,,,,,
300,20,single,33.3333,,300,20,multi,33.3333
,,,,,,,,
300,30,single,20,,300,30,multi,20
,,,,,,,,
300,30,single,47.3684,,300,30,multi,47.3684
,,,,,,,,
300,30,single,100,,300,30,multi,100
,,,,,,,,
300,30,single,100,,300,30,multi,100
,,,,,,,,
300,30,single,25,,300,30,multi,25
,,,,,,,,
300,30,single,37.5,,300,30,multi,37.5
,,,,,,,,
300,30,single,0,,300,30,multi,0
,,,,,,,,
300,30,single,50,,300,30,multi,50
,,,,,,,,
300,50,single,88.8889,,300,50,multi,88.8889
,,,,,,,,
300,50,single,100,,300,50,multi,100
,,,,,,,,
300,50,single,33.3333,,300,50,multi,33.3333
,,,,,,,,
300,50,single,0,,300,50,multi,0
,,,,,,,,
300,50,single,50,,300,50,multi,50
,,,,,,,,
300,40,single,100,,300,40,multi,100
,,,,,,,,
300,40,single,50,,300,40,multi,50
,,,,,,,,
300,40,single,100,,300,40,multi,100
,,,,,,,,
300,40,single,100,,300,40,multi,100
,,,,,,,,
300,40,single,0,,300,40,multi,0
,,,,,,,,
300,40,single,28.5714,,300,40,multi,28.5714
,,,,,,,,
300,40,single,0,,300,40,multi,0
,,,,,,,,
300,40,single,50,,300,40,multi,50
,,,,,,,,
300,60,single,85.7143,,300,60,multi,85.7143
,,,,,,,,
300,60,single,50,,300,60,multi,50
,,,,,,,,
300,60,single,25,,300,60,multi,25
,,,,,,,,
300,60,single,100,,300,60,multi,100
,,,,,,,,
300,60,single,0,,300,60,multi,0
,,,,,,,,
300,70,single,80,,300,70,multi,80
,,,,,,,,
300,70,single,100,,300,70,multi,100
,,,,,,,,
300,70,single,0,,300,70,multi,0
,,,,,,,,
300,70,single,100,,300,70,multi,100
,,,,,,,,
300,70,single,0,,300,70,multi,0
,,,,,,,,
300,90,single,100,,300,90,multi,100
,,,,,,,,
300,90,single,0,,300,90,multi,0
,,,,,,,,
300,90,single,0,,300,90,multi,0
,,,,,,,,
300,90,single,0,,300,90,multi,0
,,,,,,,,
300,90,single,0,,300,90,multi,0
,,,,,,,,
300,80,single,100,,300,80,multi,100
,,,,,,,,
300,80,single,100,,300,80,multi,100
,,,,,,,,
300,80,single,0,,300,80,multi,0
,,,,,,,,
300,80,single,0,,300,80,multi,0
,,,,,,,,
300,80,single,0,,300,80,multi,0
,,,,,,,,
700,10,single,42.8571,,700,10,multi,42.8571
,,,,,,,,
700,10,single,60,,700,10,multi,60
,,,,,,,,
700,10,single,40,,700,10,multi,40
,,,,,,,,
700,10,single,87.5,,700,10,multi,87.5
,,,,,,,,
700,10,single,40,,700,10,multi,40
,,,,,,,,
700,10,single,40,,700,10,multi,40
,,,,,,,,
700,10,single,33.3333,,700,10,multi,33.3333
,,,,,,,,
700,10,single,33.3333,,700,10,multi,33.3333
,,,,,,,,
700,20,single,33.3333,,700,20,multi,33.3333
,,,,,,,,
700,20,single,50,,700,20,multi,50
,,,,,,,,
700,20,single,100,,700,20,multi,100
,,,,,,,,
700,20,single,50,,700,20,multi,50
,,,,,,,,
700,20,single,25,,700,20,multi,25
,,,,,,,,
700,20,single,33.3333,,700,20,multi,33.3333
,,,,,,,,
700,20,single,33.3333,,700,20,multi,33.3333
,,,,,,,,
700,20,single,33.3333,,700,20,multi,33.3333
,,,,,,,,
700,30,single,20,,700,30,multi,20
,,,,,,,,
700,30,single,52.6316,,700,30,multi,52.6316
,,,,,,,,
700,30,single,100,,700,30,multi,100
,,,,,,,,
700,30,single,100,,700,30,multi,100
,,,,,,,,
700,30,single,25,,700,30,multi,25
,,,,,,,,
700,30,single,37.5,,700,30,multi,37.5
,,,,,,,,
700,30,single,100,,700,30,multi,100
,,,,,,,,
700,30,single,0,,700,30,multi,0
,,,,,,,,
700,50,single,88.8889,,700,50,multi,88.8889
,,,,,,,,
700,50,single,66.6667,,700,50,multi,66.6667
,,,,,,,,
700,50,single,33.3333,,700,50,multi,33.3333
,,,,,,,,
700,50,single,100,,700,50,multi,100
,,,,,,,,
700,50,single,0,,700,50,multi,0
,,,,,,,,
700,40,single,100,,700,40,multi,100
,,,,,,,,
700,40,single,50,,700,40,multi,50
,,,,,,,,
700,40,single,100,,700,40,multi,100
,,,,,,,,
700,40,single,100,,700,40,multi,100
,,,,,,,,
700,40,single,0,,700,40,multi,0
,,,,,,,,
700,40,single,28.5714,,700,40,multi,28.5714
,,,,,,,,
700,40,single,100,,700,40,multi,100
,,,,,,,,
700,40,single,0,,700,40,multi,0
,,,,,,,,
700,60,single,85.7143,,700,60,multi,85.7143
,,,,,,,,
700,60,single,0,,700,60,multi,0
,,,,,,,,
700,60,single,25,,700,60,multi,25
,,,,,,,,
700,60,single,100,,700,60,multi,100
,,,,,,,,
700,60,single,0,,700,60,multi,0
,,,,,,,,
700,70,single,80,,700,70,multi,80
,,,,,,,,
700,70,single,0,,700,70,multi,0
,,,,,,,,
700,70,single,0,,700,70,multi,0
,,,,,,,,
700,70,single,100,,700,70,multi,100
,,,,,,,,
700,70,single,0,,700,70,multi,0
,,,,,,,,
700,90,single,0,,700,90,multi,0
,,,,,,,,
700,90,single,0,,700,90,multi,0
,,,,,,,,
700,90,single,0,,700,90,multi,0
,,,,,,,,
700,90,single,0,,700,90,multi,0
,,,,,,,,
700,80,single,100,,700,80,multi,100
,,,,,,,,
700,80,single,0,,700,80,multi,0
,,,,,,,,
700,80,single,0,,700,80,multi,0
,,,,,,,,
700,80,single,0,,700,80,multi,0
,,,,,,,,
700,80,single,0,,700,80,multi,0
,,,,,,,,
1200,10,single,33.3333,,1200,10,multi,33.3333
,,,,,,,,
1200,10,single,33.3333,,1200,10,multi,33.3333
,,,,,,,,
1200,20,single,33.3333,,1200,20,multi,33.3333
,,,,,,,,
1200,20,single,33.3333,,1200,20,multi,33.3333
,,,,,,,,
1200,30,single,100,,1200,30,multi,100
,,,,,,,,
1200,30,single,0,,1200,30,multi,0
,,,,,,,,
1200,50,single,100,,1200,50,multi,100
,,,,,,,,
1200,50,single,50,,1200,50,multi,50
,,,,,,,,
1200,40,single,100,,1200,40,multi,100
,,,,,,,,
1200,40,single,0,,1200,40,multi,0
,,,,,,,,
1200,60,single,100,,1200,60,multi,100
,,,,,,,,
1200,60,single,0,,1200,60,multi,0
,,,,,,,,
1200,70,single,100,,1200,70,multi,100
,,,,,,,,
1200,70,single,0,,1200,70,multi,0
,,,,,,,,
1200,90,single,0,,1200,90,multi,0
,,,,,,,,
1200,90,single,0,,1200,90,multi,0
,,,,,,,,
1200,80,single,0,,1200,80,multi,0
,,,,,,,,
1200,80,single,0,,1200,80,multi,0
,,,,,,,,
1100,10,single,33.3333,,1100,10,multi,33.3333
,,,,,,,,
1100,10,single,33.3333,,1100,10,multi,33.3333
,,,,,,,,
1100,20,single,33.3333,,1100,20,multi,33.3333
,,,,,,,,
1100,20,single,33.3333,,1100,20,multi,33.3333
,,,,,,,,
1100,30,single,100,,1100,30,multi,100
,,,,,,,,
1100,30,single,0,,1100,30,multi,0
,,,,,,,,
1100,50,single,100,,1100,50,multi,100
,,,,,,,,
1100,50,single,50,,1100,50,multi,50
,,,,,,,,
1100,40,single,100,,1100,40,multi,100
,,,,,,,,
1100,40,single,0,,1100,40,multi,0
,,,,,,,,
1100,60,single,100,,1100,60,multi,100
,,,,,,,,
1100,60,single,0,,1100,60,multi,0
,,,,,,,,
1100,70,single,100,,1100,70,multi,100
,,,,,,,,
1100,70,single,0,,1100,70,multi,0
,,,,,,,,
1100,90,single,0,,1100,90,multi,0
,,,,,,,,
1100,90,single,0,,1100,90,multi,0
,,,,,,,,
1100,80,single,0,,1100,80,multi,0
,,,,,,,,
1100,80,single,0,,1100,80,multi,0
,,,,,,,,
400,10,single,42.8571,,400,10,multi,42.8571
,,,,,,,,
400,10,single,60,,400,10,multi,60
,,,,,,,,
400,10,single,40,,400,10,multi,40
,,,,,,,,
400,10,single,87.5,,400,10,multi,87.5
,,,,,,,,
400,10,single,40,,400,10,multi,40
,,,,,,,,
400,10,single,40,,400,10,multi,40
,,,,,,,,
400,10,single,33.3333,,400,10,multi,33.3333
,,,,,,,,
400,10,single,33.3333,,400,10,multi,33.3333
,,,,,,,,
400,20,single,33.3333,,400,20,multi,33.3333
,,,,,,,,
400,20,single,54.5455,,400,20,multi,54.5455
,,,,,,,,
400,20,single,100,,400,20,multi,100
,,,,,,,,
400,20,single,57.1429,,400,20,multi,57.1429
,,,,,,,,
400,20,single,25,,400,20,multi,25
,,,,,,,,
400,20,single,33.3333,,400,20,multi,33.3333
,,,,,,,,
400,20,single,33.3333,,400,20,multi,33.3333
,,,,,,,,
400,20,single,33.3333,,400,20,multi,33.3333
,,,,,,,,
400,30,single,20,,400,30,multi,20
,,,,,,,,
400,30,single,47.3684,,400,30,multi,47.3684
,,,,,,,,
400,30,single,100,,400,30,multi,100
,,,,,,,,
400,30,single,100,,400,30,multi,100
,,,,,,,,
400,30,single,25,,400,30,multi,25
,,,,,,,,
400,30,single,37.5,,400,30,multi,37.5
,,,,,,,,
400,30,single,0,,400,30,multi,0
,,,,,,,,
400,30,single,100,,400,30,multi,100
,,,,,,,,
400,50,single,88.8889,,400,50,multi,88.8889
,,,,,,,,
400,50,single,66.6667,,400,50,multi,66.6667
,,,,,,,,
400,50,single,33.3333,,400,50,multi,33.3333
,,,,,,,,
400,50,single,0,,400,50,multi,0
,,,,,,,,
400,50,single,100,,400,50,multi,100
,,,,,,,,
400,40,single,100,,400,40,multi,100
,,,,,,,,
400,40,single,50,,400,40,multi,50
,,,,,,,,
400,40,single,100,,400,40,multi,100
,,,,,,,,
400,40,single,100,,400,40,multi,100
,,,,,,,,
400,40,single,0,,400,40,multi,0
,,,,,,,,
400,40,single,28.5714,,400,40,multi,28.5714
,,,,,,,,
400,40,single,0,,400,40,multi,0
,,,,,,,,
400,40,single,100,,400,40,multi,100
,,,,,,,,
400,60,single,85.7143,,400,60,multi,85.7143
,,,,,,,,
400,60,single,50,,400,60,multi,50
,,,,,,,,
400,60,single,25,,400,60,multi,25
,,,,,,,,
400,60,single,100,,400,60,multi,100
,,,,,,,,
400,60,single,0,,400,60,multi,0
,,,,,,,,
400,70,single,80,,400,70,multi,80
,,,,,,,,
400,70,single,0,,400,70,multi,0
,,,,,,,,
400,70,single,0,,400,70,multi,0
,,,,,,,,
400,70,single,100,,400,70,multi,100
,,,,,,,,
400,70,single,0,,400,70,multi,0
,,,,,,,,
400,90,single,100,,400,90,multi,100
,,,,,,,,
400,90,single,0,,400,90,multi,0
,,,,,,,,
400,90,single,0,,400,90,multi,0
,,,,,,,,
400,90,single,0,,400,90,multi,0
,,,,,,,,
400,90,single,0,,400,90,multi,0
,,,,,,,,
400,80,single,100,,400,80,multi,100
,,,,,,,,
400,80,single,0,,400,80,multi,0
,,,,,,,,
400,80,single,0,,400,80,multi,0
,,,,,,,,
400,80,single,0,,400,80,multi,0
,,,,,,,,
400,80,single,0,,400,80,multi,0
,,,,,,,,
100,10,single,42.8571,,100,10,multi,42.8571
,,,,,,,,
100,10,single,56,,100,10,multi,56
,,,,,,,,
100,10,single,40,,100,10,multi,40
,,,,,,,,
100,10,single,87.5,,100,10,multi,87.5
,,,,,,,,
100,10,single,40,,100,10,multi,40
,,,,,,,,
100,10,single,40,,100,10,multi,40
,,,,,,,,
100,10,single,33.3333,,100,10,multi,33.3333
,,,,,,,,
100,10,single,33.3333,,100,10,multi,33.3333
,,,,,,,,
100,20,single,33.3333,,100,20,multi,33.3333
,,,,,,,,
100,20,single,54.5455,,100,20,multi,54.5455
,,,,,,,,
100,20,single,100,,100,20,multi,100
,,,,,,,,
100,20,single,85.7143,,100,20,multi,85.7143
,,,,,,,,
100,20,single,25,,100,20,multi,25
,,,,,,,,
100,20,single,33.3333,,100,20,multi,33.3333
,,,,,,,,
100,20,single,33.3333,,100,20,multi,33.3333
,,,,,,,,
100,20,single,33.3333,,100,20,multi,33.3333
,,,,,,,,
100,30,single,20,,100,30,multi,20
,,,,,,,,
100,30,single,52.6316,,100,30,multi,52.6316
,,,,,,,,
100,30,single,100,,100,30,multi,100
,,,,,,,,
100,30,single,100,,100,30,multi,100
,,,,,,,,
100,30,single,25,,100,30,multi,25
,,,,,,,,
100,30,single,37.5,,100,30,multi,37.5
,,,,,,,,
100,30,single,0,,100,30,multi,0
,,,,,,,,
100,30,single,50,,100,30,multi,50
,,,,,,,,
100,50,single,100,,100,50,multi,100
,,,,,,,,
100,50,single,100,,100,50,multi,100
,,,,,,,,
100,50,single,33.3333,,100,50,multi,33.3333
,,,,,,,,
100,50,single,0,,100,50,multi,0
,,,,,,,,
100,50,single,50,,100,50,multi,50
,,,,,,,,
100,40,single,100,,100,40,multi,100
,,,,,,,,
100,40,single,56.25,,100,40,multi,56.25
,,,,,,,,
100,40,single,100,,100,40,multi,100
,,,,,,,,
100,40,single,100,,100,40,multi,100
,,,,,,,,
100,40,single,0,,100,40,multi,0
,,,,,,,,
100,40,single,28.5714,,100,40,multi,28.5714
,,,,,,,,
100,40,single,0,,100,40,multi,0
,,,,,,,,
100,40,single,50,,100,40,multi,50
,,,,,,,,
100,60,single,100,,100,60,multi,100
,,,,,,,,
100,60,single,100,,100,60,multi,100
,,,,,,,,
100,60,single,25,,100,60,multi,25
,,,,,,,,
100,60,single,100,,100,60,multi,100
,,,,,,,,
100,60,single,0,,100,60,multi,0
,,,,,,,,
100,70,single,80,,100,70,multi,80
,,,,,,,,
100,70,single,100,,100,70,multi,100
,,,,,,,,
100,70,single,0,,100,70,multi,0
,,,,,,,,
100,70,single,100,,100,70,multi,100
,,,,,,,,
100,70,single,0,,100,70,multi,0
,,,,,,,,
100,90,single,100,,100,90,multi,100
,,,,,,,,
100,90,single,0,,100,90,multi,0
,,,,,,,,
100,90,single,0,,100,90,multi,0
,,,,,,,,
100,90,single,0,,100,90,multi,0
,,,,,,,,
100,90,single,0,,100,90,multi,0
,,,,,,,,
100,80,single,100,,100,80,multi,100
,,,,,,,,
100,80,single,100,,100,80,multi,100
,,,,,,,,
100,80,single,0,,100,80,multi,0
,,,,,,,,
100,80,single,0,,100,80,multi,0
,,,,,,,,
100,80,single,0,,100,80,multi,0
,,,,,,,,
800,10,single,42.8571,,800,10,multi,42.8571
,,,,,,,,
800,10,single,60,,800,10,multi,60
,,,,,,,,
800,10,single,40,,800,10,multi,40
,,,,,,,,
800,10,single,87.5,,800,10,multi,87.5
,,,,,,,,
800,10,single,40,,800,10,multi,40
,,,,,,,,
800,10,single,40,,800,10,multi,40
,,,,,,,,
800,10,single,33.3333,,800,10,multi,33.3333
,,,,,,,,
800,10,single,33.3333,,800,10,multi,33.3333
,,,,,,,,
800,20,single,33.3333,,800,20,multi,33.3333
,,,,,,,,
800,20,single,50,,800,20,multi,50
,,,,,,,,
800,20,single,100,,800,20,multi,100
,,,,,,,,
800,20,single,42.8571,,800,20,multi,42.8571
,,,,,,,,
800,20,single,25,,800,20,multi,25
,,,,,,,,
800,20,single,33.3333,,800,20,multi,33.3333
,,,,,,,,
800,20,single,33.3333,,800,20,multi,33.3333
