features,single accuracy,multi accuracy
10,100.0,66.6667
10,100.0,33.3333
10,50.0,50.0
10,100.0,83.3333
10,100.0,66.6667
10,83.3333,100.0
10,71.4286,83.3333
10,66.6667,100.0
10,50.0,100.0
10,100.0,80.0
10,100.0,62.5
10,100.0,0.0
10,60.0,66.6667
10,87.5,42.8571
10,0.0,50.0
10,100.0,66.6667
10,57.1429,100.0
10,62.5,100.0
10,100.0,85.7143
10,100.0,66.6667
10,100.0,55.5556
10,75.0,66.6667
20,85.7143,66.6667
20,100.0,33.3333
20,50.0,50.0
20,83.3333,66.6667
20,100.0,100.0
20,83.3333,83.3333
20,83.3333,83.3333
20,66.6667,100.0
20,66.6667,100.0
20,100.0,80.0
20,100.0,37.5
20,100.0,0.0
20,80.0,66.6667
20,87.5,42.8571
20,0.0,50.0
20,88.8889,33.3333
20,71.4286,100.0
20,62.5,100.0
20,100.0,85.7143
20,83.3333,73.3333
20,100.0,55.5556
20,85.7143,33.3333
30,85.7143,66.6667
30,100.0,33.3333
30,50.0,50.0
30,83.3333,66.6667
30,100.0,66.6667
30,66.6667,83.3333
30,83.3333,83.3333
30,66.6667,100.0
30,50.0,100.0
30,100.0,80.0
30,100.0,25.0
30,100.0,0.0
30,80.0,44.4444
30,87.5,42.8571
30,0.0,50.0
30,88.8889,33.3333
30,71.4286,100.0
30,62.5,100.0
30,100.0,85.7143
30,83.3333,66.6667
30,100.0,66.6667
30,100.0,33.3333
40,85.7143,66.6667
40,100.0,33.3333
40,50.0,50.0
40,83.3333,66.6667
40,100.0,66.6667
40,66.6667,66.6667
40,66.6667,100.0
40,66.6667,100.0
40,66.6667,100.0
40,100.0,60.0
40,100.0,25.0
40,100.0,0.0
40,60.0,44.4444
40,87.5,42.8571
40,0.0,50.0
40,88.8889,33.3333
40,71.4286,100.0
40,75.0,100.0
40,100.0,85.7143
40,83.3333,66.6667
40,100.0,55.5556
40,100.0,33.3333
50,85.7143,66.6667
50,100.0,33.3333
50,50.0,50.0
50,83.3333,66.6667
50,100.0,66.6667
50,83.3333,66.6667
50,66.6667,83.3333
50,66.6667,100.0
50,66.6667,80.0
50,100.0,55.5556
50,100.0,42.8571
50,100.0,50.0
50,80.0,33.3333
50,87.5,100.0
50,0.0,100.0
50,88.8889,71.4286
50,71.4286,66.6667
50,75.0,55.5556
50,100.0,33.3333
60,85.7143,66.6667
60,100.0,66.6667
60,50.0,66.6667
60,83.3333,100.0
60,100.0,100.0
60,83.3333,80.0
60,83.3333,44.4444
60,66.6667,42.8571
60,66.6667,50.0
60,100.0,33.3333
60,100.0,100.0
60,100.0,100.0
60,60.0,85.7143
60,87.5,60.0
60,0.0,66.6667
60,88.8889,33.3333
70,85.7143,66.6667
70,100.0,66.6667
70,50.0,66.6667
70,83.3333,100.0
70,100.0,100.0
70,83.3333,80.0
70,83.3333,100.0
70,66.6667,100.0
70,83.3333,85.7143
70,100.0,46.6667
70,100.0,66.6667
70,100.0,33.3333
80,85.7143,66.6667
80,100.0,66.6667
80,50.0,66.6667
80,83.3333,100.0
80,100.0,100.0
80,83.3333,80.0
80,83.3333,100.0
80,66.6667,100.0
80,83.3333,85.7143
80,100.0,53.3333
80,100.0,66.6667
80,80.0,33.3333
90,85.7143,66.6667
90,100.0,66.6667
90,25.0,66.6667
90,83.3333,100.0
90,100.0,100.0
90,83.3333,80.0
90,83.3333,100.0
90,66.6667,100.0
90,83.3333,85.7143
90,100.0,53.3333
90,100.0,66.6667
90,80.0,33.3333
