features,single accuracy,multi accuracy
10,77.761912,65.8225181818
20,80.095248,68.96105
30,78.190484,69.6104
40,79.523816,68.7013090909
50,82.761912,77.3433631579
60,82.000008,81.22024375
70,82.761912,84.3254
80,82.000008,83.63095
90,82.761912,83.63095
