single-features,single-avg accuracy
10,66.6667
20,66.6667
30,66.6667
40,83.3333
50,83.3333
60,83.3333
70,83.3333
80,83.3333
90,83.3333

multi-features,multi-avg accuracy
10,33.3333
20,33.3333
30,33.3333
40,33.3333
50,33.3333
60,33.3333
70,33.3333
80,33.3333
90,33.3333
