single-features,single-avg accuracy
10,100.0
20,100.0
30,100.0
40,66.6667
50,66.6667
60,66.6667
70,66.6667
80,66.6667
90,66.6667

multi-features,multi-avg accuracy
10,33.3333
20,33.3333
30,33.3333
40,33.3333
50,33.3333
60,33.3333
70,33.3333
80,33.3333
90,33.3333
