single-features,single-avg accuracy
10,77.7778
20,88.8889
30,55.5556
40,55.5556
50,66.6667
60,77.7778
70,77.7778
80,77.7778
90,77.7778

multi-features,multi-avg accuracy
10,44.4444
20,44.4444
30,44.4444
40,44.4444
50,44.4444
60,44.4444
70,44.4444
80,44.4444
90,44.4444
