single-features,single-avg accuracy
10,57.1429
20,57.1429
30,57.1429
40,57.1429
50,57.1429
60,57.1429
70,57.1429
80,57.1429
90,57.1429

multi-features,multi-avg accuracy
10,28.5714
20,28.5714
30,28.5714
40,28.5714
50,28.5714
60,28.5714
70,28.5714
80,28.5714
90,28.5714
