% Title: HIV, All Species Singlenet
% Creator: Neena Parikh
%
@RELATION infection

@ATTRIBUTE class {Control,Infected}
@ATTRIBUTE BOP1 NUMERIC
@ATTRIBUTE MIA3 NUMERIC
@ATTRIBUTE RPS6KA2 NUMERIC
@ATTRIBUTE ITGB1 NUMERIC
@ATTRIBUTE CBX1 NUMERIC
@ATTRIBUTE FKBP5 NUMERIC
@ATTRIBUTE HLA-DOA NUMERIC
@ATTRIBUTE KCNC4 NUMERIC
@ATTRIBUTE SOX9 NUMERIC
@ATTRIBUTE MOBKL1B NUMERIC
@ATTRIBUTE TAGLN2 NUMERIC
@ATTRIBUTE KIAA0368 NUMERIC
@ATTRIBUTE PTK6 NUMERIC
@ATTRIBUTE ABAT NUMERIC
@ATTRIBUTE MMP16 NUMERIC
@ATTRIBUTE FSCN1 NUMERIC
@ATTRIBUTE RAB5B NUMERIC
@ATTRIBUTE SIRPA NUMERIC
@ATTRIBUTE DTNA NUMERIC
@ATTRIBUTE OTUD4 NUMERIC
@ATTRIBUTE ZNF320 NUMERIC
@ATTRIBUTE MTR NUMERIC
@ATTRIBUTE DNAH14 NUMERIC
@ATTRIBUTE IL6ST NUMERIC
@ATTRIBUTE AHDC1 NUMERIC
@ATTRIBUTE PCDHGA12 NUMERIC
@ATTRIBUTE PTP4A1 NUMERIC

@DATA
Control,9.84,57.44,26.76,26.76,17.96,25.16,709.74,709.74,5.56,158.54,2495.24,20.66,43.64,53.84,9.96,157.14,25.96,151.74,151.74,25.36,190.64,20.54,31.56,29.66,25.54,17.06,12.74
Control,16.16,22.14,25.66,25.66,6.16,23.46,769.34,769.34,7.46,62.54,3411.14,19.06,37.24,48.74,4.94,158.64,27.36,98.64,98.64,14.36,209.14,12.84,31.36,30.76,44.64,27.46,6.26000000000001
Control,7.04,94.34,14.66,14.66,0.760000000000005,17.86,1115.34,1115.34,1.56,91.14,2985.84,28.86,3.63999999999999,41.34,11.24,190.04,24.96,193.94,193.94,16.66,246.74,36.34,31.36,29.76,54.24,27.06,2.06
Control,5.84,0.239999999999995,20.46,20.46,11.66,20.96,534.14,534.14,1.06,38.14,2901.84,21.76,1.96,23.04,3.76000000000001,256.04,26.06,60.94,60.94,28.06,406.64,4.73999999999999,31.16,29.56,23.84,14.54,15.64
Control,7.46,31.64,29.26,29.26,16.86,17.76,547.54,547.54,1.44,135.44,2881.94,27.76,0.339999999999996,37.04,6.04,431.44,26.86,149.04,149.04,18.86,203.94,11.34,28.06,30.06,93.64,22.56,26.24
Control,21.46,109.94,25.66,25.66,42.64,11.16,553.34,553.34,1.16,14.64,3005.84,26.36,3.86,42.64,3.56,412.94,19.66,87.84,87.84,23.36,529.94,6.63999999999999,30.86,28.26,67.54,2.96,12.06
Infected,31.04,12.74,25.26,25.26,29.86,25.36,816.64,816.64,10.16,161.74,1731.74,21.46,51.94,15.54,9.86,116.54,28.26,203.84,203.84,30.76,135.64,55.64,31.46,30.36,2.16,29.66,1.76000000000001
Infected,76.54,22.64,27.16,27.16,18.06,24.16,890.34,890.34,17.96,156.44,2276.54,16.76,16.44,3.13999999999999,7.96,160.04,23.46,1604.34,1604.34,27.76,182.44,70.74,31.46,28.86,49.14,24.96,8.94
Infected,85.74,5.84,23.56,23.56,26.46,21.06,1173.94,1173.94,21.46,88.24,884.14,28.96,143.44,6.26000000000001,7.96,128.94,28.86,172.94,172.94,24.16,159.74,74.64,24.96,30.06,5.04,25.46,19.04
Infected,113.34,23.24,28.46,28.46,8.86,26.06,1065.44,1065.44,9.96,165.04,2875.74,13.66,46.54,5.04,2.26000000000001,135.14,20.66,416.54,416.54,21.26,138.14,65.54,31.46,29.96,10.64,17.66,13.74
Infected,29.14,23.84,22.96,22.96,22.56,24.86,1034.44,1034.44,8.56,157.24,1790.74,10.36,19.44,3.63999999999999,8.46,140.24,28.46,346.54,346.54,29.36,174.34,51.24,31.46,30.56,6.04,28.96,14.54
Infected,31.24,22.74,28.66,28.66,23.86,19.86,637.94,637.94,10.06,182.14,2147.04,14.46,56.04,6.34,0.239999999999995,201.84,15.06,2413.34,2413.34,27.56,202.64,51.44,31.46,26.76,46.04,24.96,23.84
Infected,13.74,2.56,26.96,26.96,24.46,26.06,891.74,891.74,11.26,264.44,2137.54,12.06,47.84,5.76000000000001,13.06,88.74,28.96,371.74,371.74,26.66,130.24,70.44,31.56,31.36,27.04,24.46,10.64
Infected,68.34,17.84,29.36,29.36,27.36,23.66,694.04,694.04,0.639999999999993,191.94,1961.64,15.56,51.54,0.639999999999993,5.76000000000001,192.64,21.76,381.04,381.04,20.06,172.04,125.24,31.46,28.46,35.54,26.06,30.94
Infected,169.64,16.34,26.96,26.96,28.76,23.26,746.44,746.44,11.46,159.34,2849.44,18.46,13.24,18.44,3.04,174.54,25.96,387.84,387.84,28.46,200.94,31.84,31.46,31.36,24.24,27.16,13.74
Infected,111.94,13.64,23.86,23.86,27.26,25.26,988.54,988.54,15.06,140.34,2498.64,15.76,116.84,3.76000000000001,10.16,128.44,24.66,292.34,292.34,28.56,145.24,90.54,31.46,30.06,12.14,27.56,13.54
Infected,115.34,32.44,28.86,28.86,27.36,23.26,1033.54,1033.54,1.56,189.14,1534.24,2.06,17.04,13.64,4.96,128.84,28.86,148.44,148.44,29.06,230.44,42.64,31.06,30.56,18.04,27.66,3.46
Infected,186.34,13.24,30.36,30.36,14.56,24.76,1295.44,1295.44,5.66,140.54,1918.64,22.66,33.24,7.44,7.16,133.54,28.36,305.24,305.24,18.56,180.14,45.54,30.86,30.56,8.16,25.46,17.24
Infected,84.54,10.44,27.86,27.86,23.96,23.76,998.94,998.94,0.639999999999993,129.94,1377.64,12.46,35.54,0.639999999999993,12.46,139.84,27.56,173.64,173.64,29.06,241.24,112.94,31.46,30.66,27.84,27.86,15.64
Infected,292.84,34.44,29.36,29.36,11.16,24.36,858.44,858.44,15.26,192.64,1896.34,18.96,20.64,4.96,15.16,125.64,28.96,184.64,184.64,25.06,147.74,38.44,31.56,30.16,0.260000000000005,28.26,38.94
Infected,65.84,39.54,29.56,29.56,26.36,22.06,1096.74,1096.74,0.139999999999997,170.44,2174.34,9.56,5.86,16.04,8.06,173.94,28.66,238.64,238.64,27.46,227.64,49.74,29.56,16.76,19.44,27.46,37.74
Infected,60.24,18.34,23.96,23.96,19.06,21.86,1299.54,1299.54,16.16,172.94,2067.34,20.56,62.74,5.73999999999999,10.26,130.34,26.96,456.34,456.34,25.96,150.34,31.04,30.16,29.16,4.54,26.66,35.24
Infected,25.74,34.34,29.86,29.86,23.16,26.36,1056.34,1056.34,8.86,120.14,2433.34,25.26,18.24,5.63999999999999,12.16,92.14,27.76,229.44,229.44,28.06,184.04,39.54,31.56,30.96,3.13999999999999,29.06,31.14
Infected,61.24,11.54,30.06,30.06,29.66,24.86,801.74,801.74,7.56,221.04,1631.84,27.36,88.34,4.16,10.36,123.74,25.96,165.94,165.94,28.86,147.14,94.44,31.56,29.86,11.94,29.56,5.54
Infected,74.44,6.44,26.86,26.86,28.46,24.66,1069.24,1069.24,8.06,178.94,1608.64,14.96,73.34,0.660000000000004,13.16,110.34,27.76,112.24,112.24,28.46,133.54,51.04,31.56,30.86,10.54,28.76,19.14
Infected,216.24,9.56,24.06,24.06,23.06,23.36,903.14,903.14,14.56,103.54,1803.74,23.36,48.14,3.16,3.96,138.54,27.36,536.04,536.04,27.36,190.64,94.34,31.46,29.76,7.73999999999999,27.36,8.04
Infected,43.74,39.04,30.06,30.06,0.360000000000003,24.16,957.84,957.84,10.66,144.94,1897.04,17.46,57.94,2.34,10.26,127.14,29.26,797.44,797.44,29.86,228.34,72.04,31.56,31.16,11.74,20.26,39.84
Infected,71.14,3.86,29.66,29.66,24.16,21.66,483.44,483.44,11.26,48.14,2794.84,7.16,27.04,0.439999999999998,5.13999999999999,181.44,16.46,228.24,228.24,28.56,207.04,22.74,31.16,30.16,20.34,2.23999999999999,8.63999999999999
