% Title: HIV, All Species
% Creator: Neena Parikh
%
@RELATION infection

@ATTRIBUTE class {Control,GDS2892,GDS1728,GDS1313,GDS1112}
@ATTRIBUTE ANGPTL2 NUMERIC
@ATTRIBUTE FAM13C NUMERIC
@ATTRIBUTE ANK2 NUMERIC
@ATTRIBUTE PTPRF NUMERIC
@ATTRIBUTE SEMA3C NUMERIC
@ATTRIBUTE C2 NUMERIC
@ATTRIBUTE TRIM2 NUMERIC
@ATTRIBUTE MAF NUMERIC
@ATTRIBUTE RBPMS NUMERIC
@ATTRIBUTE DMD NUMERIC
@ATTRIBUTE VWA5A NUMERIC
@ATTRIBUTE PLXNA3 NUMERIC
@ATTRIBUTE SLC7A8 NUMERIC
@ATTRIBUTE INPP4B NUMERIC
@ATTRIBUTE FUT8 NUMERIC
@ATTRIBUTE BCKDHB NUMERIC
@ATTRIBUTE PARD6B NUMERIC
@ATTRIBUTE ITSN1 NUMERIC
@ATTRIBUTE CDC14B NUMERIC
@ATTRIBUTE PTPN2 NUMERIC
@ATTRIBUTE NCOR2 NUMERIC
@ATTRIBUTE MYH11 NUMERIC
@ATTRIBUTE TEK NUMERIC
@ATTRIBUTE DZIP1 NUMERIC
@ATTRIBUTE PLAGL1 NUMERIC
@ATTRIBUTE DPY19L1 NUMERIC
@ATTRIBUTE KDM6A NUMERIC
@ATTRIBUTE SYNJ1 NUMERIC
@ATTRIBUTE RIT1 NUMERIC
@ATTRIBUTE EIF4G1 NUMERIC
@ATTRIBUTE IFNGR1 NUMERIC
@ATTRIBUTE NBN NUMERIC
@ATTRIBUTE FGFR1 NUMERIC
@ATTRIBUTE AQP1 NUMERIC
@ATTRIBUTE EFNB1 NUMERIC
@ATTRIBUTE SMTN NUMERIC
@ATTRIBUTE SRPK2 NUMERIC
@ATTRIBUTE TBCD NUMERIC
@ATTRIBUTE RNF114 NUMERIC
@ATTRIBUTE ARHGAP5 NUMERIC
@ATTRIBUTE FLRT2 NUMERIC
@ATTRIBUTE TNKS NUMERIC
@ATTRIBUTE PDE1C NUMERIC
@ATTRIBUTE P4HA1 NUMERIC
@ATTRIBUTE NKTR NUMERIC
@ATTRIBUTE CASK NUMERIC
@ATTRIBUTE OSR2 NUMERIC
@ATTRIBUTE TERF1 NUMERIC
@ATTRIBUTE GABRA2 NUMERIC
@ATTRIBUTE SFRS18 NUMERIC
@ATTRIBUTE RNF13 NUMERIC
@ATTRIBUTE LMO4 NUMERIC
@ATTRIBUTE HEPH NUMERIC
@ATTRIBUTE GFRA1 NUMERIC
@ATTRIBUTE GCH1 NUMERIC
@ATTRIBUTE SVIL NUMERIC
@ATTRIBUTE SKP2 NUMERIC
@ATTRIBUTE PLCB4 NUMERIC
@ATTRIBUTE LRP4 NUMERIC
@ATTRIBUTE LETMD1 NUMERIC
@ATTRIBUTE SLC35E2 NUMERIC
@ATTRIBUTE SOX4 NUMERIC
@ATTRIBUTE TSPAN5 NUMERIC
@ATTRIBUTE LMO3 NUMERIC
@ATTRIBUTE MTMR9 NUMERIC
@ATTRIBUTE MYLK NUMERIC
@ATTRIBUTE ZBTB20 NUMERIC
@ATTRIBUTE ADAM17 NUMERIC
@ATTRIBUTE CHST3 NUMERIC
@ATTRIBUTE RUNX1T1 NUMERIC
@ATTRIBUTE TRAPPC10 NUMERIC
@ATTRIBUTE ADAM22 NUMERIC
@ATTRIBUTE ARHGAP29 NUMERIC
@ATTRIBUTE NUP153 NUMERIC
@ATTRIBUTE TLE1 NUMERIC
@ATTRIBUTE NUP50 NUMERIC
@ATTRIBUTE PTPRN2 NUMERIC
@ATTRIBUTE FBLN1 NUMERIC
@ATTRIBUTE MAGI2 NUMERIC
@ATTRIBUTE DAPK1 NUMERIC
@ATTRIBUTE IGBP1 NUMERIC
@ATTRIBUTE NPR3 NUMERIC
@ATTRIBUTE DDX17 NUMERIC
@ATTRIBUTE LANCL1 NUMERIC
@ATTRIBUTE RRBP1 NUMERIC
@ATTRIBUTE LBR NUMERIC
@ATTRIBUTE CHML NUMERIC
@ATTRIBUTE CD163 NUMERIC
@ATTRIBUTE MGAT2 NUMERIC
@ATTRIBUTE PGD NUMERIC
@ATTRIBUTE FMO3 NUMERIC
@ATTRIBUTE GPRC5B NUMERIC
@ATTRIBUTE EDNRA NUMERIC
@ATTRIBUTE WWOX NUMERIC
@ATTRIBUTE EIF4B NUMERIC
@ATTRIBUTE IGF1 NUMERIC
@ATTRIBUTE UBE2S NUMERIC
@ATTRIBUTE LDB2 NUMERIC
@ATTRIBUTE SP100 NUMERIC
@ATTRIBUTE ACOT7 NUMERIC
@ATTRIBUTE ATP1B1 NUMERIC
@ATTRIBUTE TMEM41B NUMERIC
@ATTRIBUTE VCAM1 NUMERIC
@ATTRIBUTE ARNT2 NUMERIC
@ATTRIBUTE PRKCA NUMERIC
@ATTRIBUTE PIK3R3 NUMERIC
@ATTRIBUTE CEP57 NUMERIC
@ATTRIBUTE TRAK1 NUMERIC
@ATTRIBUTE AKAP5 NUMERIC
@ATTRIBUTE DLC1 NUMERIC
@ATTRIBUTE ST13 NUMERIC
@ATTRIBUTE MRPL3 NUMERIC
@ATTRIBUTE MAP3K4 NUMERIC
@ATTRIBUTE ABHD3 NUMERIC
@ATTRIBUTE TMED9 NUMERIC
@ATTRIBUTE GPR116 NUMERIC
@ATTRIBUTE TSC22D3 NUMERIC
@ATTRIBUTE SEC14L2 NUMERIC
@ATTRIBUTE ACSL1 NUMERIC
@ATTRIBUTE MTCP1 NUMERIC
@ATTRIBUTE TNFRSF11B NUMERIC
@ATTRIBUTE YKT6 NUMERIC
@ATTRIBUTE RBM5 NUMERIC
@ATTRIBUTE RAB13 NUMERIC
@ATTRIBUTE FLT1 NUMERIC
@ATTRIBUTE NR2C1 NUMERIC
@ATTRIBUTE NPC2 NUMERIC
@ATTRIBUTE PDLIM3 NUMERIC
@ATTRIBUTE CKAP4 NUMERIC
@ATTRIBUTE MFAP3L NUMERIC
@ATTRIBUTE SCP2 NUMERIC
@ATTRIBUTE ENPP2 NUMERIC
@ATTRIBUTE SOS2 NUMERIC
@ATTRIBUTE MSR1 NUMERIC
@ATTRIBUTE SLC6A6 NUMERIC
@ATTRIBUTE RGS2 NUMERIC
@ATTRIBUTE XIAP NUMERIC
@ATTRIBUTE SLC25A4 NUMERIC
@ATTRIBUTE GFI1 NUMERIC
@ATTRIBUTE CLNS1A NUMERIC
@ATTRIBUTE HDAC4 NUMERIC
@ATTRIBUTE ATP2B1 NUMERIC
@ATTRIBUTE NCLN NUMERIC
@ATTRIBUTE GLS NUMERIC
@ATTRIBUTE LUZP2 NUMERIC
@ATTRIBUTE LDLR NUMERIC
@ATTRIBUTE SSR1 NUMERIC
@ATTRIBUTE PDLIM5 NUMERIC
@ATTRIBUTE CAST NUMERIC
@ATTRIBUTE IVNS1ABP NUMERIC
@ATTRIBUTE CBX7 NUMERIC
@ATTRIBUTE KDM5A NUMERIC
@ATTRIBUTE PHIP NUMERIC
@ATTRIBUTE TOR1B NUMERIC
@ATTRIBUTE PHF2 NUMERIC
@ATTRIBUTE TOR1AIP1 NUMERIC
@ATTRIBUTE HDDC2 NUMERIC
@ATTRIBUTE DZIP3 NUMERIC
@ATTRIBUTE ACVR1B NUMERIC
@ATTRIBUTE RAP2B NUMERIC
@ATTRIBUTE NEBL NUMERIC
@ATTRIBUTE UBE2D3 NUMERIC
@ATTRIBUTE PNO1 NUMERIC
@ATTRIBUTE SOCS2 NUMERIC
@ATTRIBUTE GSK3B NUMERIC
@ATTRIBUTE TMPO NUMERIC
@ATTRIBUTE SFPQ NUMERIC
@ATTRIBUTE ETV1 NUMERIC
@ATTRIBUTE TIA1 NUMERIC
@ATTRIBUTE RAB11FIP2 NUMERIC
@ATTRIBUTE CDH11 NUMERIC
@ATTRIBUTE ARF4 NUMERIC
@ATTRIBUTE TCEA2 NUMERIC
@ATTRIBUTE ARHGAP12 NUMERIC
@ATTRIBUTE SHMT1 NUMERIC
@ATTRIBUTE FURIN NUMERIC
@ATTRIBUTE SOCS3 NUMERIC
@ATTRIBUTE SEPT11 NUMERIC
@ATTRIBUTE NXT2 NUMERIC
@ATTRIBUTE PPP1CA NUMERIC
@ATTRIBUTE EIF3D NUMERIC
@ATTRIBUTE RBM14 NUMERIC
@ATTRIBUTE SGPL1 NUMERIC
@ATTRIBUTE FAM65B NUMERIC
@ATTRIBUTE PTGER3 NUMERIC
@ATTRIBUTE CDK14 NUMERIC
@ATTRIBUTE RABGGTB NUMERIC
@ATTRIBUTE RS1 NUMERIC
@ATTRIBUTE ZMYND8 NUMERIC
@ATTRIBUTE PDXK NUMERIC
@ATTRIBUTE SRSF3 NUMERIC
@ATTRIBUTE PDS5A NUMERIC
@ATTRIBUTE STAT6 NUMERIC
@ATTRIBUTE BMP6 NUMERIC
@ATTRIBUTE RCAN2 NUMERIC
@ATTRIBUTE ARHGEF7 NUMERIC
@ATTRIBUTE LEPROT NUMERIC
@ATTRIBUTE MAP2K5 NUMERIC
@ATTRIBUTE CDC42EP3 NUMERIC
@ATTRIBUTE MBP NUMERIC
@ATTRIBUTE PFDN4 NUMERIC
@ATTRIBUTE TROVE2 NUMERIC
@ATTRIBUTE HBP1 NUMERIC
@ATTRIBUTE AKAP13 NUMERIC
@ATTRIBUTE MITF NUMERIC
@ATTRIBUTE ELAVL4 NUMERIC
@ATTRIBUTE RNASEH2B NUMERIC
@ATTRIBUTE ACAP2 NUMERIC
@ATTRIBUTE PCDHB17 NUMERIC
@ATTRIBUTE SENP6 NUMERIC
@ATTRIBUTE BCAP29 NUMERIC
@ATTRIBUTE CAV2 NUMERIC
@ATTRIBUTE SRSF1 NUMERIC
@ATTRIBUTE SIK3 NUMERIC
@ATTRIBUTE ARMC8 NUMERIC
@ATTRIBUTE RAD51C NUMERIC
@ATTRIBUTE SNRK NUMERIC
@ATTRIBUTE TFDP2 NUMERIC
@ATTRIBUTE PDCD2 NUMERIC
@ATTRIBUTE YES1 NUMERIC
@ATTRIBUTE NEAT1 NUMERIC
@ATTRIBUTE CREB3L2 NUMERIC
@ATTRIBUTE AOX1 NUMERIC
@ATTRIBUTE PREP NUMERIC
@ATTRIBUTE AAK1 NUMERIC
@ATTRIBUTE SERP1 NUMERIC
@ATTRIBUTE FBXL5 NUMERIC
@ATTRIBUTE MYO1B NUMERIC
@ATTRIBUTE RIF1 NUMERIC
@ATTRIBUTE NDUFV2 NUMERIC
@ATTRIBUTE PCBP2 NUMERIC
@ATTRIBUTE LRMP NUMERIC
@ATTRIBUTE ADAM10 NUMERIC
@ATTRIBUTE WDR47 NUMERIC
@ATTRIBUTE TSPAN2 NUMERIC
@ATTRIBUTE PGCP NUMERIC
@ATTRIBUTE NF1 NUMERIC
@ATTRIBUTE CD44 NUMERIC
@ATTRIBUTE GTPBP1 NUMERIC
@ATTRIBUTE FZD6 NUMERIC
@ATTRIBUTE DNAJC4 NUMERIC
@ATTRIBUTE INSR NUMERIC
@ATTRIBUTE ATP2C1 NUMERIC
@ATTRIBUTE BICD2 NUMERIC
@ATTRIBUTE NR4A2 NUMERIC
@ATTRIBUTE SSH1 NUMERIC
@ATTRIBUTE DOCK10 NUMERIC
@ATTRIBUTE BMPR1A NUMERIC
@ATTRIBUTE FPR2 NUMERIC
@ATTRIBUTE UBE3C NUMERIC
@ATTRIBUTE SOCS6 NUMERIC
@ATTRIBUTE VAPB NUMERIC
@ATTRIBUTE PSMB4 NUMERIC
@ATTRIBUTE IL1R2 NUMERIC
@ATTRIBUTE FCHSD2 NUMERIC
@ATTRIBUTE UBE3A NUMERIC
@ATTRIBUTE CROT NUMERIC
@ATTRIBUTE ISCA1 NUMERIC
@ATTRIBUTE MLF1 NUMERIC
@ATTRIBUTE MCL1 NUMERIC
@ATTRIBUTE NGDN NUMERIC
@ATTRIBUTE GNA13 NUMERIC
@ATTRIBUTE DAZAP2 NUMERIC
@ATTRIBUTE MED1 NUMERIC
@ATTRIBUTE DOCK4 NUMERIC
@ATTRIBUTE PDCD4 NUMERIC
@ATTRIBUTE JHDM1D NUMERIC
@ATTRIBUTE PRIM2 NUMERIC
@ATTRIBUTE PDE4DIP NUMERIC
@ATTRIBUTE LRRFIP1 NUMERIC
@ATTRIBUTE LARP4B NUMERIC
@ATTRIBUTE HMGA2 NUMERIC
@ATTRIBUTE TGFB1 NUMERIC
@ATTRIBUTE PTPRG NUMERIC
@ATTRIBUTE DSTYK NUMERIC
@ATTRIBUTE PDCD6 NUMERIC
@ATTRIBUTE WIPI1 NUMERIC
@ATTRIBUTE PAK2 NUMERIC
@ATTRIBUTE YWHAB NUMERIC
@ATTRIBUTE SLC35A2 NUMERIC
@ATTRIBUTE VAMP4 NUMERIC
@ATTRIBUTE RAPGEF1 NUMERIC
@ATTRIBUTE MINA NUMERIC
@ATTRIBUTE ANO3 NUMERIC
@ATTRIBUTE CDIPT NUMERIC
@ATTRIBUTE RASAL2 NUMERIC
@ATTRIBUTE PRKD1 NUMERIC
@ATTRIBUTE SLC29A2 NUMERIC

@DATA
Control,1562.27,13.252,16115.411,6.839,819.144,6499.774,2057.028,130.512,6111.822,1290.005,1147.661,4.863,2465.176,6461.579,8.947,373.877,178.214,457.741,819.007,3426.768,825.005,14716.735,668.481,3208.069,427.736,1578.621,8960.468,808.59,1808.614,1828.082,188.971,16115.411,3272.499,323.673,14716.735,2460.126,4281.849,10.46,114.737,139.936,982.21,9222.836,423.016,1915.13,909.809,957.157,6.038,2018.747,5.988,457.741,6.13,8852.89,470.716,336.228,26.245,3195.818,675.818,731.943,5892.125,1039.491,85.275,14716.735,159.243,1176.723,780.561,1491.762,277.658,5397.148,30.779,1339.644,3620.908,3272.499,527.459,740.479,1266.605,6.629,6970.816,130.512,285.632,5448.322,7.094,85.275,3254.83,6.088,539.471,6.255,29.38,957.157,7333.694,425.489,2577.641,1652.192,16438.916,248.87,4.387,5892.125,3462.6,423.679,4281.849,633.571,5.335,5892.125,77.532,877.499,266.235,7607.761,660.12,14716.735,6.909,90.398,825.005,80.449,745.344,5.725,5397.148,427.736,1290.005,1091.705,11.892,6499.774,3426.768,433.463,5.159,8449.136,1458.037,266.235,6.839,2073.296,7.109,169.188,6,225.157,6880.586,862.354,956.082,2324.148,4273.626,277.658,645.224,195.149,466.18,510.412,10043.138,8670.301,483.313,14.497,2465.176,1301.714,398.675,373.877,291.245,959.444,2083.247,962.506,16411.771,527.459,471.211,6880.586,2073.296,336.335,959.444,236.768,1691.107,11205.064,254.301,7568.04,1301.714,2599.552,1691.107,731.943,1840.722,7.109,1692.843,4.272,1384.997,4.076,423.679,210.661,1808.614,5.487,209.345,155.485,760.124,701.887,1339.644,908.891,8852.89,2026.354,642.667,522.83,1562.27,10043.138,6.706,539.471,6.342,1656.707,2324.148,16438.916,825.005,9139.375,277.658,89.551,1669.463,336.759,160.403,569.796,760.124,908.891,433.463,2057.028,17700.736,138.415,248.87,5892.125,423.016,130.512,3272.499,1691.107,1491.762,16115.411,1541.934,457.741,17700.736,4537.381,1544.894,7.109,3254.83,527.459,1339.644,1631.691,8960.468,6231.752,1292.415,2798.003,5.944,660.12,1806.674,16438.916,149.884,5.226,3807.048,6.444,2109.319,959.444,4738.118,377.341,760.124,2867.555,2492.2,160.403,9139.375,8017.453,8449.136,1938.561,2109.319,1562.27,3208.069,2622.463,2867.555,10.01,1059.462,3807.048,325.901,454.66,466.18,132.135,130.512,407.557,780.561,2348.961,3254.83,775.325,7333.694,1290.005,6111.822,11205.064,174.838,1324.74,1828.082,3992.946,254.301,510.215,255.725,16.292,3.021,1293.298,610.958,457.019
Control,1315.023,14.345,22002.615,6.892,771.98,6610.428,1472.086,107.229,7373.574,1565.686,1075.503,4.852,2454.876,6677.002,8.506,363.407,245.978,482.582,727.461,2997.624,735.042,14611.329,806.202,3853.289,456.926,2454.876,7546.409,912.381,1903.999,1909.311,164.907,22002.615,3717.849,344.728,14611.329,2739.225,4971.543,10.891,159.414,140.809,995.253,10130.545,851.928,1822.522,976.864,868.806,5.917,1807.157,5.973,482.582,6.128,8982.576,482.753,282.796,21.137,4600.424,670.807,774.328,5057.979,1197.234,58.385,14611.329,159.517,1362.827,813.048,1236.59,370.823,6907.045,32.848,1700.675,4608.648,3717.849,540.571,664.23,1208.67,6.628,6774.706,107.229,275.462,6031.428,6.978,58.385,3462.236,6.547,624.419,6.314,34.328,868.806,6798.294,385.081,2162.479,1889.186,17293.645,230.966,4.4,5057.979,3082.161,362.304,4971.543,686.894,5.334,5057.979,77.403,873.235,372.441,6819.052,565.803,14611.329,7.112,96.713,735.042,83.797,699.553,5.741,6907.045,456.926,1565.686,1006.572,7.72,6610.428,2997.624,377.247,5.366,8824.209,1618.656,372.441,6.892,2073.242,7.106,198.807,6.036,219.688,6090.246,795.623,821.053,2464.174,4840.768,370.823,532.49,258.884,430.084,616.375,9582.015,8928.521,594.707,14.698,2049.045,1604.589,494.904,363.407,311.511,914.516,2225.253,1177.919,17500.586,540.571,397.748,6090.246,2073.242,323.034,914.516,227.196,2011.099,11374.237,278.248,7133.579,1604.589,1830.712,2011.099,774.328,1800.253,7.106,2118.255,4.271,1120.648,4.077,362.304,248.12,1903.999,5.486,260.394,151.761,750.509,619.023,1700.675,1174.641,8982.576,3379.322,592.864,459.731,1315.023,9582.015,6.698,624.419,6.346,1763.13,2464.174,17293.645,735.042,9854.795,370.823,81.559,1843.294,336.968,127.584,810.408,750.509,1174.641,377.247,1604.589,18085.115,160.216,230.966,5057.979,851.928,107.229,3717.849,2011.099,1236.59,22002.615,1697.799,482.582,18085.115,4049.463,1514.288,7.106,2999.471,540.571,1700.675,1921.069,7546.409,5923.696,1300.118,3596.617,5.971,565.803,1709.131,17293.645,159.414,8.058,3051.835,6.364,2049.459,914.516,4473.167,500.43,750.509,2222.952,2615.109,127.584,9854.795,7504.374,8824.209,1846.503,2049.459,1315.023,3853.289,2663.996,2222.952,10.058,805.791,3051.835,236.482,424.158,430.084,106.391,107.229,582.98,813.048,2248.303,2999.471,724.952,6798.294,1565.686,7373.574,11374.237,174.719,1742.698,1909.311,4177.539,279.628,494.904,247.074,12.684,3.028,1379.337,504.995,656.043
Control,1075.256,15.69,26099.71,6.911,627.666,6465.574,1443.713,99.369,6746.596,2566.688,1116.076,4.849,2105.883,5845.85,8.811,380.242,218.148,530.769,423.669,2900.028,797.634,14799.052,1213.188,3859.979,458.333,2105.883,7539.768,757.396,2071.606,1896.764,108.085,26099.71,3794.515,334.503,14799.052,2805.259,5205.48,11.052,257.575,119.621,1258.598,9416.713,640.786,1574.328,877.388,872.204,6.066,2180.885,6.039,530.769,6.213,8658.29,600.282,355.247,30.016,3426.664,682.977,1056.883,4203.489,917.019,49.865,14799.052,204.957,1229.76,743.633,1119.109,278.441,5569.447,37.448,1623.8,4375.586,3794.515,565.521,528.576,1627.842,6.657,6568.698,99.369,228.491,4872.393,7.157,49.865,4347.91,6.261,569.04,6.317,26.968,872.204,7461.745,332.191,1797.706,1911.264,16131.537,198.491,4.406,4203.489,2905.95,441.28,5205.48,672.059,5.363,4203.489,93.646,1141.515,445.591,5652.659,490.791,14799.052,7.131,110.118,797.634,82.726,640.238,5.769,5569.447,458.333,2566.688,1039.939,7.69,6465.574,2900.028,320.555,7.127,7621.77,1682.944,445.591,6.911,2083.212,7.141,230.511,6.072,218.923,4907.955,793.527,919.572,2428.858,4678.578,491.006,900.236,222.923,533.938,549.64,9059.514,9227.354,607.135,12.664,1762.161,1628.27,409.678,380.242,373.306,981.743,1445.263,1507.341,13896.133,565.521,428.891,4907.955,2566.688,210.555,981.743,186.847,2043.833,10771.445,208.988,5186.6,1628.27,2407.077,2043.833,1056.883,1924.317,7.141,2345.549,4.287,1112.952,4.088,441.28,258.278,2566.688,5.547,364.149,180.499,767.653,546.76,1623.8,1572.221,8658.29,4413.933,677.456,731.526,1075.256,9059.514,6.676,569.04,6.414,1202.582,2428.858,16131.537,797.634,9544.994,278.441,55.102,2062.634,433.37,143.058,765.696,767.653,1572.221,320.555,1628.27,17711.023,118.227,198.491,4203.489,640.786,144.594,3794.515,2043.833,1119.109,26099.71,1097.263,530.769,17711.023,3072.124,1388.414,7.141,3267.294,565.521,1623.8,2396.191,7539.768,6564.041,2045.543,2844.601,5.926,490.791,1258.598,16131.537,257.575,5.256,2513.021,6.448,1717.026,981.743,5905.062,484.471,767.653,2378.253,1979.387,143.058,9544.994,7510.136,7621.77,1506.31,1717.026,1075.256,3859.979,2632.577,2378.253,10.049,609.763,2513.021,436.986,274.889,533.938,121.129,99.369,622.497,743.633,1953.3,3267.294,374.534,7461.745,2566.688,6746.596,10771.445,181.303,1818.805,1896.764,4154.154,208.988,527.451,267.579,16.946,3.033,1159.623,359.547,518.306
GDS2892,2537.94,21.12,26615.004,7.09,664.512,7882.091,3484.164,111.973,7442.887,1659.662,1205.011,4.933,1990.163,6827.215,10.395,363.606,171.055,1031.701,253.916,1379.32,960.878,16572.21,684.699,4068.048,458.083,1512.207,9237.864,603.572,1379.626,1470.384,125.544,26615.004,3124.124,379.853,16572.21,2783.154,5473.953,11.207,51.848,170.514,1957.744,7695.552,263.179,1782.489,696.557,1251.594,6.204,2679.074,6.153,1031.701,6.406,8119.912,754.969,330.555,16.383,3957.869,507.009,1230.745,4657.081,958.376,65.605,16572.21,114.074,708.497,827.02,965.388,798.899,2024.979,67.953,2644.71,4237.627,3124.124,693.464,591.03,1073.643,7.926,7592.443,111.973,175.251,7424.053,7.357,65.605,6551.539,6.408,445.167,6.455,34.921,1251.594,7424.053,473.615,2143.302,1340.16,18436.018,521.05,4.424,4657.081,2399.076,522.155,5473.953,425.133,5.449,4657.081,103.211,1243.36,496.543,5897.105,588.601,16572.21,6.421,171.893,960.878,90.116,611.762,5.89,2024.979,153.977,1659.662,978.619,7.745,7882.091,1379.32,432.377,5.271,6399.056,1473.089,496.543,7.09,1554.985,7.485,289.658,6.233,369.522,6999.902,879.946,910.706,2664.743,2548.278,798.899,514.845,154.726,641.116,596.693,8837.553,11515.056,736.188,14.907,2093.619,1088.407,521.05,363.606,149.024,1022.32,1606.815,781.444,13000.331,693.464,673.783,6999.902,1659.662,391.526,1022.32,337.415,2368.908,10815.167,300.562,5176.673,1088.407,2743.857,2368.908,1230.745,2061.776,7.485,1500.922,4.313,812.583,4.107,522.155,192.425,1659.662,5.638,381.877,227.442,861.508,1014.088,2644.71,966.898,8119.912,3899.27,330.089,941.216,2537.94,8837.553,6.915,445.167,6.62,2109.053,2664.743,18436.018,960.878,9482.044,798.899,125.126,1805.79,649.659,114.407,824.15,861.508,966.898,432.377,3484.164,20197.438,188.079,521.05,4657.081,263.179,121.171,3124.124,2368.908,965.388,26615.004,2127.099,1031.701,20197.438,3123.673,2367.766,7.485,6551.539,693.464,2644.71,2939.552,9237.864,4473.664,1921.086,3579.421,5.991,588.601,2071.24,18436.018,295.329,5.343,1942.559,6.547,1258.649,1022.32,6392.993,370.822,861.508,3888.362,2080.38,114.407,9482.044,9248.673,6399.056,2776.685,1258.649,2537.94,4068.048,2160.136,3888.362,10.12,1651.872,1942.559,293.319,264.924,641.116,165.26,111.973,840.032,840.032,3207.995,6551.539,707.279,5128.143,1659.662,7442.887,10815.167,199.389,827.02,1470.384,4485.366,300.562,425.559,330.052,28.142,3.045,1899.145,381.846,248.858
GDS2892,1294.527,18.84,24184.63,7.013,612.73,6712.809,1905.231,93.165,9146.205,1950.915,1191.274,4.893,2780.373,7234.286,9.527,400.599,162.705,525.388,346.061,1545.062,884.229,16742.275,805.136,3796.538,362.358,2780.373,8421.835,806.576,1663.459,1791.388,115.836,24184.63,3194.304,398.532,16742.275,2638.554,5466.8,11.327,114.049,152.951,1599.23,8177.387,534.297,1802.946,594.685,1022.718,6.045,2331.826,6.123,525.388,6.309,8477.086,771.365,315.578,20.97,3879.709,614.451,1107.153,4298.408,959.695,72.043,16742.275,160.033,943.38,830.734,1105.387,418.536,2960.865,32.417,2208.695,4843.473,3194.304,653.166,672.046,1338.92,6.67,7197.723,93.165,171.85,6058.232,7.227,72.043,4481.226,6.343,513.594,6.42,28.551,1022.718,6481.394,421.37,1957.507,1440.291,18906.484,326.661,4.405,4298.408,2781.452,416.508,5466.8,539.823,5.419,4298.408,102.39,1191.662,509.83,4510.41,503.429,16742.275,7.152,122.939,884.229,77.504,697.415,5.835,2960.865,147.279,1950.915,824.094,7.741,6712.809,1545.062,333.232,5.242,7199.208,1614.07,509.83,7.013,2071.798,7.253,223.139,6.153,357.38,5782.351,620.515,859.812,2570.705,3762.092,418.536,564.604,195.538,549.335,648.508,8888.178,9460.263,737.705,20.79,2175.253,1398.994,413.151,400.599,191.751,1026.066,1689.138,1217.644,16403.213,653.166,512.37,5782.351,2071.798,405.728,1026.066,235.022,2207.488,9547.07,271.973,4742.555,1398.994,1962.381,2207.488,1107.153,1805.06,7.253,1775.375,4.303,676.016,4.104,416.508,209.179,1950.915,5.611,278.42,214.701,972.836,787.348,2208.695,884.445,8477.086,3943.325,345.918,814.642,1294.527,8888.178,6.804,513.594,6.516,1638.472,2570.705,18906.484,884.229,9344.88,418.536,39.183,1963.857,496.212,113.024,963.399,972.836,884.445,333.232,1905.231,18682.572,140.656,326.661,4298.408,534.297,110.535,3194.304,2207.488,1105.387,24184.63,1584.571,525.388,18682.572,3446.573,1559.249,7.253,3795.366,653.166,2208.695,2885.983,8421.835,5046.963,1468.386,3728.276,5.976,503.429,1935.662,18906.484,171.814,5.302,2395.976,6.645,1726.091,1026.066,6212.318,433.388,972.836,2713.435,2500.958,113.024,9344.88,8514.545,7199.208,1662.847,1726.091,1294.527,3796.538,2528.322,2713.435,10.092,949.34,2395.976,240.065,254.648,549.335,126.283,93.165,656.786,830.734,2982.123,3795.366,610.19,6481.394,1950.915,9146.205,9547.07,182.607,830.734,1791.388,4390.458,271.973,453.185,359.143,16.465,3.037,1438.531,377.488,468.354
