single-thresholds,single-avg accuracy
10,51.6190333333
20,81.8181666667
30,87.7193
40,58.3333333333
50,95.2381
60,84.8485
70,100.0
80,100.0
90,33.3333333333

multi-features,multi-avg accuracy
multi-thresholds,multi-avg accuracy
10,42.8571
20,44.4444333333
30,33.3333333333
40,33.3333333333
50,25.0
60,44.4444333333
70,50.0
80,0.0
90,0.0
