single-features,single-avg accuracy
10,51.61903333
20,50.2857
30,51.61903333
40,54.2857
50,51.61903333
60,51.61903333
70,51.61903333
80,50.2857
90,50.2857
,
multi-features,multi-avg accuracy
10,42.8571
20,33.3333
30,28.5714
40,42.8571
50,42.8571
60,42.8571
70,42.8571
80,52.38093333
90,47.61903333
