single-features,single-avg accuracy
10,86.3158
20,77.8947333333
30,79.6491333333
40,91.2280666667
50,91.2280666667
60,91.2280666667
70,87.7193
80,87.7193
90,87.7193

multi-features,multi-avg accuracy
10,33.3333333333
20,33.3333333333
30,33.3333333333
40,33.3333333333
50,33.3333333333
60,33.3333333333
70,33.3333333333
80,33.3333333333
90,33.3333333333
