single-thresholds,single-avg accuracy
10,50.2857
20,80.3030333333
30,87.7193
40,58.3333333333
50,92.8571333333
60,84.8485
70,100.0
80,93.3333333333
90,33.3333333333

multi-features,multi-avg accuracy
multi-thresholds,multi-avg accuracy
10,52.3809333333
20,44.4444333333
30,33.3333333333
40,33.3333333333
50,25.0
60,44.4444333333
70,50.0
80,0.0
90,0.0
