single-thresholds,single-avg accuracy
10,51.6190333333
20,80.3030333333
30,91.2280666667
40,60.4166666667
50,95.2381
60,87.8788
70,100.0
80,93.3333333333
90,33.3333333333

multi-features,multi-avg accuracy
multi-thresholds,multi-avg accuracy
10,42.8571
20,61.1111
30,66.6666666667
40,58.3333333333
50,58.3333333333
60,77.7778
70,66.6666666667
80,33.3333333333
90,0.0
