single-thresholds,single-avg accuracy
10,51.6190333333
20,83.3333333333
30,79.6491333333
40,60.4166666667
50,97.6190333333
60,87.8788
70,100.0
80,100.0
90,33.3333333333

multi-features,multi-avg accuracy
multi-thresholds,multi-avg accuracy
10,28.5714
20,38.8888666667
30,33.3333333333
40,33.3333333333
50,25.0
60,44.4444333333
70,50.0
80,0.0
90,0.0
