single-thresholds,single-avg accuracy
10,51.6190333333
20,78.7878666667
30,86.3158
40,47.9166666667
50,95.2381
60,84.8485
70,95.8333333333
80,93.3333333333
90,33.3333333333

multi-features,multi-avg accuracy
multi-thresholds,multi-avg accuracy
10,42.8571
20,50.0
30,33.3333333333
40,33.3333333333
50,25.0
60,55.5555666667
70,66.6666666667
80,0.0
90,0.0
