single-thresholds,single-avg accuracy
10,51.6190333333
20,83.3333333333
30,79.6491333333
40,60.4166666667
50,97.6190333333
60,87.8788
70,100.0
80,100.0
90,33.3333333333

multi-features,multi-avg accuracy
multi-thresholds,multi-avg accuracy
10,38.0952
20,61.1111
30,46.6666666667
40,25.0
50,58.3333333333
60,77.7778
70,83.3333333333
80,100.0
90,0.0
