single-features,single-avg accuracy
10,84.8485
20,93.9394
30,87.8788
40,87.8788
50,87.8788
60,87.8788
70,84.8485
80,84.8485
90,87.8788

multi-features,multi-avg accuracy
10,55.5555666667
20,66.6666666667
30,44.4444333333
40,33.3333
50,55.5555666667
60,44.4444333333
70,44.4444333333
80,44.4444333333
90,55.5555666667
