single-thresholds,single-avg accuracy
10,54.2857
20,81.8181666667
30,91.2280666667
40,60.4166666667
50,97.6190333333
60,87.8788
70,100.0
80,100.0
90,33.3333333333

multi-features,multi-avg accuracy
multi-thresholds,multi-avg accuracy
10,42.8571
20,33.3333
30,33.3333333333
40,33.3333333333
50,25.0
60,33.3333
70,33.3333333333
80,0.0
90,0.0
