single-features,single-avg accuracy
10,47.9166666667
20,50.0
30,60.4166666667
40,60.4166666667
50,60.4166666667
60,60.4166666667
70,58.3333333333
80,58.3333333333
90,56.25

multi-features,multi-avg accuracy
10,41.6666666667
20,33.3333333333
30,33.3333333333
40,33.3333333333
50,33.3333333333
60,33.3333333333
70,33.3333333333
80,33.3333333333
90,33.3333333333
