single-thresholds,single-avg accuracy
10,51.6190333333
20,81.8181666667
30,87.7193
40,58.3333333333
50,95.2381
60,84.8485
70,100.0
80,100.0
90,33.3333333333

multi-features,multi-avg accuracy
multi-thresholds,multi-avg accuracy
10,47.6190333333
20,61.1111
30,66.6666666667
40,58.3333333333
50,66.6666666667
60,77.7777666667
70,66.6666666667
80,33.3333333333
90,0.0
