single-thresholds,single-avg accuracy
10,50.2857
20,78.7878666667
30,77.8947333333
40,50.0
50,97.6190333333
60,93.9394
70,100.0
80,100.0
90,33.3333333333

multi-features,multi-avg accuracy
multi-thresholds,multi-avg accuracy
10,33.3333
20,44.4444333333
30,33.3333333333
40,33.3333333333
50,25.0
60,66.6666666667
70,50.0
80,0.0
90,0.0
