single-features,single-avg accuracy
10,95.8333333333
20,100.0
30,100.0
40,100.0
50,100.0
60,100.0
70,100.0
80,100.0
90,100.0

multi-features,multi-avg accuracy
10,66.6666666667
20,50.0
30,50.0
40,33.3333333333
50,33.3333333333
60,33.3333333333
70,50.0
80,50.0
90,50.0
