% Title: HIV, All Species Singlenet
% Creator: Neena Parikh
%
@RELATION infection

@ATTRIBUTE class {Control,Infected}
@ATTRIBUTE TPM1 NUMERIC
@ATTRIBUTE PAK2 NUMERIC
@ATTRIBUTE MMP11 NUMERIC
@ATTRIBUTE MYO10 NUMERIC
@ATTRIBUTE RHEB NUMERIC
@ATTRIBUTE OBSL1 NUMERIC
@ATTRIBUTE CAMSAP1 NUMERIC
@ATTRIBUTE MLLT4 NUMERIC
@ATTRIBUTE CALM3 NUMERIC
@ATTRIBUTE N4BP2L1 NUMERIC
@ATTRIBUTE COL11A1 NUMERIC
@ATTRIBUTE FLT1 NUMERIC
@ATTRIBUTE RPS14 NUMERIC
@ATTRIBUTE WWC1 NUMERIC
@ATTRIBUTE MBP NUMERIC
@ATTRIBUTE GSN NUMERIC
@ATTRIBUTE HIST1H2BC NUMERIC
@ATTRIBUTE SIPA1L3 NUMERIC
@ATTRIBUTE DCAF7 NUMERIC
@ATTRIBUTE CD44 NUMERIC
@ATTRIBUTE MEG3 NUMERIC

@DATA
Control,34110.0065,33969.6945,34261.4455,34211.9415,34073.8485,33919.4795,33969.6945,28955.4035,33967.5145,34259.8185,34213.8435,34153.6985,34153.6985,34065.9435,33919.4795,34153.6985,33919.4795,34226.1865,33568.9835,33703.6635,34277.1175
Control,34110.4385,34042.9225,34262.0635,34210.1395,34027.0665,33815.5675,34064.9705,28821.6455,33865.5275,34253.7175,34224.1735,34054.9605,34165.2675,34047.2035,33815.5675,34165.2675,33815.5675,34239.9185,33521.8465,33638.9125,34276.7925
Control,34127.7665,33959.4385,34257.3785,34234.0925,34062.4685,33999.3505,33959.4385,28816.0275,33965.4615,34257.3785,34210.2355,34139.3735,34170.0815,34075.1385,33999.3505,34170.0815,33999.3505,34224.8865,33583.8015,33738.0825,34275.1485
Control,34136.2415,34018.3055,34258.5125,34220.2835,34069.1445,34094.3425,34018.3055,28885.5975,34037.3445,34257.8905,34196.1275,34138.1365,34138.1365,34073.2185,34094.3425,34138.1365,34094.3425,34230.2005,33597.7115,33796.1255,34276.4335
Control,34122.2995,33744.9665,34263.0455,34235.0585,33997.7395,34028.1495,33744.9665,28177.8675,34048.5545,34263.0455,34201.5185,34142.5135,34161.4495,34074.9705,34028.1495,34161.4495,34028.1495,34210.6315,33571.5665,33731.5605,34280.3295
Control,34148.6575,33950.6275,34264.6535,34234.5835,34020.9465,34079.4415,33950.6275,28642.2805,34056.7145,34259.2355,34197.3055,34139.4905,34168.6105,34087.6325,34079.4415,34168.6105,34079.4415,34208.2445,33696.1895,33784.2745,34277.2555
Control,34076.2175,33330.3575,34277.6675,34227.6665,34012.7855,33960.1755,33330.3575,27690.2065,34013.2015,34256.0195,34238.8825,34096.2495,34164.4225,34060.3445,33960.1755,34164.4225,33960.1755,34225.8395,33182.5305,33806.9225,34279.1005
Control,34085.5305,33563.0695,34274.8665,34245.5545,34058.3565,33828.0175,33563.0695,26538.1355,34000.7415,34256.5715,34252.8305,34173.7325,34206.2975,34017.0065,33828.0175,34206.2975,33828.0175,34239.0865,33155.5925,33820.2865,34277.0785
Control,33859.9795,33510.8255,34273.0875,34227.6345,34140.3685,33486.4795,33510.8255,27133.0095,33690.4635,34234.6545,34223.0305,34120.7735,34213.2905,34008.0645,33486.4795,34228.4415,33486.4795,34226.7345,33039.5835,33486.4795,34280.5045
Control,34027.6035,33911.0665,34277.2675,34242.8545,34151.5615,34005.6755,33911.0665,24580.2385,34092.4825,34269.9545,34124.2305,34165.8135,34195.3505,33921.7965,34005.6755,34195.3505,34005.6755,34027.6035,32704.9705,34005.6755,34280.9855
Control,34100.7925,33199.3145,34276.9355,34242.1655,34068.3365,33946.2225,33199.3145,26211.0955,34100.1635,34268.4025,34213.2615,34153.5365,34213.6095,34070.5685,33946.2225,34213.6095,33946.2225,34210.5805,33034.7015,33946.2225,34280.7825
Infected,34079.9225,33803.0065,34256.0675,34224.8155,33954.4335,34079.9225,34084.0495,27305.3605,33929.3205,34256.0675,34173.5835,34093.0745,34191.4445,34158.9435,34200.2945,34191.4445,34191.4445,34174.6505,34078.4345,33886.7465,34274.7995
Infected,33995.7425,33732.1875,34225.2135,34225.9975,33989.4815,33995.7425,33941.7025,29465.9575,33800.7805,34225.2135,34158.6585,34156.2835,34193.4835,34146.2285,34128.6725,34193.4835,34128.6725,34082.2445,34061.4345,33800.7805,34269.5755
Infected,33517.0075,34003.0095,34202.5025,34221.1785,34041.8385,33128.1505,34078.3985,30410.1655,33200.3755,34202.5025,34216.8365,34148.6635,34166.4785,33746.6625,33128.1505,34166.4785,33128.1505,34217.6095,33520.6475,32867.7485,34252.5335
Infected,34052.4385,33862.4115,34263.9615,34229.3585,33913.4495,34052.4385,33884.8965,28361.9785,33858.3935,34263.9615,34212.3225,34161.7985,34194.3565,34124.0425,34088.0835,34194.3565,34088.0835,34180.9575,34045.0675,33817.6835,34280.0915
Infected,33983.4145,33838.0935,34237.9015,34228.4905,33869.4065,33983.4145,33838.0935,29729.9825,33783.9075,34237.9015,34140.9975,34138.3425,34172.5955,34139.7315,34066.9435,34172.5955,34066.9435,34040.9635,34058.2675,33733.2695,34270.8065
